,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",83600,0.350671,200.0,11,-1258.475424,-1553.731747,-909.298671,195.671429,37
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",85800,0.325023,200.0,11,-1116.961497,-1587.320926,-774.619951,207.494436,38
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",88000,0.31854,200.0,11,-1246.440468,-1684.24603,-977.148776,250.988743,39
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",90200,0.336494,200.0,11,-1328.787644,-1738.806459,-1019.423107,240.248681,40
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",92400,0.348173,200.0,11,-1147.49571,-1335.644662,-996.958252,104.338754,41
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",94600,0.346625,200.0,11,-1141.076894,-1423.268742,-1013.102114,126.557785,42
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",96800,0.293435,200.0,11,-1097.181754,-1270.745972,-976.759128,76.820644,43
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",99000,0.326777,200.0,11,-1101.075317,-1576.037704,-763.431886,232.717052,44
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",101200,0.344449,200.0,11,-1078.024451,-1201.108532,-914.484415,64.452241,45
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",103400,0.339209,200.0,11,-1175.906212,-1607.009215,-933.012281,234.35984,46
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",105600,0.290548,200.0,11,-1117.581379,-1438.244057,-899.056513,152.594217,47
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",107800,0.362469,200.0,11,-1017.47174,-1156.391265,-891.227786,75.910657,48
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",110000,0.386859,200.0,11,-1162.958351,-1467.84439,-1039.866957,165.788468,49
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",112200,0.367654,200.0,11,-1102.255557,-1324.049259,-949.573896,92.729609,50
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",114400,0.325439,200.0,11,-1115.177808,-1609.539187,-901.167135,173.997372,51
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",116600,0.326074,200.0,11,-1083.543146,-1729.582115,-928.59923,213.642213,52
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",118800,0.325873,200.0,11,-1032.053305,-1311.328178,-754.225071,178.770945,53
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",121000,0.324917,200.0,11,-1076.655743,-1413.643822,-847.994657,176.955598,54
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",123200,0.328748,200.0,11,-1041.546391,-1493.953573,-733.968704,223.695028,55
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",125400,0.316072,200.0,11,-1045.674529,-1604.363417,-758.135906,258.829082,56
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",127600,0.315933,200.0,11,-1062.401823,-1598.01887,-758.13426,262.351217,57
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",129800,0.295155,200.0,11,-1083.041319,-1546.776283,-883.733883,209.187847,58
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",132000,0.296592,200.0,11,-1197.787502,-1633.288881,-770.23257,269.195969,59
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",134200,0.26443,200.0,11,-1048.581396,-1401.737909,-745.964344,194.194605,60
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",136400,0.276983,200.0,11,-1029.923925,-1611.840412,-798.68429,204.573044,61
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",138600,0.269905,200.0,11,-1023.735327,-1569.803641,-755.889903,259.579363,62
