,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.096548080444336,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,2048,0.49214,1024.0,-811.588097,-819.795263,-803.380932,8.207166
1,2,2.222323179244995,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,4096,0.501011,1024.0,-774.587377,-779.58442,-769.590333,4.997043
2,3,3.2877371311187744,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,6144,0.47545,1024.0,-816.753666,-817.953743,-815.553589,1.200077
3,4,4.351985216140747,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,8192,0.474647,1024.0,-781.32018,-793.596704,-769.043655,12.276525
4,5,5.376693964004517,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,10240,0.45643,1024.0,-783.916538,-792.986657,-774.846418,9.07012
0,6,6.440613269805908,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,12288,0.472457,1024.0,-766.973393,-773.386781,-760.560005,6.413388
1,7,7.4630961418151855,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,14336,0.454126,1024.0,-726.40954,-727.814707,-725.004372,1.405168
2,8,8.499300241470337,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,16384,0.459043,1024.0,-713.246286,-719.984631,-706.507941,6.738345
3,9,9.575456380844116,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,18432,0.482239,1024.0,-703.503569,-706.082848,-700.924291,2.579279
4,10,10.620509147644043,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,20480,0.467841,1024.0,-679.295837,-683.500657,-675.091017,4.20482
0,11,11.76951813697815,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,22528,0.514436,1024.0,-671.987825,-700.117957,-643.857693,28.130132
1,12,12.852612257003784,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,24576,0.485144,1024.0,-667.087295,-683.799411,-650.375179,16.712116
2,13,13.916855096817017,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,26624,0.476436,1024.0,-675.595063,-678.553197,-672.636928,2.958135
3,14,15.003716230392456,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,28672,0.488186,1024.0,-702.00627,-719.292703,-684.719837,17.286433
4,15,16.026841163635254,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,30720,0.455175,1024.0,-740.829841,-745.795821,-735.863861,4.96598
0,16,17.099836111068726,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,32768,0.476218,1024.0,-730.714616,-736.244222,-725.18501,5.529606
