,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: hover_ppo_v2_2023-01-24,2048,0.000878,1.0,2048,-0.787656,-0.787695,-0.787618,1.1e-05,1,32.70508003234863
1,exp_name: hover_ppo_v2_2023-01-24,4096,0.000839,1.0,2048,-0.787656,-0.787696,-0.787619,1.1e-05,2,64.65215611457825
2,exp_name: hover_ppo_v2_2023-01-24,6144,0.000809,1.0,2048,-0.787656,-0.787692,-0.787613,1.1e-05,3,95.82023000717163
3,exp_name: hover_ppo_v2_2023-01-24,8192,0.000811,1.0,2048,-0.787655,-0.787693,-0.78762,1.1e-05,4,126.8263258934021
4,exp_name: hover_ppo_v2_2023-01-24,10240,0.00081,1.0,2048,-0.787655,-0.787688,-0.787612,1.1e-05,5,157.85517811775208
