,episodes,training time,length per episode,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.152580738067627,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,2048,0.507251,1024.0,-826.422259,-834.407062,-818.437455,7.984803
1,2,2.3286640644073486,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,4096,0.513988,1024.0,-827.736142,-893.28972,-762.182564,65.553578
2,3,3.4258718490600586,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,6144,0.483006,1024.0,-891.718893,-955.568353,-827.869432,63.849461
3,4,4.578611850738525,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,8192,0.509138,1024.0,-843.559561,-893.798065,-793.321057,50.238504
4,5,5.664432764053345,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,10240,0.476345,1024.0,-823.798076,-835.38075,-812.215402,11.582674
0,6,6.796303033828735,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,12288,0.491586,1024.0,-775.447421,-788.524711,-762.37013,13.07729
1,7,7.909041881561279,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,14336,0.48995,1024.0,-708.913016,-800.801579,-617.024453,91.888563
2,8,8.995419979095459,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,16384,0.47606,1024.0,-619.543318,-639.889525,-599.197111,20.346207
3,9,10.159100770950317,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,18432,0.515713,1024.0,-581.801855,-640.768277,-522.835433,58.966422
4,10,11.350127935409546,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,20480,0.521419,1024.0,-533.475012,-541.385019,-525.565004,7.910007
0,11,12.53890585899353,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,22528,0.52126,1024.0,-495.653897,-499.194016,-492.113779,3.540118
1,12,13.716218948364258,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,24576,0.51916,1024.0,-598.015648,-619.866817,-576.164479,21.851169
2,13,14.867793798446655,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,26624,0.504893,1024.0,-506.848635,-524.623455,-489.073816,17.77482
3,14,15.994112014770508,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,28672,0.495249,1024.0,-535.081277,-578.836783,-491.325771,43.755506
4,15,17.096872806549072,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,30720,0.483931,1024.0,-557.440635,-586.410877,-528.470393,28.970242
0,16,18.29446506500244,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,32768,0.527426,1024.0,-497.404024,-514.454802,-480.353246,17.050778
1,17,19.381855010986328,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,34816,0.479157,1024.0,-569.093218,-597.855568,-540.330867,28.76235
2,18,20.529953956604004,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,36864,0.502881,1024.0,-484.947483,-493.302527,-476.592439,8.355044
3,19,21.666271924972534,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,38912,0.497065,1024.0,-496.672929,-503.43834,-489.907518,6.765411
4,20,22.82798194885254,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,40960,0.509454,1024.0,-443.830484,-452.809266,-434.851702,8.978782
0,21,23.99635601043701,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,43008,0.513778,1024.0,-403.821016,-411.076829,-396.565204,7.255813
1,22,25.19102191925049,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,45056,0.525321,1024.0,-442.082547,-453.776791,-430.388303,11.694244
2,23,26.458833932876587,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,47104,0.562055,1024.0,-485.410772,-499.066778,-471.754765,13.656006
3,24,27.570310831069946,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,49152,0.488085,1024.0,-462.607788,-483.019257,-442.196319,20.411469
4,25,28.806577920913696,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,51200,0.548803,1024.0,-466.131171,-484.575486,-447.686856,18.444315
0,26,29.933881998062134,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,53248,0.49504,1024.0,-500.408625,-502.909004,-497.908247,2.500379
1,27,31.084609031677246,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,55296,0.505941,1024.0,-538.084097,-558.929101,-517.239094,20.845003
2,28,32.31377696990967,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,57344,0.54207,1024.0,-441.429153,-451.525413,-431.332894,10.096259
3,29,33.55711889266968,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,59392,0.553237,1024.0,-483.663019,-501.083586,-466.242452,17.420567
4,30,34.722543716430664,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,61440,0.513389,1024.0,-473.330782,-477.839222,-468.822342,4.50844
0,31,35.89090585708618,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,63488,0.51174,1024.0,-462.044009,-499.77626,-424.311757,37.732251
1,32,37.09618616104126,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,65536,0.533016,1024.0,-462.132432,-470.606125,-453.658739,8.473693
2,33,38.24542474746704,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,67584,0.505299,1024.0,-491.987472,-512.770613,-471.204331,20.783141
3,34,39.42226195335388,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,69632,0.516015,1024.0,-493.76707,-509.023455,-478.510684,15.256386
4,35,40.572102785110474,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,71680,0.504581,1024.0,-516.309976,-540.608395,-492.011557,24.298419
0,36,41.71318292617798,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,73728,0.502281,1024.0,-451.970173,-466.989889,-436.950457,15.019716
1,37,42.84652805328369,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,75776,0.499805,1024.0,-469.146121,-478.555242,-459.737001,9.409121
2,38,43.926660776138306,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,77824,0.472354,1024.0,-510.252717,-516.61127,-503.894164,6.358553
3,39,45.08110308647156,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,79872,0.504323,1024.0,-535.203092,-542.983164,-527.42302,7.780072
4,40,46.25244688987732,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,81920,0.515489,1024.0,-583.405975,-595.073846,-571.738105,11.667871
0,41,47.439334869384766,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,83968,0.52063,1024.0,-631.460988,-646.058919,-616.863058,14.59793
1,42,48.64806890487671,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,86016,0.533819,1024.0,-571.23688,-573.968924,-568.504835,2.732045
2,43,49.77773094177246,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,88064,0.494955,1024.0,-687.397917,-719.617492,-655.178341,32.219575
3,44,50.93804907798767,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,90112,0.513005,1024.0,-557.607586,-582.152963,-533.062208,24.545378
4,45,52.02747297286987,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,92160,0.47902,1024.0,-564.742255,-593.947557,-535.536952,29.205302
