,episodes,training time,length per episode,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,0.6637511253356934,1,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,2200,0.039188,200.0,-1342.88013,-1795.364819,-882.326357,335.693485
0,1.2871112823486328,2,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,4400,0.038801,200.0,-1136.887119,-1817.267619,-766.448829,337.392732
0,1.9032771587371826,3,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,6600,0.037502,200.0,-1333.859222,-1849.10205,-624.352502,380.116599
0,2.5162789821624756,4,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,8800,0.037451,200.0,-1326.554654,-1868.252673,-863.321158,370.561447
0,3.139583110809326,5,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,11000,0.038676,200.0,-1048.031193,-1573.804947,-732.764994,233.795209
0,3.794680118560791,6,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,13200,0.039848,200.0,-1140.183886,-1536.03956,-705.454068,222.095317
0,4.431386232376099,7,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,15400,0.03826,200.0,-1206.710487,-1805.098882,-841.571614,294.403093
0,5.013090133666992,8,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,17600,0.0359,200.0,-1139.232905,-1754.124822,-626.455209,349.794645
0,5.605507135391235,9,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,19800,0.036647,200.0,-1059.273043,-1750.919605,-771.098447,264.371588
0,6.225960969924927,10,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,22000,0.038032,200.0,-1384.686653,-1861.586825,-959.267021,299.107158
0,6.834489107131958,11,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,24200,0.038329,200.0,-1101.438339,-1654.182324,-792.738814,249.096851
0,7.428059101104736,12,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,26400,0.036468,200.0,-1099.068856,-1405.225055,-743.242937,220.483484
0,8.025222301483154,13,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,28600,0.036993,200.0,-1257.916631,-1538.770496,-863.1513,184.332943
0,8.636504173278809,14,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,30800,0.037596,200.0,-1132.343224,-1615.245088,-891.35601,252.279247
0,9.266417980194092,15,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,33000,0.039506,200.0,-1164.456785,-1857.380118,-864.236431,266.11985
0,9.863772869110107,16,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,35200,0.036961,200.0,-1242.761564,-1707.750452,-888.353977,279.950363
0,10.530303001403809,17,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,37400,0.041202,200.0,-1123.753543,-1581.071002,-760.256448,233.190293
0,11.14552903175354,18,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,39600,0.037897,200.0,-1165.870722,-1520.88418,-777.301466,227.985832
0,11.831525087356567,19,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,41800,0.038518,200.0,-1014.346465,-1358.335066,-763.234005,176.54892
0,12.429251194000244,20,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,44000,0.036591,200.0,-1090.23276,-1642.312735,-767.733829,279.850726
0,13.012035131454468,21,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,46200,0.036401,200.0,-1080.341542,-1534.87446,-759.34103,250.661828
0,13.598591089248657,22,11,exp_name: Pendulum-v1_2023-01-28 (TEST)_gae,48400,0.036238,200.0,-1044.472688,-1384.544335,-752.019465,212.916234
