,experiment,timestep,mean episodic runtime,mean episodic length,length per episode,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,96800,0.037275,200.0,11,-909.068806,-1354.960449,-746.215507,182.576964,43
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,99000,0.037342,200.0,11,-947.560693,-1387.026802,-734.413771,197.920399,44
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,101200,0.037167,200.0,11,-868.206514,-1097.650489,-746.448897,111.552243,45
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,103400,0.038298,200.0,11,-852.919489,-1131.22794,-627.302424,163.093394,46
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,105600,0.03949,200.0,11,-852.588302,-991.613301,-756.443011,84.401296,47
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,107800,0.038968,200.0,11,-928.553158,-1207.767627,-745.204482,188.154477,48
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,110000,0.037961,200.0,11,-878.021739,-1092.497241,-739.881155,112.074221,49
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,112200,0.038139,200.0,11,-901.061109,-1143.319255,-671.655954,158.10179,50
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,114400,0.039598,200.0,11,-917.251265,-1252.721565,-719.747882,181.469074,51
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,116600,0.039432,200.0,11,-904.190599,-1239.84762,-667.047477,174.883025,52
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,118800,0.039023,200.0,11,-834.858425,-1155.225725,-626.513669,184.01648,53
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,121000,0.037067,200.0,11,-844.513862,-1110.010725,-680.260216,132.649283,54
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,123200,0.03986,200.0,11,-824.86104,-997.871237,-644.395477,111.110695,55
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,125400,0.036815,200.0,11,-816.991022,-958.466081,-736.305981,66.713043,56
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,127600,0.037535,200.0,11,-732.732814,-862.744933,-511.193742,101.290605,57
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,129800,0.039546,200.0,11,-856.084055,-974.903302,-743.24472,79.19223,58
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,132000,0.039839,200.0,11,-835.55257,-1096.585699,-633.284581,157.908593,59
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,134200,0.038102,200.0,11,-840.556508,-1143.305503,-676.421058,136.392695,60
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,136400,0.038983,200.0,11,-840.088919,-1055.05565,-643.034471,130.846771,61
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,138600,0.037639,200.0,11,-854.594329,-1268.27386,-626.342825,179.10285,62
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,140800,0.040133,200.0,11,-872.207024,-1096.042092,-628.24322,166.759446,63
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,143000,0.037044,200.0,11,-877.680534,-1081.883397,-757.125061,108.828433,64
