,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: random_agent takeoff-aviary-v0_2023-01-23,2048,0.000534,1.0,2048,-0.888887,-0.889052,-0.888725,4.8e-05,1,29.04123306274414
1,exp_name: random_agent takeoff-aviary-v0_2023-01-23,4096,0.00052,1.0,2048,-0.888885,-0.889035,-0.888703,4.9e-05,2,57.82720398902893
2,exp_name: random_agent takeoff-aviary-v0_2023-01-23,6144,0.000524,1.0,2048,-0.888885,-0.889032,-0.888747,4.6e-05,3,86.54907631874084
3,exp_name: random_agent takeoff-aviary-v0_2023-01-23,8192,0.000513,1.0,2048,-0.888885,-0.889037,-0.888719,4.8e-05,4,115.0337929725647
4,exp_name: random_agent takeoff-aviary-v0_2023-01-23,10240,0.000539,1.0,2048,-0.888883,-0.889048,-0.888703,4.8e-05,5,144.09868717193604
0,exp_name: random_agent takeoff-aviary-v0_2023-01-23,12288,0.000516,1.0,2048,-0.888879,-0.889037,-0.88871,4.7e-05,6,172.8203341960907
1,exp_name: random_agent takeoff-aviary-v0_2023-01-23,14336,0.000491,1.0,2048,-0.888875,-0.889024,-0.888695,4.8e-05,7,200.94182229042053
2,exp_name: random_agent takeoff-aviary-v0_2023-01-23,16384,0.000542,1.0,2048,-0.88887,-0.889023,-0.888703,4.7e-05,8,230.24321508407593
3,exp_name: random_agent takeoff-aviary-v0_2023-01-23,18432,0.00052,1.0,2048,-0.888863,-0.889024,-0.888719,4.8e-05,9,259.0091722011566
4,exp_name: random_agent takeoff-aviary-v0_2023-01-23,20480,0.00053,1.0,2048,-0.888858,-0.889041,-0.888708,4.9e-05,10,288.1875910758972
0,exp_name: random_agent takeoff-aviary-v0_2023-01-23,22528,0.00055,1.0,2048,-0.888846,-0.888995,-0.888659,4.7e-05,11,317.75660514831543
1,exp_name: random_agent takeoff-aviary-v0_2023-01-23,24576,0.000494,1.0,2048,-0.888841,-0.889003,-0.888681,4.8e-05,12,346.0098600387573
2,exp_name: random_agent takeoff-aviary-v0_2023-01-23,26624,0.000548,1.0,2048,-0.888832,-0.888994,-0.888655,4.8e-05,13,375.34093713760376
3,exp_name: random_agent takeoff-aviary-v0_2023-01-23,28672,0.000549,1.0,2048,-0.88882,-0.888974,-0.888653,4.8e-05,14,404.6796691417694
4,exp_name: random_agent takeoff-aviary-v0_2023-01-23,30720,0.000572,1.0,2048,-0.888809,-0.888976,-0.888651,4.8e-05,15,434.46966218948364
