,episodes,training time,length per episode,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.1260371208190918,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,2048,0.501147,1024.0,-934.768419,-974.584053,-894.952785,39.815634
1,2,2.2236690521240234,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,4096,0.482239,1024.0,-781.500787,-798.697485,-764.304089,17.196698
2,3,3.3141987323760986,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,6144,0.4857,1024.0,-938.861157,-944.691389,-933.030925,5.830232
3,4,4.361483812332153,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,8192,0.466704,1024.0,-788.050784,-822.38942,-753.712149,34.338635
4,5,5.3347508907318115,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,10240,0.430635,1024.0,-768.115428,-791.088313,-745.142543,22.972885
0,6,6.330208778381348,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,12288,0.436396,1024.0,-704.30489,-708.201678,-700.408102,3.896788
1,7,7.343822956085205,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,14336,0.450747,1024.0,-605.112293,-608.16025,-602.064337,3.047956
2,8,8.314464092254639,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,16384,0.430041,1024.0,-597.79776,-607.029057,-588.566464,9.231297
3,9,9.320250988006592,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,18432,0.444876,1024.0,-593.125636,-603.803221,-582.44805,10.677585
4,10,10.310022830963135,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,20480,0.4393,1024.0,-553.673639,-563.973886,-543.373392,10.300247
0,11,11.294262886047363,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,22528,0.433153,1024.0,-536.140009,-581.156285,-491.123733,45.016276
1,12,12.328868865966797,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,24576,0.459985,1024.0,-536.683868,-563.271998,-510.095737,26.588131
2,13,13.309661865234375,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,26624,0.434997,1024.0,-516.391565,-516.827491,-515.95564,0.435925
3,14,14.284450769424438,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,28672,0.431107,1024.0,-519.633616,-541.779035,-497.488197,22.145419
4,15,15.31366491317749,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,30720,0.458963,1024.0,-567.412506,-572.070541,-562.754471,4.658035
0,16,16.30103087425232,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,32768,0.436124,1024.0,-528.518598,-531.423293,-525.613903,2.904695
1,17,17.300144910812378,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,34816,0.442374,1024.0,-525.661458,-545.346732,-505.976184,19.685274
2,18,18.3098247051239,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,36864,0.448378,1024.0,-526.393276,-556.091412,-496.695139,29.698136
3,19,19.291083097457886,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,38912,0.433389,1024.0,-496.297378,-499.480612,-493.114145,3.183233
4,20,20.314949989318848,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-28,40960,0.453784,1024.0,-479.362135,-504.653603,-454.070667,25.291468
