,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,2048,0.000845,1.0,2048,-0.888888,-0.889521,-0.888253,0.000362,1,30.369040966033936
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,4096,0.00079,1.0,2048,-0.888888,-0.889522,-0.888252,0.000368,2,59.84430694580078
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,6144,0.000773,1.0,2048,-0.888886,-0.889521,-0.888254,0.000369,3,89.20759773254395
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,8192,0.000891,1.0,2048,-0.888874,-0.889522,-0.888251,0.000367,4,120.5385389328003
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,10240,0.000788,1.0,2048,-0.888881,-0.889518,-0.888248,0.000363,5,150.0991449356079
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,12288,0.000777,1.0,2048,-0.888878,-0.889517,-0.888247,0.00037,6,179.41778779029846
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,14336,0.000753,1.0,2048,-0.888885,-0.889518,-0.888248,0.000378,7,208.20758891105652
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,16384,0.000775,1.0,2048,-0.888886,-0.889517,-0.888249,0.000363,8,237.42285799980164
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,18432,0.000769,1.0,2048,-0.888892,-0.889522,-0.888252,0.000364,9,266.4836208820343
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,20480,0.000705,1.0,2048,-0.888883,-0.889518,-0.888252,0.000363,10,294.69421887397766
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,22528,0.000815,1.0,2048,-0.888886,-0.889519,-0.888251,0.000372,11,324.16407775878906
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,24576,0.000735,1.0,2048,-0.888883,-0.88952,-0.888251,0.000363,12,352.7369589805603
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,26624,0.000799,1.0,2048,-0.888896,-0.889524,-0.888253,0.000368,13,382.4727339744568
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,28672,0.000741,1.0,2048,-0.888888,-0.889522,-0.888253,0.000372,14,411.436518907547
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,30720,0.000729,1.0,2048,-0.888886,-0.88952,-0.888253,0.000366,15,439.9801378250122
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,32768,0.000759,1.0,2048,-0.888892,-0.889522,-0.888253,0.000366,16,469.1307337284088
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,34816,0.000758,1.0,2048,-0.888895,-0.889523,-0.888253,0.000362,17,498.1632549762726
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,36864,0.000712,1.0,2048,-0.888909,-0.889528,-0.88826,0.000367,18,526.3610508441925
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,38912,0.000724,1.0,2048,-0.888909,-0.889534,-0.888264,0.000372,19,554.9996819496155
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,40960,0.000831,1.0,2048,-0.888898,-0.889533,-0.888265,0.000366,20,585.1494419574738
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,43008,0.000793,1.0,2048,-0.888904,-0.889534,-0.888267,0.000368,21,614.6353809833527
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,45056,0.000744,1.0,2048,-0.888902,-0.889536,-0.888266,0.000369,22,643.4752566814423
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,47104,0.000737,1.0,2048,-0.888902,-0.889536,-0.888266,0.000365,23,672.1697399616241
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,49152,0.00075,1.0,2048,-0.888906,-0.889537,-0.888266,0.000371,24,701.0727989673615
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-24,51200,0.000728,1.0,2048,-0.888908,-0.889539,-0.888269,0.000366,25,729.542219877243
