,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",655600,0.035054,200.0,11,-1458.980239,-1519.427325,-1293.980207,65.597375
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",657800,0.035005,200.0,11,-1466.166243,-1521.812696,-1364.955385,50.101992
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",660000,0.03615,200.0,11,-1455.957093,-1530.708673,-1381.715173,50.081298
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",662200,0.037665,200.0,11,-1469.309589,-1530.632408,-1412.372436,39.06337
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",664400,0.037666,200.0,11,-1493.614529,-1532.270751,-1424.51808,37.078567
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",666600,0.035118,200.0,11,-1478.871616,-1522.673191,-1415.268513,38.513725
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",668800,0.035125,200.0,11,-1438.675092,-1506.406456,-1359.854218,48.053384
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",671000,0.035184,200.0,11,-1477.078267,-1514.364562,-1359.606115,45.118458
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",673200,0.037936,200.0,11,-1493.370352,-1533.197502,-1431.946929,30.806392
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",675400,0.035385,200.0,11,-1489.270118,-1537.947832,-1376.594921,45.485417
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",677600,0.035209,200.0,11,-1490.135249,-1523.974993,-1394.864676,38.725316
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",679800,0.035189,200.0,11,-1457.278085,-1506.724946,-1385.985648,41.066969
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",682000,0.034943,200.0,11,-1474.195721,-1515.563963,-1432.088979,28.965506
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",684200,0.036906,200.0,11,-1478.953396,-1515.550619,-1419.817292,34.551123
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",686400,0.036881,200.0,11,-1469.784597,-1527.872099,-1327.917745,62.392414
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",688600,0.034961,200.0,11,-1456.651391,-1526.121311,-1383.552194,46.056242
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",690800,0.034889,200.0,11,-1488.209838,-1516.456934,-1426.560319,31.930744
