,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.0108296871185303,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,2048,0.463199,1024.0,-937.513928,-977.515176,-897.512679,40.001248
1,2,2.0809967517852783,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,4096,0.490766,1024.0,-794.926694,-813.816175,-776.037213,18.889481
2,3,3.1205577850341797,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,6144,0.477925,1024.0,-1001.3817,-1013.032857,-989.730543,11.651157
3,4,4.186813831329346,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,8192,0.49052,1024.0,-852.953722,-899.99601,-805.911434,47.042288
4,5,5.173095941543579,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.453937,1024.0,-852.817919,-888.732509,-816.903328,35.914591
0,6,6.155514717102051,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,12288,0.445922,1024.0,-811.417527,-827.575475,-795.259579,16.157948
1,7,7.193509817123413,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,14336,0.476858,1024.0,-714.803986,-723.278727,-706.329244,8.474742
2,8,8.27313780784607,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,16384,0.497323,1024.0,-708.48922,-718.570055,-698.408385,10.080835
3,9,9.34290361404419,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,18432,0.490192,1024.0,-698.079423,-708.596524,-687.562323,10.517101
4,10,10.402207851409912,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.487594,1024.0,-636.326827,-642.472749,-630.180906,6.145922
0,11,11.390317678451538,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,22528,0.451628,1024.0,-610.02264,-673.43283,-546.61245,63.41019
