,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: hover_ppo_v2_2023-01-23,2048,0.000552,1.0,2048,-0.787656,-0.787693,-0.787619,1.1e-05,1,29.365748167037964
1,exp_name: hover_ppo_v2_2023-01-23,4096,0.000507,1.0,2048,-0.787655,-0.787689,-0.787614,1.1e-05,2,57.674391984939575
2,exp_name: hover_ppo_v2_2023-01-23,6144,0.000525,1.0,2048,-0.787655,-0.787688,-0.787624,1e-05,3,86.57150506973267
3,exp_name: hover_ppo_v2_2023-01-23,8192,0.000522,1.0,2048,-0.787655,-0.787689,-0.787618,1.1e-05,4,115.38494110107422
4,exp_name: hover_ppo_v2_2023-01-23,10240,0.000536,1.0,2048,-0.787655,-0.787692,-0.787614,1.1e-05,5,144.476056098938
0,exp_name: hover_ppo_v2_2023-01-23,12288,0.000513,1.0,2048,-0.787654,-0.787689,-0.787616,1.1e-05,6,173.02294325828552
1,exp_name: hover_ppo_v2_2023-01-23,14336,0.000489,1.0,2048,-0.787653,-0.787686,-0.787612,1.1e-05,7,201.12409329414368
2,exp_name: hover_ppo_v2_2023-01-23,16384,0.000508,1.0,2048,-0.787651,-0.787686,-0.787614,1.1e-05,8,229.62979817390442
3,exp_name: hover_ppo_v2_2023-01-23,18432,0.000507,1.0,2048,-0.787649,-0.787686,-0.787617,1.1e-05,9,258.11186623573303
4,exp_name: hover_ppo_v2_2023-01-23,20480,0.00054,1.0,2048,-0.787648,-0.787689,-0.787614,1.1e-05,10,287.46368622779846
0,exp_name: hover_ppo_v2_2023-01-23,22528,0.000598,1.0,2048,-0.787645,-0.787678,-0.787603,1.1e-05,11,317.95558500289917
1,exp_name: hover_ppo_v2_2023-01-23,24576,0.000514,1.0,2048,-0.787644,-0.78768,-0.787607,1.1e-05,12,346.6895411014557
2,exp_name: hover_ppo_v2_2023-01-23,26624,0.000465,1.0,2048,-0.787641,-0.787678,-0.787601,1.1e-05,13,374.4845521450043
3,exp_name: hover_ppo_v2_2023-01-23,28672,0.000503,1.0,2048,-0.787638,-0.787673,-0.787601,1.1e-05,14,403.0211000442505
4,exp_name: hover_ppo_v2_2023-01-23,30720,0.00051,1.0,2048,-0.787636,-0.787673,-0.7876,1.1e-05,15,431.5265121459961
0,exp_name: hover_ppo_v2_2023-01-23,32768,0.000454,1.0,2048,-0.787633,-0.787668,-0.787596,1.1e-05,16,459.041953086853
1,exp_name: hover_ppo_v2_2023-01-23,34816,0.000442,1.0,2048,-0.78763,-0.787664,-0.787591,1.1e-05,17,486.2565360069275
2,exp_name: hover_ppo_v2_2023-01-23,36864,0.000442,1.0,2048,-0.787628,-0.787662,-0.787592,1.1e-05,18,513.2409291267395
3,exp_name: hover_ppo_v2_2023-01-23,38912,0.000443,1.0,2048,-0.787625,-0.787667,-0.787578,1.1e-05,19,540.2762441635132
4,exp_name: hover_ppo_v2_2023-01-23,40960,0.000445,1.0,2048,-0.787622,-0.787658,-0.787583,1.1e-05,20,567.3821060657501
0,exp_name: hover_ppo_v2_2023-01-23,43008,0.000567,1.0,2048,-0.787619,-0.787654,-0.787577,1.1e-05,21,965.8260819911957
1,exp_name: hover_ppo_v2_2023-01-23,45056,0.000526,1.0,2048,-0.787616,-0.787654,-0.787572,1.1e-05,22,994.4836342334747
2,exp_name: hover_ppo_v2_2023-01-23,47104,0.000544,1.0,2048,-0.787613,-0.787656,-0.787571,1.1e-05,23,1023.6645321846008
3,exp_name: hover_ppo_v2_2023-01-23,49152,0.000533,1.0,2048,-0.787611,-0.787651,-0.787567,1.2e-05,24,1052.4753060340881
4,exp_name: hover_ppo_v2_2023-01-23,51200,0.000472,1.0,2048,-0.787607,-0.787651,-0.787572,1.2e-05,25,1080.1482422351837
