,episodes,training time,length per episode,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,0.6255292892456055,1,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,2200,0.038883,200.0,-1342.88013,-1795.364819,-882.326357,335.693485
0,1.2703862190246582,2,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,4400,0.039879,200.0,-1136.887119,-1817.267619,-766.448829,337.392732
0,1.9026641845703125,3,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,6600,0.038926,200.0,-1333.859222,-1849.10205,-624.352502,380.116599
0,2.514186143875122,4,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,8800,0.037502,200.0,-1326.554654,-1868.252673,-863.321158,370.561447
0,3.1277103424072266,5,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,11000,0.037642,200.0,-1048.031193,-1573.804947,-732.764994,233.795209
0,3.7373852729797363,6,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,13200,0.03706,200.0,-1140.183886,-1536.03956,-705.454068,222.095317
0,4.352912187576294,7,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,15400,0.038727,200.0,-1206.710487,-1805.098882,-841.571614,294.403093
0,4.931900262832642,8,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,17600,0.035925,200.0,-1139.232905,-1754.124822,-626.455209,349.794645
0,5.532200336456299,9,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,19800,0.037021,200.0,-1059.273043,-1750.919605,-771.098447,264.371588
0,6.110636234283447,10,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,22000,0.035924,200.0,-1384.686653,-1861.586825,-959.267021,299.107158
0,6.721864223480225,11,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,24200,0.037233,200.0,-1101.438339,-1654.182324,-792.738814,249.096851
0,7.3263983726501465,12,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,26400,0.038146,200.0,-1099.068856,-1405.225055,-743.242937,220.483484
0,7.920212984085083,13,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,28600,0.037036,200.0,-1257.916631,-1538.770496,-863.1513,184.332943
0,8.57550835609436,14,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,30800,0.037145,200.0,-1132.343224,-1615.245088,-891.35601,252.279247
0,9.221689224243164,15,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,33000,0.040588,200.0,-1164.456785,-1857.380118,-864.236431,266.11985
0,9.875219345092773,16,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,35200,0.042543,200.0,-1242.761564,-1707.750452,-888.353977,279.950363
0,10.454411029815674,17,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,37400,0.035852,200.0,-1123.753543,-1581.071002,-760.256448,233.190293
0,11.038735151290894,18,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,39600,0.036366,200.0,-1165.870722,-1520.88418,-777.301466,227.985832
0,11.636733293533325,19,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,41800,0.035714,200.0,-1014.346465,-1358.335066,-763.234005,176.54892
