,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: hover-aviary-v0_2023-01-22,2048,0.000494,1.0,2048,-2.575312,-2.575386,-2.575239,2.1e-05,1,28.05622100830078
1,exp_name: hover-aviary-v0_2023-01-22,4096,0.000517,1.0,2048,-2.575311,-2.575378,-2.575229,2.2e-05,2,56.64598608016968
2,exp_name: hover-aviary-v0_2023-01-22,6144,0.000518,1.0,2048,-2.575311,-2.575377,-2.575249,2.1e-05,3,85.29112815856934
3,exp_name: hover-aviary-v0_2023-01-22,8192,0.000454,1.0,2048,-2.575311,-2.575379,-2.575236,2.1e-05,4,112.52765703201294
4,exp_name: hover-aviary-v0_2023-01-22,10240,0.000454,1.0,2048,-2.57531,-2.575384,-2.575229,2.2e-05,5,139.8052191734314
0,exp_name: hover-aviary-v0_2023-01-22,12288,0.000457,1.0,2048,-2.575308,-2.575379,-2.575232,2.1e-05,6,167.30629205703735
1,exp_name: hover-aviary-v0_2023-01-22,14336,0.000455,1.0,2048,-2.575306,-2.575373,-2.575226,2.2e-05,7,194.74218821525574
2,exp_name: hover-aviary-v0_2023-01-22,16384,0.000475,1.0,2048,-2.575304,-2.575373,-2.575229,2.1e-05,8,447.16753220558167
3,exp_name: hover-aviary-v0_2023-01-22,18432,0.000448,1.0,2048,-2.575301,-2.575373,-2.575236,2.2e-05,9,474.4759991168976
4,exp_name: hover-aviary-v0_2023-01-22,20480,0.000462,1.0,2048,-2.575299,-2.575381,-2.575231,2.2e-05,10,709.207682132721
0,exp_name: hover-aviary-v0_2023-01-22,22528,0.000442,1.0,2048,-2.575293,-2.57536,-2.575209,2.1e-05,11,736.3242981433868
1,exp_name: hover-aviary-v0_2023-01-22,24576,0.00047,1.0,2048,-2.575291,-2.575364,-2.575219,2.1e-05,12,1537.7950749397278
2,exp_name: hover-aviary-v0_2023-01-22,26624,0.000461,1.0,2048,-2.575287,-2.57536,-2.575207,2.2e-05,13,2560.286619901657
3,exp_name: hover-aviary-v0_2023-01-22,28672,0.000531,1.0,2048,-2.575282,-2.575351,-2.575206,2.2e-05,14,3235.5939819812775
4,exp_name: hover-aviary-v0_2023-01-22,30720,0.00052,1.0,2048,-2.575277,-2.575352,-2.575206,2.2e-05,15,3264.0407571792603
0,exp_name: hover-aviary-v0_2023-01-22,32768,0.00051,1.0,2048,-2.575272,-2.575341,-2.575198,2.2e-05,16,3292.307277917862
1,exp_name: hover-aviary-v0_2023-01-22,34816,0.000492,1.0,2048,-2.575266,-2.575335,-2.575188,2.3e-05,17,3320.702444076538
2,exp_name: hover-aviary-v0_2023-01-22,36864,0.00056,1.0,2048,-2.575262,-2.575331,-2.575192,2.2e-05,18,3350.1784479618073
3,exp_name: hover-aviary-v0_2023-01-22,38912,0.000506,1.0,2048,-2.575257,-2.575341,-2.575163,2.3e-05,19,3378.4156460762024
4,exp_name: hover-aviary-v0_2023-01-22,40960,0.000498,1.0,2048,-2.575252,-2.575322,-2.575174,2.3e-05,20,3406.629384994507
0,exp_name: hover-aviary-v0_2023-01-22,43008,0.000477,1.0,2048,-2.575246,-2.575314,-2.575161,2.2e-05,21,3434.452234983444
1,exp_name: hover-aviary-v0_2023-01-22,45056,0.0005,1.0,2048,-2.57524,-2.575316,-2.575151,2.2e-05,22,3462.756094932556
2,exp_name: hover-aviary-v0_2023-01-22,47104,0.000559,1.0,2048,-2.575234,-2.575319,-2.575151,2.3e-05,23,3492.106017112732
3,exp_name: hover-aviary-v0_2023-01-22,49152,0.000572,1.0,2048,-2.57523,-2.575309,-2.575142,2.3e-05,24,3521.706797838211
4,exp_name: hover-aviary-v0_2023-01-22,51200,0.000515,1.0,2048,-2.575223,-2.575309,-2.575153,2.3e-05,25,3550.4727499485016
