,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,2048,0.000775,1.0,2048,-0.888888,-0.889662,-0.887238,0.000428,1,30.146772146224976
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,4096,0.000742,1.0,2048,-0.888863,-0.889662,-0.887416,0.000436,2,59.8992702960968
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,6144,0.000735,1.0,2048,-0.888898,-0.889662,-0.887468,0.000425,3,89.46817517280579
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,8192,0.000777,1.0,2048,-0.888866,-0.889662,-0.887275,0.000427,4,119.51345324516296
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,10240,0.000752,1.0,2048,-0.88885,-0.889662,-0.887229,0.000433,5,149.4172339439392
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,12288,0.000827,1.0,2048,-0.888825,-0.889662,-0.887438,0.000437,6,180.46885418891907
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,14336,0.000847,1.0,2048,-0.888785,-0.889662,-0.887319,0.000429,7,211.8473401069641
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,16384,0.00084,1.0,2048,-0.888742,-0.889662,-0.88727,0.000439,8,243.16074109077454
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,18432,0.00084,1.0,2048,-0.888718,-0.889662,-0.887435,0.00044,9,274.5058832168579
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,20480,0.000803,1.0,2048,-0.888681,-0.889662,-0.887255,0.000436,10,305.2819142341614
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,22528,0.000813,1.0,2048,-0.888632,-0.889662,-0.887314,0.000443,11,336.07589507102966
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,24576,0.000854,1.0,2048,-0.888581,-0.889662,-0.887222,0.00046,12,367.2674660682678
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,26624,0.00086,1.0,2048,-0.888524,-0.889662,-0.887222,0.000454,13,398.6713480949402
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,28672,0.000856,1.0,2048,-0.888457,-0.889662,-0.887222,0.000441,14,430.28778409957886
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,30720,0.000859,1.0,2048,-0.888394,-0.889657,-0.887222,0.000451,15,461.7637939453125
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-25,32768,0.000834,1.0,2048,-0.888301,-0.889641,-0.887222,0.000442,16,492.82747316360474
