,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.474146,1024.0,-930.412565,-1056.968973,-803.856157,126.556408,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,1.0772600173950195,2048
1,0.482841,1024.0,-873.887081,-935.306378,-812.467783,61.419298,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,2.168912172317505,4096
2,0.473363,1024.0,-748.464095,-748.740298,-748.187893,0.276203,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,3.2424261569976807,6144
3,0.468921,1024.0,-671.351089,-674.442109,-668.26007,3.09102,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,4.304404973983765,8192
4,0.444454,1024.0,-575.886815,-580.441612,-571.332019,4.554797,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,5.319610118865967,10240
0,0.447453,1024.0,-585.734534,-588.957892,-582.511175,3.223358,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,6.346293926239014,12288
1,0.466503,1024.0,-569.77325,-573.113719,-566.432781,3.340469,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,7.402141094207764,14336
2,0.471543,1024.0,-610.772556,-618.149813,-603.395299,7.377257,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,8.47773814201355,16384
3,0.480263,1024.0,-536.266883,-538.99173,-533.542035,2.724848,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,9.560785055160522,18432
4,0.443277,1024.0,-570.794557,-583.593091,-557.996023,12.798534,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,10.573007106781006,20480
0,0.451824,1024.0,-592.869441,-593.612333,-592.126549,0.742892,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,11.604856967926025,22528
1,0.464177,1024.0,-510.933043,-514.999993,-506.866092,4.06695,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,12.654382944107056,24576
2,0.428922,1024.0,-552.416238,-566.691248,-538.141227,14.275011,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,13.635412216186523,26624
3,0.470095,1024.0,-599.645253,-631.57181,-567.718695,31.926557,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,14.704868078231812,28672
4,0.454618,1024.0,-583.462436,-592.172014,-574.752858,8.709578,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,15.743444919586182,30720
0,0.457793,1024.0,-604.894423,-633.614116,-576.17473,28.719693,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,16.785678148269653,32768
1,0.451638,1024.0,-549.857577,-551.662818,-548.052335,1.805242,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,17.811896085739136,34816
2,0.4253,1024.0,-477.703662,-483.73876,-471.668565,6.035098,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,18.78372597694397,36864
3,0.443655,1024.0,-492.547167,-506.833096,-478.261238,14.285929,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,19.805758237838745,38912
4,0.481424,1024.0,-501.293957,-507.161448,-495.426466,5.867491,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,20.89544701576233,40960
0,0.465387,1024.0,-476.242402,-481.326288,-471.158516,5.083886,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,21.95842719078064,43008
1,0.484942,1024.0,-424.227001,-428.857521,-419.596481,4.63052,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,23.051700830459595,45056
