,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.039209,200.0,-722.171346,-934.018594,-506.677271,112.275447,11,exp_name: Pendulum-v1_2023-01-30 (TEST),45,101200
0,0.063415,200.0,-724.902352,-862.34175,-627.637019,79.067394,11,exp_name: Pendulum-v1_2023-01-30 (TEST),46,103400
0,0.039983,200.0,-761.412583,-923.950755,-577.711618,112.183276,11,exp_name: Pendulum-v1_2023-01-30 (TEST),47,105600
0,0.040798,200.0,-742.924131,-967.917753,-508.368125,123.292815,11,exp_name: Pendulum-v1_2023-01-30 (TEST),48,107800
0,0.039847,200.0,-686.337879,-869.079843,-609.922482,79.373656,11,exp_name: Pendulum-v1_2023-01-30 (TEST),49,110000
0,0.043902,200.0,-602.990314,-734.861083,-508.611591,64.143916,11,exp_name: Pendulum-v1_2023-01-30 (TEST),50,112200
0,0.039677,200.0,-647.80762,-855.188543,-508.336492,97.155021,11,exp_name: Pendulum-v1_2023-01-30 (TEST),51,114400
0,0.037766,200.0,-659.593849,-912.469697,-503.446633,103.683006,11,exp_name: Pendulum-v1_2023-01-30 (TEST),52,116600
0,0.038712,200.0,-545.81067,-747.982103,-263.901304,148.388003,11,exp_name: Pendulum-v1_2023-01-30 (TEST),53,118800
0,0.039031,200.0,-551.126547,-770.754011,-379.331354,144.059884,11,exp_name: Pendulum-v1_2023-01-30 (TEST),54,121000
0,0.039681,200.0,-578.405871,-737.377413,-385.14257,98.844611,11,exp_name: Pendulum-v1_2023-01-30 (TEST),55,123200
0,0.038338,200.0,-511.240123,-923.965864,-378.597218,175.850041,11,exp_name: Pendulum-v1_2023-01-30 (TEST),56,125400
0,0.04613,200.0,-543.876892,-633.774185,-432.14234,74.647254,11,exp_name: Pendulum-v1_2023-01-30 (TEST),57,127600
0,0.041452,200.0,-552.338843,-816.196901,-253.696778,168.590508,11,exp_name: Pendulum-v1_2023-01-30 (TEST),58,129800
0,0.041177,200.0,-514.051412,-735.906773,-259.00304,149.530053,11,exp_name: Pendulum-v1_2023-01-30 (TEST),59,132000
0,0.039005,200.0,-431.724729,-613.596549,-242.584934,131.196149,11,exp_name: Pendulum-v1_2023-01-30 (TEST),60,134200
0,0.039287,200.0,-454.26213,-727.434857,-253.619845,138.537635,11,exp_name: Pendulum-v1_2023-01-30 (TEST),61,136400
