,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: hover_ppo_v2_2023-01-23,4098,0.000491,1.0,4098,-0.787656,-0.787693,-0.787615,1.1e-05,1,56.22696375846863
1,exp_name: hover_ppo_v2_2023-01-23,8196,0.000513,1.0,4098,-0.787656,-0.78769,-0.787619,1.1e-05,2,113.67148470878601
2,exp_name: hover_ppo_v2_2023-01-23,12294,0.000486,1.0,4098,-0.787656,-0.787693,-0.787615,1.1e-05,3,170.1489520072937
3,exp_name: hover_ppo_v2_2023-01-23,16392,0.000492,1.0,4098,-0.787655,-0.787689,-0.787615,1.1e-05,4,226.22437381744385
4,exp_name: hover_ppo_v2_2023-01-23,20490,0.000451,1.0,4098,-0.787655,-0.787696,-0.787622,1.1e-05,5,280.5664858818054
0,exp_name: hover_ppo_v2_2023-01-23,24588,0.000464,1.0,4098,-0.787654,-0.78769,-0.787612,1.1e-05,6,336.0879259109497
1,exp_name: hover_ppo_v2_2023-01-23,28686,0.000493,1.0,4098,-0.787653,-0.787689,-0.787614,1.1e-05,7,393.1575827598572
2,exp_name: hover_ppo_v2_2023-01-23,32784,0.000497,1.0,4098,-0.787651,-0.787688,-0.787615,1.1e-05,8,450.14352464675903
3,exp_name: hover_ppo_v2_2023-01-23,36882,0.000548,1.0,4098,-0.787649,-0.787683,-0.787611,1.1e-05,9,509.8679406642914
4,exp_name: hover_ppo_v2_2023-01-23,40980,0.000505,1.0,4098,-0.787648,-0.787689,-0.787602,1.1e-05,10,567.2644097805023
0,exp_name: hover_ppo_v2_2023-01-23,45078,0.000467,1.0,4098,-0.787646,-0.787682,-0.787603,1.1e-05,11,623.4825189113617
1,exp_name: hover_ppo_v2_2023-01-23,49176,0.000448,1.0,4098,-0.787643,-0.787684,-0.787602,1.1e-05,12,678.8497409820557
2,exp_name: hover_ppo_v2_2023-01-23,53274,0.000523,1.0,4098,-0.787641,-0.787688,-0.787604,1.1e-05,13,737.393435716629
3,exp_name: hover_ppo_v2_2023-01-23,57372,0.000483,1.0,4098,-0.787638,-0.787675,-0.787601,1.1e-05,14,792.9917507171631
4,exp_name: hover_ppo_v2_2023-01-23,61470,0.000492,1.0,4098,-0.787636,-0.787676,-0.787598,1.1e-05,15,849.6613957881927
0,exp_name: hover_ppo_v2_2023-01-23,65568,0.000493,1.0,4098,-0.787633,-0.787673,-0.78759,1.1e-05,16,907.074789762497
1,exp_name: hover_ppo_v2_2023-01-23,69666,0.000505,1.0,4098,-0.787631,-0.787669,-0.787583,1.1e-05,17,964.6003677845001
2,exp_name: hover_ppo_v2_2023-01-23,73764,0.000506,1.0,4098,-0.787628,-0.787673,-0.787591,1.1e-05,18,1021.6828887462616
3,exp_name: hover_ppo_v2_2023-01-23,77862,0.00052,1.0,4098,-0.787625,-0.787668,-0.787584,1.1e-05,19,1079.721272945404
4,exp_name: hover_ppo_v2_2023-01-23,81960,0.000482,1.0,4098,-0.787623,-0.78767,-0.787576,1.2e-05,20,1136.2843549251556
0,exp_name: hover_ppo_v2_2023-01-23,86058,0.000487,1.0,4098,-0.78762,-0.787659,-0.787577,1.1e-05,21,1192.7055537700653
1,exp_name: hover_ppo_v2_2023-01-23,90156,0.000451,1.0,4098,-0.787617,-0.787654,-0.787573,1.1e-05,22,1247.8490307331085
2,exp_name: hover_ppo_v2_2023-01-23,94254,0.000517,1.0,4098,-0.787614,-0.787652,-0.78757,1.2e-05,23,1305.3686788082123
3,exp_name: hover_ppo_v2_2023-01-23,98352,0.000524,1.0,4098,-0.787611,-0.787647,-0.787567,1.1e-05,24,1362.4527459144592
4,exp_name: hover_ppo_v2_2023-01-23,102450,0.000497,1.0,4098,-0.787608,-0.787648,-0.787561,1.1e-05,25,1419.3195507526398
0,exp_name: hover_ppo_v2_2023-01-23,106548,0.000511,1.0,4098,-0.787605,-0.787648,-0.787563,1.2e-05,26,1477.238984823227
1,exp_name: hover_ppo_v2_2023-01-23,110646,0.000546,1.0,4098,-0.787602,-0.787649,-0.787552,1.2e-05,27,1536.3442809581757
2,exp_name: hover_ppo_v2_2023-01-23,114744,0.000585,1.0,4098,-0.787599,-0.787643,-0.787553,1.1e-05,28,1597.329797744751
3,exp_name: hover_ppo_v2_2023-01-23,118842,0.000591,1.0,4098,-0.787596,-0.787641,-0.787553,1.2e-05,29,1659.2393326759338
4,exp_name: hover_ppo_v2_2023-01-23,122940,0.000452,1.0,4098,-0.787594,-0.787631,-0.787553,1.2e-05,30,1714.3384749889374
0,exp_name: hover_ppo_v2_2023-01-23,127038,0.000448,1.0,4098,-0.78759,-0.787632,-0.787545,1.2e-05,31,1769.5356628894806
1,exp_name: hover_ppo_v2_2023-01-23,131136,0.000449,1.0,4098,-0.787587,-0.787624,-0.787547,1.2e-05,32,1824.114308834076
2,exp_name: hover_ppo_v2_2023-01-23,135234,0.000453,1.0,4098,-0.787585,-0.787622,-0.787542,1.2e-05,33,1879.2787988185883
3,exp_name: hover_ppo_v2_2023-01-23,139332,0.000463,1.0,4098,-0.787581,-0.787619,-0.787538,1.2e-05,34,1934.6910948753357
4,exp_name: hover_ppo_v2_2023-01-23,143430,0.000451,1.0,4098,-0.787578,-0.787616,-0.787534,1.2e-05,35,1990.3710157871246
0,exp_name: hover_ppo_v2_2023-01-23,147528,0.000452,1.0,4098,-0.787576,-0.787622,-0.787535,1.2e-05,36,2045.3525376319885
1,exp_name: hover_ppo_v2_2023-01-23,151626,0.000453,1.0,4098,-0.787572,-0.787615,-0.787532,1.2e-05,37,2100.9114117622375
2,exp_name: hover_ppo_v2_2023-01-23,155724,0.000445,1.0,4098,-0.787569,-0.787606,-0.787525,1.2e-05,38,2155.3759229183197
3,exp_name: hover_ppo_v2_2023-01-23,159822,0.000448,1.0,4098,-0.787567,-0.787614,-0.787515,1.2e-05,39,2209.7632377147675
