,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,2.607295036315918,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,5120,0.479124,1024.0,-901.614544,-1034.129206,-783.287765,92.455826
0,2,5.295930862426758,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.493309,1024.0,-916.94948,-1025.387657,-826.498307,70.2548
0,3,7.851524829864502,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,15360,0.468287,1024.0,-806.977438,-877.916767,-757.490234,43.150423
0,4,10.510721683502197,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.488125,1024.0,-745.506928,-783.136195,-708.777005,25.602318
0,5,13.049989938735962,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,25600,0.464612,1024.0,-680.972174,-779.206437,-605.955489,66.96592
0,6,15.613581657409668,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,30720,0.469558,1024.0,-645.19658,-672.421883,-591.835104,28.335563
0,7,18.26139497756958,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,35840,0.484728,1024.0,-626.991935,-667.347389,-606.6995,21.121974
0,8,20.77714776992798,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,40960,0.459604,1024.0,-637.734677,-696.043845,-562.118532,44.07666
0,9,23.332443952560425,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,46080,0.468146,1024.0,-609.710465,-639.84383,-554.150263,29.047562
0,10,25.86105179786682,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,51200,0.462645,1024.0,-619.843808,-702.946325,-556.44489,50.419823
0,11,28.412245988845825,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,56320,0.46349,1024.0,-613.337342,-677.177527,-578.556888,37.493152
0,12,31.08319902420044,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,61440,0.487804,1024.0,-634.177095,-672.785292,-599.913344,27.083429
0,13,33.73573088645935,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,66560,0.48353,1024.0,-608.803448,-690.6493,-544.852566,47.096065
0,14,36.394195795059204,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,71680,0.485754,1024.0,-564.313565,-659.36694,-520.825108,48.770838
0,15,39.005833864212036,5,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,76800,0.476202,1024.0,-532.468704,-563.47543,-497.977311,22.887275
