,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
4,0.459775,1024.0,-475.520728,-503.196118,-447.845339,27.67539,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,42.13283681869507,81920
0,0.440953,1024.0,-508.581307,-511.565029,-505.597586,2.983722,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,43.14317297935486,83968
1,0.435573,1024.0,-509.891886,-535.792938,-483.990835,25.901052,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,44.14088702201843,86016
2,0.455445,1024.0,-469.096709,-488.282871,-449.910548,19.186161,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,45.17727208137512,88064
3,0.433465,1024.0,-469.551246,-482.369054,-456.733438,12.817808,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,46.16253399848938,90112
4,0.45114,1024.0,-520.362486,-531.07322,-509.651751,10.710735,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,47.193723917007446,92160
0,0.442841,1024.0,-547.682614,-559.801524,-535.563704,12.11891,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,48.204341173172,94208
1,0.436486,1024.0,-500.56034,-533.661245,-467.459435,33.100905,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,49.198747873306274,96256
2,0.461741,1024.0,-535.858865,-582.085307,-489.632422,46.226443,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,50.24643588066101,98304
3,0.434376,1024.0,-450.503549,-461.575365,-439.431732,11.071816,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,51.23913311958313,100352
4,0.440708,1024.0,-424.998177,-430.57799,-419.418365,5.579812,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,52.251184940338135,102400
0,0.458282,1024.0,-438.823814,-448.179285,-429.468343,9.355471,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,53.29424500465393,104448
1,0.436206,1024.0,-446.706646,-453.106691,-440.3066,6.400045,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,54.290749073028564,106496
2,0.450881,1024.0,-423.050743,-433.192337,-412.909149,10.141594,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,55.3189058303833,108544
3,0.441754,1024.0,-413.068647,-430.834439,-395.302856,17.765792,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,56.32644009590149,110592
4,0.435168,1024.0,-420.194436,-423.197448,-417.191424,3.003012,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,57.3183970451355,112640
0,0.467094,1024.0,-406.664793,-408.104399,-405.225188,1.439605,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,58.38021683692932,114688
1,0.435065,1024.0,-362.439471,-368.927603,-355.951338,6.488132,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,59.373370885849,116736
2,0.450186,1024.0,-355.080322,-356.188027,-353.972616,1.107705,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,60.40007781982422,118784
3,0.468944,1024.0,-332.600588,-336.424544,-328.776632,3.823956,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,61.465206146240234,120832
4,0.437786,1024.0,-341.543718,-347.719688,-335.367748,6.17597,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,62.46731615066528,122880
0,0.459441,1024.0,-341.949694,-342.921348,-340.97804,0.971654,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,63.51797294616699,124928
1,0.442931,1024.0,-303.738537,-309.905654,-297.571421,6.167116,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,64.52486395835876,126976
2,0.437299,1024.0,-342.890754,-345.094254,-340.687253,2.203501,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,65.52084994316101,129024
3,0.466556,1024.0,-332.461592,-337.165363,-327.757822,4.703771,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,66.58125901222229,131072
4,0.439008,1024.0,-327.559225,-339.093163,-316.025287,11.533938,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,67.58074402809143,133120
0,0.448327,1024.0,-338.532057,-339.877582,-337.186532,1.345525,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,68.61750411987305,135168
1,0.490983,1024.0,-356.337762,-363.358608,-349.316917,7.020846,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,69.72634291648865,137216
2,0.457766,1024.0,-348.084011,-354.476789,-341.691232,6.392778,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,70.76895809173584,139264
3,0.471184,1024.0,-324.451391,-332.651648,-316.251135,8.200256,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,71.83653688430786,141312
4,0.469377,1024.0,-326.80673,-339.304964,-314.308496,12.498234,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,72.9089150428772,143360
0,0.489824,1024.0,-319.252644,-323.574638,-314.930651,4.321993,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,74.02359414100647,145408
1,0.49622,1024.0,-307.938204,-323.667205,-292.209204,15.729,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,75.14355993270874,147456
2,0.478738,1024.0,-309.957134,-313.186665,-306.727604,3.229531,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,76.22615814208984,149504
3,0.478369,1024.0,-291.320623,-293.936629,-288.704616,2.616007,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,77.30960011482239,151552
4,0.459985,1024.0,-285.502208,-288.636857,-282.367558,3.134649,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,78.35520601272583,153600
0,0.441121,1024.0,-283.953259,-287.728732,-280.177785,3.775473,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,79.36843013763428,155648
1,0.454137,1024.0,-282.043194,-283.174078,-280.91231,1.130884,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,80.39931797981262,157696
2,0.434217,1024.0,-285.60425,-285.704737,-285.503763,0.100487,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,81.38973593711853,159744
3,0.46793,1024.0,-266.967302,-268.446568,-265.488035,1.479266,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,82.45287990570068,161792
4,0.474543,1024.0,-270.73985,-278.172425,-263.307276,7.432574,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,83.53247404098511,163840
