,experiment,timestep,mean episodic runtime,mean episodic length,length per episode,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,2200,0.037961,200.0,11,-1342.88013,-1795.364819,-882.326357,335.693485,0
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,4400,0.039784,200.0,11,-1136.887119,-1817.267619,-766.448829,337.392732,1
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,6600,0.038451,200.0,11,-1333.859222,-1849.10205,-624.352502,380.116599,2
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,8800,0.038197,200.0,11,-1326.554654,-1868.252673,-863.321158,370.561447,3
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,11000,0.038265,200.0,11,-1048.031193,-1573.804947,-732.764994,233.795209,4
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,13200,0.039002,200.0,11,-1140.183886,-1536.03956,-705.454068,222.095317,5
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,15400,0.038795,200.0,11,-1206.710487,-1805.098882,-841.571614,294.403093,6
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,17600,0.037398,200.0,11,-1139.232905,-1754.124822,-626.455209,349.794645,7
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,19800,0.036656,200.0,11,-1059.273043,-1750.919605,-771.098447,264.371588,8
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,22000,0.036282,200.0,11,-1384.686653,-1861.586825,-959.267021,299.107158,9
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,24200,0.03936,200.0,11,-1101.438339,-1654.182324,-792.738814,249.096851,10
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,26400,0.036657,200.0,11,-1099.068856,-1405.225055,-743.242937,220.483484,11
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,28600,0.036494,200.0,11,-1257.916631,-1538.770496,-863.1513,184.332943,12
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,30800,0.036426,200.0,11,-1132.343224,-1615.245088,-891.35601,252.279247,13
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,33000,0.037508,200.0,11,-1164.456785,-1857.380118,-864.236431,266.11985,14
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,35200,0.039412,200.0,11,-1242.761564,-1707.750452,-888.353977,279.950363,15
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,37400,0.036528,200.0,11,-1123.753543,-1581.071002,-760.256448,233.190293,16
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,39600,0.036777,200.0,11,-1165.870722,-1520.88418,-777.301466,227.985832,17
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,41800,0.036567,200.0,11,-1014.346465,-1358.335066,-763.234005,176.54892,18
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,44000,0.03863,200.0,11,-1090.23276,-1642.312735,-767.733829,279.850726,19
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,46200,0.037463,200.0,11,-1080.341542,-1534.87446,-759.34103,250.661828,20
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,48400,0.036931,200.0,11,-1044.472688,-1384.544335,-752.019465,212.916234,21
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,50600,0.036942,200.0,11,-1140.008342,-1594.654166,-783.294534,254.741705,22
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,52800,0.036972,200.0,11,-1022.45122,-1500.716688,-770.005108,231.002493,23
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,55000,0.039157,200.0,11,-1014.791437,-1739.358421,-765.479911,250.393998,24
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,57200,0.036496,200.0,11,-1006.263297,-1510.177006,-756.837748,192.076313,25
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,59400,0.036257,200.0,11,-966.779664,-1331.635201,-774.518064,144.513016,26
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,61600,0.036705,200.0,11,-1004.321386,-1195.248941,-814.918147,136.957079,27
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,63800,0.039244,200.0,11,-905.446072,-1289.641047,-721.356109,164.299955,28
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,66000,0.036815,200.0,11,-970.995652,-1455.776108,-765.905876,222.294395,29
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,68200,0.036416,200.0,11,-976.963142,-1098.583215,-789.705355,107.187813,30
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,70400,0.038335,200.0,11,-965.57255,-1199.129699,-766.708645,146.833319,31
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,72600,0.039741,200.0,11,-998.059096,-1357.508382,-759.905547,173.772637,32
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,74800,0.040454,200.0,11,-964.344114,-1378.766493,-755.025033,191.022608,33
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,77000,0.04109,200.0,11,-972.677604,-1282.782586,-627.484935,180.238898,34
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,79200,0.037518,200.0,11,-922.749767,-1272.240131,-738.029316,139.631864,35
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,81400,0.036516,200.0,11,-964.179088,-1365.899586,-742.63213,168.589774,36
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,83600,0.04006,200.0,11,-946.871588,-1199.069325,-760.831125,113.46359,37
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,85800,0.038582,200.0,11,-901.659525,-1085.003545,-759.850828,122.896633,38
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,88000,0.03781,200.0,11,-859.440587,-1161.007632,-677.456424,136.146304,39
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,90200,0.038068,200.0,11,-973.225954,-1158.634525,-827.410819,102.091214,40
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,92400,0.039508,200.0,11,-890.068488,-1079.713268,-718.79567,123.247249,41
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,94600,0.037208,200.0,11,-856.845732,-1090.50984,-740.584069,107.190554,42
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,96800,0.036113,200.0,11,-909.068806,-1354.960449,-746.215507,182.576964,43
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,99000,0.036466,200.0,11,-947.560693,-1387.026802,-734.413771,197.920399,44
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,101200,0.036403,200.0,11,-868.206514,-1097.650489,-746.448897,111.552243,45
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,103400,0.039948,200.0,11,-852.919489,-1131.22794,-627.302424,163.093394,46
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,105600,0.037547,200.0,11,-852.588302,-991.613301,-756.443011,84.401296,47
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,107800,0.038125,200.0,11,-928.553158,-1207.767627,-745.204482,188.154477,48
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,110000,0.037637,200.0,11,-878.021739,-1092.497241,-739.881155,112.074221,49
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,112200,0.039895,200.0,11,-901.061109,-1143.319255,-671.655954,158.10179,50
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,114400,0.037846,200.0,11,-917.251265,-1252.721565,-719.747882,181.469074,51
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,116600,0.036538,200.0,11,-904.190599,-1239.84762,-667.047477,174.883025,52
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,118800,0.036705,200.0,11,-834.858425,-1155.225725,-626.513669,184.01648,53
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,121000,0.03818,200.0,11,-844.513862,-1110.010725,-680.260216,132.649283,54
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,123200,0.038791,200.0,11,-824.86104,-997.871237,-644.395477,111.110695,55
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,125400,0.036255,200.0,11,-816.991022,-958.466081,-736.305981,66.713043,56
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,127600,0.036325,200.0,11,-732.732814,-862.744933,-511.193742,101.290605,57
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,129800,0.036256,200.0,11,-856.084055,-974.903302,-743.24472,79.19223,58
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,132000,0.039402,200.0,11,-835.55257,-1096.585699,-633.284581,157.908593,59
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,134200,0.039676,200.0,11,-840.556508,-1143.305503,-676.421058,136.392695,60
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,136400,0.039332,200.0,11,-840.088919,-1055.05565,-643.034471,130.846771,61
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,138600,0.039122,200.0,11,-854.594329,-1268.27386,-626.342825,179.10285,62
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,140800,0.038789,200.0,11,-872.207024,-1096.042092,-628.24322,166.759446,63
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,143000,0.038753,200.0,11,-877.680534,-1081.883397,-757.125061,108.828433,64
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,145200,0.041458,200.0,11,-864.94757,-1017.856639,-756.64448,76.537702,65
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,147400,0.037278,200.0,11,-832.338048,-1195.01849,-630.285456,136.61396,66
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,149600,0.036813,200.0,11,-770.241898,-973.560138,-627.961022,100.149014,67
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,151800,0.039226,200.0,11,-793.486906,-868.58965,-750.817115,46.658651,68
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,154000,0.037062,200.0,11,-746.990401,-1022.890342,-615.43252,125.560962,69
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,156200,0.036238,200.0,11,-782.47209,-877.898078,-627.663047,72.082523,70
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,158400,0.036388,200.0,11,-822.685792,-1060.555205,-634.723121,110.672727,71
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,160600,0.037729,200.0,11,-826.990188,-982.958627,-629.276416,100.276344,72
