,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.5233359336853027,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,2048,0.718396,1024.0,-937.724786,-977.786811,-897.662761,40.062025
1,2,3.071854829788208,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,4096,0.729967,1024.0,-795.204806,-814.121575,-776.288036,18.916769
2,3,4.598133087158203,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,6144,0.71986,1024.0,-1001.976954,-1013.669809,-990.2841,11.692855
3,4,6.033608913421631,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,8192,0.673833,1024.0,-853.341453,-900.451905,-806.231002,47.110452
4,5,7.494103193283081,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.687545,1024.0,-853.255648,-889.230527,-817.280769,35.974879
0,6,8.940629005432129,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,12288,0.677173,1024.0,-811.837953,-828.046431,-795.629475,16.208478
1,7,10.421143054962158,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,14336,0.699568,1024.0,-715.145898,-723.631115,-706.660681,8.485217
2,8,11.880262851715088,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,16384,0.68582,1024.0,-708.820924,-718.900924,-698.740923,10.08
3,9,13.376779079437256,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,18432,0.706567,1024.0,-698.425369,-708.953381,-687.897357,10.528012
4,10,14.832648038864136,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.685797,1024.0,-636.637612,-642.785148,-630.490075,6.147537
0,11,16.30784583091736,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,22528,0.693809,1024.0,-610.244987,-673.812569,-546.677404,63.567583
1,12,17.779156923294067,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,24576,0.693408,1024.0,-611.564428,-651.364784,-571.764071,39.800356
2,13,19.248934984207153,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,26624,0.694198,1024.0,-595.452306,-596.91986,-593.984751,1.467555
3,14,20.706006050109863,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,28672,0.685893,1024.0,-592.020405,-622.779354,-561.261456,30.758949
4,15,22.138350009918213,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,30720,0.674585,1024.0,-636.527826,-641.471602,-631.58405,4.943776
0,16,23.61871099472046,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,32768,0.695848,1024.0,-598.4507,-603.085136,-593.816264,4.634436
1,17,25.04459810256958,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,34816,0.671662,1024.0,-614.119064,-636.067751,-592.170377,21.948687
2,18,26.51912498474121,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,36864,0.696483,1024.0,-620.661051,-664.753498,-576.568604,44.092447
3,19,27.9613618850708,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,38912,0.680001,1024.0,-601.753233,-610.86885,-592.637615,9.115617
4,20,29.434695959091187,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,40960,0.695516,1024.0,-574.048366,-613.890649,-534.206083,39.842283
0,21,30.94482111930847,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,43008,0.709409,1024.0,-599.42394,-608.597061,-590.250819,9.173121
1,22,32.53105688095093,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,45056,0.750761,1024.0,-556.269766,-584.297638,-528.241894,28.027872
2,23,34.143315076828,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,47104,0.760865,1024.0,-568.090376,-585.093805,-551.086947,17.003429
3,24,35.691603899002075,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,49152,0.731558,1024.0,-598.357058,-662.462666,-534.25145,64.105608
4,25,37.35272407531738,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,51200,0.783727,1024.0,-596.560719,-598.880961,-594.240476,2.320242
0,26,38.897367000579834,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,53248,0.7293,1024.0,-551.993745,-555.067842,-548.919649,3.074097
1,27,40.36731195449829,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,55296,0.693563,1024.0,-567.05156,-585.281382,-548.821737,18.229823
2,28,41.94472098350525,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,57344,0.745063,1024.0,-592.175243,-618.65284,-565.697645,26.477598
3,29,43.440114974975586,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,59392,0.704741,1024.0,-576.064803,-576.729485,-575.400121,0.664682
4,30,44.98196506500244,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,61440,0.726682,1024.0,-611.115115,-616.333761,-605.896469,5.218646
