,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.050541877746582,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,2048,0.476538,1024.0,-936.090772,-975.957212,-896.224331,39.86644
1,2,2.1262760162353516,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,4096,0.48662,1024.0,-787.38123,-805.314176,-769.448283,17.932947
2,3,3.256087064743042,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,6144,0.512433,1024.0,-966.5559,-974.877499,-958.234301,8.321599
3,4,4.322297096252441,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,8192,0.482678,1024.0,-815.859151,-855.364686,-776.353616,39.505535
4,5,5.313889980316162,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.446567,1024.0,-802.952153,-830.884166,-775.02014,27.932013
0,6,6.339497804641724,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,12288,0.461604,1024.0,-748.866686,-757.345246,-740.388126,8.47856
1,7,7.3327038288116455,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,14336,0.44781,1024.0,-649.995701,-655.032526,-644.958877,5.036824
2,8,8.31749176979065,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,16384,0.443652,1024.0,-640.508258,-651.383529,-629.632987,10.875271
3,9,9.349304914474487,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,18432,0.465913,1024.0,-619.681255,-627.591897,-611.770614,7.910642
4,10,10.328608989715576,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.442058,1024.0,-581.68799,-592.444439,-570.93154,10.756449
0,11,11.314786911010742,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,22528,0.444459,1024.0,-567.301575,-618.942882,-515.660267,51.641308
1,12,12.342943906784058,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,24576,0.465031,1024.0,-569.323329,-601.239472,-537.407186,31.916143
2,13,13.344010829925537,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,26624,0.453917,1024.0,-551.321817,-552.096368,-550.547265,0.774551
3,14,14.363067150115967,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,28672,0.458629,1024.0,-551.663837,-577.4204,-525.907275,25.756562
4,15,15.371982097625732,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,30720,0.455481,1024.0,-598.297859,-603.106547,-593.489172,4.808688
0,16,16.36428213119507,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,32768,0.445282,1024.0,-561.252219,-564.760581,-557.743858,3.508362
1,17,17.40216302871704,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,34816,0.466536,1024.0,-566.218697,-587.163401,-545.273993,20.944704
2,18,18.3872230052948,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,36864,0.44418,1024.0,-568.909706,-604.436908,-533.382505,35.527201
3,19,19.374913930892944,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,38912,0.444183,1024.0,-543.7463,-549.180279,-538.312321,5.433979
4,20,20.409044981002808,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,40960,0.469077,1024.0,-521.277645,-552.61122,-489.944071,31.333575
0,21,21.392704010009766,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,43008,0.442248,1024.0,-547.000058,-555.183882,-538.816234,8.183824
1,22,22.383692979812622,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,45056,0.445899,1024.0,-507.753512,-530.717562,-484.789462,22.96405
2,23,23.40782618522644,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,47104,0.460842,1024.0,-518.720704,-534.836717,-502.604692,16.116013
3,24,24.382883071899414,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,49152,0.439701,1024.0,-545.971089,-596.878751,-495.063426,50.907662
4,25,25.395049810409546,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,51200,0.45634,1024.0,-541.159607,-542.570172,-539.749042,1.410565
0,26,26.401612043380737,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,53248,0.453954,1024.0,-490.643729,-491.867879,-489.419578,1.224151
1,27,27.38009786605835,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,55296,0.443545,1024.0,-493.085617,-504.927424,-481.243809,11.841808
2,28,28.411723852157593,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,57344,0.465575,1024.0,-516.447023,-534.306517,-498.58753,17.859493
3,29,29.395864009857178,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,59392,0.443012,1024.0,-497.337983,-499.080093,-495.595873,1.74211
4,30,30.376104831695557,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,61440,0.442042,1024.0,-523.821538,-526.729679,-520.913397,2.908141
0,31,31.426120042800903,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,63488,0.471914,1024.0,-455.022311,-467.176143,-442.868478,12.153833
1,32,32.40744495391846,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,65536,0.44202,1024.0,-490.532185,-511.363251,-469.701119,20.831066
2,33,33.40284204483032,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,67584,0.449845,1024.0,-434.489257,-450.286314,-418.6922,15.797057
3,34,34.41521716117859,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,69632,0.458489,1024.0,-449.083095,-488.908323,-409.257866,39.825229
4,35,35.395592212677,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,71680,0.441756,1024.0,-420.388256,-422.049646,-418.726866,1.66139
