,episodes,training time,length per episode,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.1452670097351074,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,2048,0.504408,1024.0,-938.327011,-978.452341,-898.20168,40.125331
1,2,2.2232730388641357,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,4096,0.471619,1024.0,-784.899481,-802.385128,-767.413834,17.485647
2,3,3.3569648265838623,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,6144,0.499995,1024.0,-945.304864,-951.460888,-939.148841,6.156024
3,4,4.534688949584961,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,8192,0.526026,1024.0,-791.634363,-826.448247,-756.82048,34.813884
4,5,5.607236862182617,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,10240,0.473391,1024.0,-771.544235,-794.863524,-748.224945,23.31929
0,6,6.729260683059692,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,12288,0.492293,1024.0,-706.992494,-711.012235,-702.972753,4.019741
1,7,7.754092693328857,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,14336,0.451085,1024.0,-606.864434,-609.904663,-603.824206,3.040228
2,8,8.796862840652466,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,16384,0.457587,1024.0,-598.836289,-608.620014,-589.052565,9.783724
3,9,9.879699945449829,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,18432,0.476516,1024.0,-593.074362,-603.773196,-582.375527,10.698834
4,10,10.940001726150513,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,20480,0.468114,1024.0,-553.634025,-563.916612,-543.351438,10.282587
0,11,12.023932933807373,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,22528,0.473618,1024.0,-536.040385,-581.021382,-491.059389,44.980996
1,12,13.076218843460083,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,24576,0.456367,1024.0,-536.637084,-563.207925,-510.066243,26.570841
2,13,14.128910779953003,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,26624,0.46256,1024.0,-516.330055,-516.769618,-515.890492,0.439563
3,14,15.234567880630493,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,28672,0.491376,1024.0,-519.422383,-541.535945,-497.30882,22.113562
4,15,16.255491733551025,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,30720,0.449279,1024.0,-567.1185,-571.763805,-562.473194,4.645306
0,16,17.342981815338135,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,32768,0.475927,1024.0,-528.079707,-531.020318,-525.139095,2.940612
1,17,18.3768048286438,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,34816,0.450997,1024.0,-525.055955,-544.717276,-505.394635,19.66132
2,18,19.438698053359985,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,36864,0.467903,1024.0,-525.800032,-555.391996,-496.208067,29.591965
3,19,20.528470754623413,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,38912,0.481461,1024.0,-495.598119,-498.804728,-492.39151,3.206609
4,20,21.5643949508667,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,40960,0.45668,1024.0,-478.703541,-503.871211,-453.53587,25.16767
0,21,22.6287739276886,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,43008,0.464915,1024.0,-506.445334,-514.215831,-498.674838,7.770497
1,22,23.6762478351593,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,45056,0.462636,1024.0,-469.104655,-488.400966,-449.808345,19.296311
2,23,24.679844856262207,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,47104,0.440358,1024.0,-481.698312,-496.926518,-466.470105,15.228206
3,24,25.778769969940186,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,49152,0.486792,1024.0,-508.050329,-550.851734,-465.248925,42.801404
4,25,26.802680730819702,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,51200,0.454,1024.0,-498.444001,-499.059009,-497.828993,0.615008
0,26,27.84158682823181,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,53248,0.450224,1024.0,-441.078693,-441.235566,-440.921819,0.156873
1,27,28.911463975906372,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,55296,0.470122,1024.0,-440.262163,-449.087857,-431.436469,8.825694
2,28,29.92602777481079,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,57344,0.444736,1024.0,-465.161099,-477.934496,-452.387701,12.773397
3,29,31.06415891647339,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,59392,0.507311,1024.0,-440.404347,-442.391418,-438.417275,1.987071
4,30,32.11662483215332,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,61440,0.464054,1024.0,-460.056603,-461.004096,-459.109109,0.947493
0,31,33.17648100852966,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,63488,0.465318,1024.0,-395.841295,-404.192251,-387.490338,8.350957
1,32,34.25766587257385,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,65536,0.476332,1024.0,-423.644109,-437.515153,-409.773064,13.871044
2,33,35.30162000656128,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,67584,0.457494,1024.0,-373.332586,-385.988693,-360.676478,12.656108
3,34,36.35972189903259,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,69632,0.464406,1024.0,-400.920666,-430.423636,-371.417695,29.502971
4,35,37.41357374191284,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,71680,0.466805,1024.0,-377.591419,-378.576515,-376.606323,0.985096
