,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.0371718406677246,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,2048,0.469738,1024.0,-937.691588,-977.723187,-897.659989,40.031599
1,2,2.1317138671875,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,4096,0.489345,1024.0,-788.696898,-806.726667,-770.667129,18.029769
2,3,3.2050368785858154,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,6144,0.484382,1024.0,-969.101975,-977.542617,-960.661332,8.440642
3,4,4.28156304359436,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,8192,0.48759,1024.0,-817.35183,-857.07678,-777.626879,39.72495
4,5,5.281659841537476,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.451917,1024.0,-804.405949,-832.497433,-776.314465,28.091484
0,6,6.314750909805298,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,12288,0.462076,1024.0,-750.074695,-758.631632,-741.517757,8.556938
1,7,7.328768968582153,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,14336,0.458463,1024.0,-650.844006,-655.886064,-645.801949,5.042057
2,8,8.319577932357788,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,16384,0.446422,1024.0,-641.230988,-652.128454,-630.333521,10.897467
3,9,9.35956883430481,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,18432,0.468883,1024.0,-620.169352,-627.940878,-612.397826,7.771526
4,10,10.34484601020813,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.443041,1024.0,-581.61929,-592.37313,-570.86545,10.75384
0,11,11.346771955490112,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,22528,0.448918,1024.0,-567.186739,-618.80141,-515.572069,51.614671
1,12,12.400956869125366,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,24576,0.477846,1024.0,-569.178848,-601.077434,-537.280263,31.898586
2,13,13.4011869430542,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,26624,0.449375,1024.0,-551.135228,-551.908675,-550.361781,0.773447
3,14,14.413908004760742,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,28672,0.45749,1024.0,-551.468341,-577.196713,-525.739968,25.728372
4,15,15.433219909667969,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,30720,0.459949,1024.0,-598.103119,-602.90158,-593.304658,4.798461
0,16,16.42822289466858,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,32768,0.448046,1024.0,-561.033943,-564.546493,-557.521392,3.512551
1,17,17.487195014953613,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,34816,0.480106,1024.0,-565.933234,-586.862169,-545.004298,20.928936
2,18,18.48181915283203,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,36864,0.450048,1024.0,-568.640753,-604.124631,-533.156874,35.483878
3,19,19.46765899658203,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,38912,0.443559,1024.0,-543.4344,-548.863088,-538.005712,5.428688
4,20,20.508235931396484,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,40960,0.469183,1024.0,-520.968499,-552.252822,-489.684175,31.284324
