,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.0931956768035889,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,2048,0.504024,1024.0,-937.69885,-977.769729,-897.627971,40.070879
1,2,2.161970853805542,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,4096,0.491505,1024.0,-795.303984,-814.223871,-776.384098,18.919887
2,3,3.219566822052002,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,6144,0.484441,1024.0,-1002.47238,-1014.20524,-990.739519,11.73286
3,4,4.306294679641724,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,8192,0.500865,1024.0,-853.728256,-900.943685,-806.512826,47.21543
4,5,5.279735803604126,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.445152,1024.0,-853.735286,-889.81019,-817.660382,36.074904
0,6,6.289520740509033,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,12288,0.461583,1024.0,-812.258465,-828.510705,-796.006225,16.25224
1,7,7.292256832122803,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,14336,0.460754,1024.0,-715.513147,-724.016067,-707.010227,8.50292
2,8,8.26839566230774,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,16384,0.446583,1024.0,-709.203434,-719.304049,-699.102819,10.100615
3,9,9.297225952148438,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,18432,0.471962,1024.0,-698.829513,-709.374008,-688.285018,10.544495
4,10,10.30253791809082,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.460214,1024.0,-637.003577,-643.154685,-630.852469,6.151108
0,11,11.322712659835815,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,22528,0.466528,1024.0,-610.497451,-674.233332,-546.76157,63.735881
1,12,12.3882896900177,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,24576,0.489686,1024.0,-611.64767,-651.465679,-571.829661,39.818009
2,13,13.39930772781372,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,26624,0.463584,1024.0,-595.545266,-597.015624,-594.074908,1.470358
3,14,14.43424367904663,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,28672,0.475522,1024.0,-592.125415,-622.908321,-561.342509,30.782906
4,15,15.449275732040405,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,30720,0.463188,1024.0,-636.636475,-641.582855,-631.690096,4.946379
0,16,16.43222975730896,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,32768,0.447202,1024.0,-598.524705,-603.172551,-593.87686,4.647846
1,17,17.463054656982422,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,34816,0.473595,1024.0,-614.224942,-636.196967,-592.252916,21.972026
2,18,18.468266010284424,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,36864,0.459545,1024.0,-620.792474,-664.913097,-576.671851,44.120623
3,19,19.46187686920166,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,38912,0.454367,1024.0,-601.892849,-611.02401,-592.761688,9.131161
4,20,20.495638608932495,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,40960,0.475612,1024.0,-574.156694,-614.0103,-534.303087,39.853606
0,21,21.492050886154175,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,43008,0.454491,1024.0,-599.512857,-608.687388,-590.338327,9.174531
1,22,22.510992765426636,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,45056,0.466068,1024.0,-556.383249,-584.428464,-528.338035,28.045215
2,23,23.533390760421753,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,47104,0.470147,1024.0,-568.259723,-585.278993,-551.240453,17.01927
3,24,24.51804780960083,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,49152,0.452064,1024.0,-598.525818,-662.688485,-534.363152,64.162667
4,25,25.577449798583984,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,51200,0.485695,1024.0,-596.712544,-599.046519,-594.378569,2.333975
0,26,26.63095784187317,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,53248,0.483786,1024.0,-552.130724,-555.203681,-549.057768,3.072956
1,27,27.660566806793213,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,55296,0.471334,1024.0,-567.220516,-585.44475,-548.996282,18.224234
2,28,28.70533776283264,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,57344,0.480926,1024.0,-592.452644,-618.931361,-565.973927,26.478717
3,29,29.71014976501465,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,59392,0.460396,1024.0,-576.372153,-577.043351,-575.700955,0.671198
4,30,30.729761600494385,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,61440,0.468181,1024.0,-611.50286,-616.750559,-606.255161,5.247699
0,31,31.78071093559265,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,63488,0.479075,1024.0,-531.890185,-551.23294,-512.547431,19.342755
1,32,32.87990403175354,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,65536,0.505307,1024.0,-590.030914,-623.36814,-556.693688,33.337226
2,33,33.968960762023926,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,67584,0.500639,1024.0,-525.564304,-548.29776,-502.830847,22.733456
3,34,35.048014879226685,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,69632,0.495852,1024.0,-540.732111,-598.884073,-482.58015,58.151962
