,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.037496,200.0,-1224.634815,-1633.46679,-739.713681,293.073728,11,exp_name: Pendulum-v1_2023-01-30 (TEST),2200,0
0,0.03791,200.0,-1441.111558,-1704.71896,-1175.275263,170.773083,11,exp_name: Pendulum-v1_2023-01-30 (TEST),4400,1
0,0.039752,200.0,-1349.323664,-1698.962952,-884.736371,310.042328,11,exp_name: Pendulum-v1_2023-01-30 (TEST),6600,2
0,0.037488,200.0,-1070.52599,-1330.270034,-747.986956,189.399427,11,exp_name: Pendulum-v1_2023-01-30 (TEST),8800,3
0,0.039272,200.0,-1078.030445,-1864.29941,-635.460776,298.879284,11,exp_name: Pendulum-v1_2023-01-30 (TEST),11000,4
0,0.039085,200.0,-1039.093354,-1699.401548,-747.909502,276.365831,11,exp_name: Pendulum-v1_2023-01-30 (TEST),13200,5
0,0.040355,200.0,-1309.565385,-1696.471217,-834.77156,337.71646,11,exp_name: Pendulum-v1_2023-01-30 (TEST),15400,6
0,0.038124,200.0,-1187.255409,-1576.167492,-865.467459,239.096987,11,exp_name: Pendulum-v1_2023-01-30 (TEST),17600,7
0,0.038092,200.0,-1072.623788,-1603.66807,-875.866173,221.471513,11,exp_name: Pendulum-v1_2023-01-30 (TEST),19800,8
0,0.03718,200.0,-1130.661567,-1454.681629,-753.803137,239.30486,11,exp_name: Pendulum-v1_2023-01-30 (TEST),22000,9
0,0.039168,200.0,-1134.103374,-1615.572795,-891.082335,246.005566,11,exp_name: Pendulum-v1_2023-01-30 (TEST),24200,10
0,0.037887,200.0,-1120.893883,-1771.051026,-739.084739,317.06495,11,exp_name: Pendulum-v1_2023-01-30 (TEST),26400,11
0,0.038295,200.0,-1209.119726,-1656.912972,-758.796809,301.822331,11,exp_name: Pendulum-v1_2023-01-30 (TEST),28600,12
0,0.039085,200.0,-1010.639723,-1620.238945,-745.702067,235.586262,11,exp_name: Pendulum-v1_2023-01-30 (TEST),30800,13
0,0.038631,200.0,-1075.274563,-1429.683665,-801.944156,217.52709,11,exp_name: Pendulum-v1_2023-01-30 (TEST),33000,14
0,0.040028,200.0,-1037.723142,-1685.275832,-791.18923,241.888654,11,exp_name: Pendulum-v1_2023-01-30 (TEST),35200,15
0,0.037449,200.0,-975.604155,-1599.075649,-513.821783,292.172026,11,exp_name: Pendulum-v1_2023-01-30 (TEST),37400,16
0,0.039174,200.0,-993.615396,-1308.294814,-768.216252,151.588349,11,exp_name: Pendulum-v1_2023-01-30 (TEST),39600,17
0,0.038337,200.0,-1068.64063,-1392.570229,-756.272286,216.605725,11,exp_name: Pendulum-v1_2023-01-30 (TEST),41800,18
0,0.038555,200.0,-1039.971678,-1363.900709,-819.264368,180.656348,11,exp_name: Pendulum-v1_2023-01-30 (TEST),44000,19
0,0.037147,200.0,-1066.866971,-1329.749842,-749.119895,168.298391,11,exp_name: Pendulum-v1_2023-01-30 (TEST),46200,20
0,0.036298,200.0,-986.862334,-1319.009383,-761.053333,158.926958,11,exp_name: Pendulum-v1_2023-01-30 (TEST),48400,21
0,0.038206,200.0,-995.228333,-1227.857916,-768.609632,142.412108,11,exp_name: Pendulum-v1_2023-01-30 (TEST),50600,22
0,0.038044,200.0,-1040.642675,-1413.220791,-790.192117,184.474091,11,exp_name: Pendulum-v1_2023-01-30 (TEST),52800,23
0,0.036724,200.0,-913.709409,-1119.393333,-757.203792,111.06468,11,exp_name: Pendulum-v1_2023-01-30 (TEST),55000,24
0,0.036451,200.0,-993.395837,-1357.308056,-641.35228,234.531784,11,exp_name: Pendulum-v1_2023-01-30 (TEST),57200,25
0,0.036073,200.0,-1000.122833,-1330.412305,-744.689727,218.815405,11,exp_name: Pendulum-v1_2023-01-30 (TEST),59400,26
0,0.036314,200.0,-906.189794,-1238.516203,-746.19065,174.254717,11,exp_name: Pendulum-v1_2023-01-30 (TEST),61600,27
0,0.039177,200.0,-1113.192214,-1551.863656,-791.566407,197.81914,11,exp_name: Pendulum-v1_2023-01-30 (TEST),63800,28
0,0.035783,200.0,-959.901711,-1326.531314,-753.02977,153.4082,11,exp_name: Pendulum-v1_2023-01-30 (TEST),66000,29
0,0.039113,200.0,-1003.442008,-1401.287084,-746.965228,189.615423,11,exp_name: Pendulum-v1_2023-01-30 (TEST),68200,30
0,0.040708,200.0,-928.576461,-1210.234399,-750.69096,124.770727,11,exp_name: Pendulum-v1_2023-01-30 (TEST),70400,31
0,0.038853,200.0,-970.817799,-1335.91666,-771.47742,156.17327,11,exp_name: Pendulum-v1_2023-01-30 (TEST),72600,32
0,0.043697,200.0,-956.529309,-1095.83324,-628.778433,116.77784,11,exp_name: Pendulum-v1_2023-01-30 (TEST),74800,33
0,0.036511,200.0,-968.530657,-1213.264596,-761.349109,113.645166,11,exp_name: Pendulum-v1_2023-01-30 (TEST),77000,34
0,0.0388,200.0,-968.396429,-1567.506342,-636.824754,250.848613,11,exp_name: Pendulum-v1_2023-01-30 (TEST),79200,35
0,0.03877,200.0,-968.143975,-1311.598588,-730.733736,192.408351,11,exp_name: Pendulum-v1_2023-01-30 (TEST),81400,36
0,0.037844,200.0,-971.75658,-1175.071733,-641.710977,166.174651,11,exp_name: Pendulum-v1_2023-01-30 (TEST),83600,37
0,0.037046,200.0,-882.708919,-1176.4485,-639.447647,162.981476,11,exp_name: Pendulum-v1_2023-01-30 (TEST),85800,38
0,0.037393,200.0,-947.947501,-1145.908824,-758.66102,118.285904,11,exp_name: Pendulum-v1_2023-01-30 (TEST),88000,39
0,0.038231,200.0,-1015.463089,-1286.203706,-744.660533,188.96099,11,exp_name: Pendulum-v1_2023-01-30 (TEST),90200,40
0,0.0412,200.0,-903.078137,-1098.673846,-701.08436,133.502367,11,exp_name: Pendulum-v1_2023-01-30 (TEST),92400,41
0,0.039072,200.0,-900.134378,-1077.987664,-747.201322,116.107222,11,exp_name: Pendulum-v1_2023-01-30 (TEST),94600,42
0,0.035928,200.0,-893.693152,-1014.692374,-685.070771,103.258564,11,exp_name: Pendulum-v1_2023-01-30 (TEST),96800,43
0,0.036025,200.0,-839.877797,-993.626586,-665.704797,96.34075,11,exp_name: Pendulum-v1_2023-01-30 (TEST),99000,44
0,0.037082,200.0,-827.164156,-964.351,-629.96912,98.968662,11,exp_name: Pendulum-v1_2023-01-30 (TEST),101200,45
0,0.038474,200.0,-820.785456,-1146.885313,-626.805907,162.748366,11,exp_name: Pendulum-v1_2023-01-30 (TEST),103400,46
0,0.037132,200.0,-826.986699,-996.236716,-655.540509,91.110298,11,exp_name: Pendulum-v1_2023-01-30 (TEST),105600,47
0,0.036233,200.0,-783.361572,-869.236796,-613.939479,80.420499,11,exp_name: Pendulum-v1_2023-01-30 (TEST),107800,48
0,0.036915,200.0,-788.850463,-1013.441826,-630.35333,130.911185,11,exp_name: Pendulum-v1_2023-01-30 (TEST),110000,49
0,0.039331,200.0,-774.949917,-972.944309,-634.418642,93.447674,11,exp_name: Pendulum-v1_2023-01-30 (TEST),112200,50
0,0.037357,200.0,-737.179079,-1025.90364,-613.443832,116.923083,11,exp_name: Pendulum-v1_2023-01-30 (TEST),114400,51
0,0.038115,200.0,-739.260804,-993.426698,-503.561913,168.325389,11,exp_name: Pendulum-v1_2023-01-30 (TEST),116600,52
0,0.037968,200.0,-741.730493,-937.220007,-626.256294,91.951213,11,exp_name: Pendulum-v1_2023-01-30 (TEST),118800,53
0,0.037467,200.0,-736.192206,-940.872204,-607.597802,113.398375,11,exp_name: Pendulum-v1_2023-01-30 (TEST),121000,54
0,0.038361,200.0,-753.787686,-905.700348,-619.718726,98.195842,11,exp_name: Pendulum-v1_2023-01-30 (TEST),123200,55
