,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.0011391639709473,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,2048,0.459055,1024.0,-937.521775,-977.590029,-897.453521,40.068254
1,2,2.0171282291412354,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,4096,0.464546,1024.0,-795.269145,-814.192583,-776.345706,18.923438
2,3,3.031796932220459,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,6144,0.465163,1024.0,-1002.391086,-1014.127369,-990.654803,11.736283
3,4,4.050662994384766,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,8192,0.467377,1024.0,-853.687474,-900.90308,-806.471868,47.215606
4,5,4.995349884033203,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.430557,1024.0,-853.711366,-889.789435,-817.633296,36.078069
0,6,5.958904981613159,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,12288,0.434987,1024.0,-812.232026,-828.48146,-795.982592,16.249434
1,7,6.950861930847168,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,14336,0.453624,1024.0,-715.489706,-723.990798,-706.988614,8.501092
2,8,7.895382881164551,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,16384,0.430695,1024.0,-709.188084,-719.2907,-699.085467,10.102617
3,9,8.888164043426514,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,18432,0.453593,1024.0,-698.812455,-709.357826,-688.267083,10.545372
4,10,9.92744493484497,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.477009,1024.0,-636.979118,-643.130168,-630.828068,6.15105
0,11,10.888550043106079,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,22528,0.438411,1024.0,-610.464334,-674.180935,-546.747734,63.7166
1,12,11.877958059310913,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,24576,0.450891,1024.0,-611.621024,-651.435521,-571.806526,39.814497
2,13,12.835956811904907,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,26624,0.4383,1024.0,-595.513771,-596.983898,-594.043644,1.470127
3,14,13.79309606552124,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,28672,0.437195,1024.0,-592.086644,-622.866899,-561.306388,30.780255
4,15,14.800524950027466,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,30720,0.461425,1024.0,-636.606279,-641.55054,-631.662018,4.944261
0,16,15.830064058303833,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,32768,0.471395,1024.0,-598.502397,-603.155049,-593.849746,4.652651
1,17,16.822686195373535,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,34816,0.454365,1024.0,-614.209491,-636.184202,-592.234781,21.974711
2,18,17.85563588142395,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,36864,0.473235,1024.0,-620.776814,-664.895693,-576.657935,44.118879
3,19,18.854791164398193,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,38912,0.458605,1024.0,-601.886185,-611.017716,-592.754654,9.131531
4,20,19.904967069625854,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,40960,0.482853,1024.0,-574.157781,-614.009083,-534.306478,39.851302
0,21,20.88501501083374,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,43008,0.448621,1024.0,-599.521782,-608.692342,-590.351222,9.17056
1,22,21.855817079544067,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,45056,0.442489,1024.0,-556.407271,-584.457315,-528.357228,28.050044
2,23,22.85553288459778,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,47104,0.457612,1024.0,-568.312603,-585.333474,-551.291731,17.020872
3,24,23.854149103164673,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,49152,0.457006,1024.0,-598.591303,-662.77347,-534.409136,64.182167
4,25,24.829809188842773,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,51200,0.446633,1024.0,-596.778551,-599.116472,-594.440631,2.33792
