step,mean_reward,max_reward,min_reward,mean_len,max_len,min_len
188448,-74.67821957142857,-74.05489,-76.13207,73.21428571428571,74,73
190494,-74.50345842857142,-74.10303,-76.018622,73.07142857142857,74,73
192541,-74.58197264285715,-74.089823,-76.561026,73.10714285714286,74,73
194586,-74.43865621428571,-74.04304,-76.034393,73.03571428571429,74,73
196631,-74.3826954642857,-73.992837,-75.883137,73.03571428571429,74,73
198675,-74.40287246428571,-74.136859,-74.691668,73.0,73,73
200721,-74.43433542857143,-74.087451,-75.642218,73.07142857142857,74,73
202766,-74.36091360714285,-74.000043,-75.797582,73.03571428571429,74,73
204813,-74.47776810714286,-74.003021,-76.166244,73.10714285714286,74,73
206858,-74.42436582142857,-73.979445,-76.663895,73.03571428571429,74,73
208902,-74.36900467857143,-74.09621,-74.674069,73.0,73,73
210946,-74.52581614285714,-74.22306,-74.825583,73.0,73,73
212991,-74.56170039285713,-74.164809,-75.834124,73.03571428571429,74,73
215108,-74.65320586206897,-74.332151,-74.894901,73.0,73,73
217153,-74.63467796428571,-74.135536,-76.666142,73.03571428571429,74,73
219197,-74.56108639285715,-74.268908,-74.86692,73.0,73,73
221241,-74.6785962142857,-74.388487,-74.985702,73.0,73,73
223286,-74.68853671428572,-74.291389,-76.549685,73.03571428571429,74,73
225330,-74.66241857142857,-74.385616,-75.036703,73.0,73,73
227374,-74.52252564285712,-74.128432,-74.78371,73.0,73,73
229419,-74.63931646428571,-74.178745,-76.1269,73.03571428571429,74,73
231464,-74.53786807142856,-74.142181,-76.111597,73.03571428571429,74,73
233508,-74.53462092857144,-74.190707,-74.855676,73.0,73,73
235552,-74.44171057142856,-74.132523,-74.7273,73.0,73,73
237596,-74.51153267857144,-74.13719,-74.910694,73.0,73,73
239640,-74.65471771428572,-74.311227,-74.892205,73.0,73,73
241684,-74.59798832142857,-74.262696,-74.898671,73.0,73,73
243728,-74.46289946428571,-74.018736,-74.770428,73.0,73,73
245773,-74.54805182142856,-74.172073,-76.031214,73.03571428571429,74,73
247818,-74.50095917857142,-74.040534,-75.892282,73.03571428571429,74,73
249862,-74.40366142857143,-74.08795,-74.933758,73.0,73,73
251907,-74.44338935714286,-74.000372,-75.844819,73.03571428571429,74,73
253952,-74.4880815,-74.152533,-76.145923,73.03571428571429,74,73
256000,-74.66026475000001,-74.100143,-76.135129,73.14285714285714,74,73
258047,-74.60729992857144,-74.052448,-75.934025,73.10714285714286,74,73
260095,-74.62820135714284,-74.051214,-75.931446,73.14285714285714,74,73
262213,-74.45079865517242,-74.025574,-75.867208,73.03448275862068,74,73
264258,-74.47022692857142,-73.999899,-75.864104,73.03571428571429,74,73
266303,-74.54351239285714,-73.953329,-75.869919,73.03571428571429,74,73
268349,-74.57203217857143,-74.250517,-76.038318,73.07142857142857,74,73
270395,-74.48208967857143,-74.04342,-76.070562,73.07142857142857,74,73
272441,-74.52366303571429,-74.101375,-76.006838,73.07142857142857,74,73
274489,-74.54146878571429,-74.031065,-76.072687,73.14285714285714,74,73
276539,-74.5986,-73.941806,-76.060638,73.21428571428571,74,73
278587,-74.5433060357143,-73.979437,-76.117459,73.14285714285714,74,73
280632,-74.50287303571427,-73.922331,-75.728897,73.03571428571429,74,73
282677,-74.48356735714286,-74.122717,-75.679178,73.03571428571429,74,73
284722,-74.57125957142857,-74.198426,-76.012334,73.03571428571429,74,73
286766,-74.43800132142857,-73.97002,-74.688014,73.0,73,73
288810,-74.56458825000001,-74.215736,-74.976497,73.0,73,73
290854,-74.41636917857143,-73.967038,-74.693951,73.0,73,73
292899,-74.4850277142857,-73.979717,-76.046084,73.03571428571429,74,73
294949,-74.58907132142858,-73.956812,-76.028797,73.21428571428571,74,73
296997,-74.61611828571428,-73.99227,-76.055152,73.14285714285714,74,73
299044,-74.56039278571428,-74.022958,-76.014757,73.10714285714286,74,73
301090,-74.50127482142857,-73.911033,-76.039873,73.07142857142857,74,73
303135,-74.50439128571429,-73.983111,-75.931687,73.03571428571429,74,73
305179,-74.460188,-74.158683,-74.767224,73.0,73,73
307223,-74.37228700000001,-73.985436,-74.79474,73.0,73,73
309275,-74.78199292857143,-74.036016,-76.047436,73.28571428571429,74,73
311322,-74.35373567857143,-73.928704,-76.01196,73.10714285714286,74,73
313372,-74.63493375,-73.952723,-76.079241,73.21428571428571,74,73
315418,-74.48455496428572,-73.998163,-76.081656,73.07142857142857,74,73
317472,-74.8569865357143,-73.983601,-76.062648,73.35714285714286,74,73
319520,-74.51757057142856,-73.944947,-76.068776,73.14285714285714,74,73
321571,-74.68667975000001,-73.92969,-76.092587,73.25,74,73
323617,-74.43370682142857,-73.980115,-76.11413,73.07142857142857,74,73
325665,-74.60114310714286,-74.091409,-75.899892,73.14285714285714,74,73
327709,-74.50986135714285,-74.204378,-74.759135,73.0,73,73
329753,-74.53080332142856,-74.198712,-74.914992,73.0,73,73
331797,-74.55950410714286,-74.006944,-74.834461,73.0,73,73
333841,-74.4544782142857,-74.033033,-74.807203,73.0,73,73
335885,-74.50052442857144,-74.065497,-74.827121,73.0,73,73
337931,-74.54422035714286,-74.05893,-76.050179,73.07142857142857,74,73
339981,-74.63884289285714,-73.93908,-76.011202,73.21428571428571,74,73
342032,-74.6923742142857,-73.997785,-75.996576,73.25,74,73
344083,-74.66047235714284,-73.883419,-76.14178,73.25,74,73
346129,-74.53703264285716,-73.959871,-75.926967,73.07142857142857,74,73
348173,-74.44268889285715,-74.00659,-74.855834,73.0,73,73
350217,-74.52820274999999,-73.981645,-74.934539,73.0,73,73
352261,-74.57678625000001,-74.135042,-74.948439,73.0,73,73
354305,-74.53680125000001,-73.92387,-74.98649,73.0,73,73
356422,-74.52229696551724,-74.017227,-74.856966,73.0,73,73
358468,-74.55322950000001,-73.939586,-76.106654,73.07142857142857,74,73
360513,-74.32512442857144,-73.960005,-75.957328,73.03571428571429,74,73
362560,-74.52254107142858,-73.948831,-76.022285,73.10714285714286,74,73
364612,-74.7253967857143,-73.938194,-76.12233,73.28571428571429,74,73
366662,-74.64084867857142,-73.978343,-76.065196,73.21428571428571,74,73
368641,-74.75738518518519,-74.000315,-76.036902,73.29629629629629,74,73
370759,-74.3809355862069,-73.960793,-76.001253,73.03448275862068,74,73
372807,-74.53898117857143,-73.966671,-76.043834,73.14285714285714,74,73
374851,-74.33445325000001,-73.966914,-74.667604,73.0,73,73
376896,-74.49666292857144,-74.04669,-75.97545,73.03571428571429,74,73
378941,-74.55601767857142,-74.219139,-75.911139,73.03571428571429,74,73
380985,-74.45429710714286,-74.033356,-74.649464,73.0,73,73
383029,-74.47553842857143,-74.056108,-74.856537,73.0,73,73
385073,-74.46249596428572,-74.078611,-74.775091,73.0,73,73
387119,-74.60185335714286,-74.168706,-75.941151,73.07142857142857,74,73
389163,-74.45724378571428,-74.061231,-74.765486,73.0,73,73
391208,-74.51172114285714,-74.025556,-75.926899,73.03571428571429,74,73
393254,-74.55696892857144,-73.921911,-75.999208,73.07142857142857,74,73
395303,-74.58973285714285,-73.965056,-75.978737,73.17857142857143,74,73
397349,-74.45581064285716,-73.981022,-75.932314,73.07142857142857,74,73
399400,-74.68017717857143,-73.92922,-76.079548,73.25,74,73
401447,-74.50881660714286,-73.981122,-76.074704,73.10714285714286,74,73
403494,-74.46429182142857,-73.940929,-75.939717,73.10714285714286,74,73
405538,-74.4755105,-74.078609,-75.006784,73.0,73,73
407584,-74.45526925,-73.941949,-75.991427,73.07142857142857,74,73
409632,-74.66633860714286,-74.028696,-76.035653,73.14285714285714,74,73
411677,-74.41921282142857,-73.923313,-76.049185,73.03571428571429,74,73
413722,-74.53985103571428,-74.000004,-76.073119,73.03571428571429,74,73
415766,-74.53424567857144,-74.054579,-75.003127,73.0,73,73
417810,-74.54390271428572,-74.123664,-74.897622,73.0,73,73
419856,-74.61577471428572,-74.042,-75.905314,73.07142857142857,74,73
421901,-74.51878903571428,-74.165315,-75.643426,73.03571428571429,74,73
423948,-74.68210389285716,-73.978754,-76.026346,73.10714285714286,74,73
425992,-74.46969014285715,-74.03185,-74.792432,73.0,73,73
428036,-74.48220975000001,-73.938381,-74.813912,73.0,73,73
430080,-74.59314953571429,-74.161329,-74.934316,73.0,73,73
432199,-74.74623944827586,-74.319031,-76.043398,73.06896551724138,74,73
434243,-74.45766964285714,-73.87904,-74.916385,73.0,73,73
436288,-74.55932660714286,-74.206412,-76.026632,73.03571428571429,74,73
438333,-74.50302689285715,-74.004817,-75.804605,73.03571428571429,74,73
440379,-74.5089614642857,-73.936713,-76.054624,73.07142857142857,74,73
442425,-74.41473435714285,-73.867384,-75.943806,73.07142857142857,74,73
444475,-74.658677,-73.965958,-75.986158,73.21428571428571,74,73
446523,-74.55895410714287,-74.041202,-75.749228,73.14285714285714,74,73
448575,-74.70174717857141,-74.006031,-76.080628,73.28571428571429,74,73
450619,-74.27873989285715,-73.908974,-74.708134,73.0,73,73
452668,-74.61318467857143,-73.915553,-76.026923,73.17857142857143,74,73
454719,-74.64072707142859,-73.886406,-75.986951,73.25,74,73
456769,-74.66769982142856,-73.907965,-76.004874,73.21428571428571,74,73
458814,-74.55943364285713,-73.918441,-75.858006,73.03571428571429,74,73
460858,-74.4749440357143,-73.945662,-74.958112,73.0,73,73
462902,-74.5836467857143,-74.064909,-74.85743,73.0,73,73
464947,-74.66040821428571,-74.34701,-75.90104,73.03571428571429,74,73
466991,-74.58212807142857,-74.065527,-74.948206,73.0,73,73
469035,-74.60998492857142,-74.044444,-74.871681,73.0,73,73
471079,-74.52768425000001,-74.057324,-74.862791,73.0,73,73
473123,-74.54910285714286,-73.873974,-74.912478,73.0,73,73
475168,-74.48112407142857,-74.092897,-75.823133,73.03571428571429,74,73
477215,-74.50270985714288,-73.891636,-75.958685,73.10714285714286,74,73
479263,-74.56505557142857,-73.922715,-75.95038,73.14285714285714,74,73
481308,-74.38019992857143,-73.897026,-75.764818,73.03571428571429,74,73
483359,-74.70746785714286,-74.026664,-75.981197,73.25,74,73
485406,-74.51181539285714,-73.881788,-75.907414,73.10714285714286,74,73
487453,-74.56447825,-73.891816,-75.938057,73.10714285714286,74,73
489499,-74.46456924999998,-73.888806,-75.960283,73.07142857142857,74,73
491543,-74.42095925,-73.900268,-74.791613,73.0,73,73
493587,-74.59634342857143,-74.025685,-74.869558,73.0,73,73
495631,-74.46267864285714,-73.99646,-74.867705,73.0,73,73
497675,-74.45748828571429,-73.939546,-74.788792,73.0,73,73
499720,-74.49826867857143,-73.895834,-75.795431,73.03571428571429,74,73
501769,-74.51350725,-73.873087,-76.063312,73.17857142857143,74,73
503821,-74.70537139285715,-73.898581,-75.869446,73.28571428571429,74,73
505868,-74.32354032142857,-73.885262,-75.801404,73.10714285714286,74,73
507913,-74.36190192857144,-73.912262,-75.997922,73.03571428571429,74,73
509959,-74.49247789285714,-73.889621,-75.979963,73.07142857142857,74,73
512004,-74.45919225,-73.92364,-75.941517,73.03571428571429,74,73
514049,-74.39922903571428,-73.836255,-75.979267,73.03571428571429,74,73
516095,-74.35920321428571,-73.960857,-75.936949,73.07142857142857,74,73
518143,-74.51755753571429,-73.947212,-75.907075,73.14285714285714,74,73
520191,-74.51305310714285,-73.949394,-75.952582,73.14285714285714,74,73
522310,-74.4238584137931,-73.919909,-75.773259,73.06896551724138,74,73
524354,-74.32009028571429,-73.901885,-74.777149,73.0,73,73
526398,-74.34521371428572,-73.87354,-74.904715,73.0,73,73
528442,-74.39991339285714,-74.030095,-74.773242,73.0,73,73
530487,-74.46252267857143,-73.968889,-75.812743,73.03571428571429,74,73
532534,-74.45101535714285,-73.902862,-75.936088,73.10714285714286,74,73
534583,-74.57176514285713,-73.946898,-75.979808,73.17857142857143,74,73
536632,-74.51000735714287,-73.933581,-75.941843,73.17857142857143,74,73
538682,-74.70085217857141,-73.920975,-75.979702,73.21428571428571,74,73
540729,-74.49694510714286,-73.915835,-75.965671,73.10714285714286,74,73
542774,-74.50700471428571,-73.938755,-76.033323,73.03571428571429,74,73
544819,-74.40770996428571,-73.972515,-76.028746,73.03571428571429,74,73
546865,-74.49369432142858,-73.960365,-75.958566,73.07142857142857,74,73
548911,-74.46341132142857,-73.881257,-75.904215,73.07142857142857,74,73
550956,-74.38407596428571,-73.921249,-75.946562,73.03571428571429,74,73
553004,-74.53543689285713,-73.96106,-75.949205,73.14285714285714,74,73
555052,-74.63306175000001,-73.99903,-75.852719,73.14285714285714,74,73
557098,-74.41702185714284,-73.926188,-75.997557,73.07142857142857,74,73
559144,-74.50528767857143,-74.01229,-75.998845,73.07142857142857,74,73
561189,-74.32803885714284,-73.870787,-75.892242,73.03571428571429,74,73
563234,-74.4065605,-73.974141,-75.96597,73.03571428571429,74,73
565278,-74.37178521428572,-73.897376,-74.826483,73.0,73,73
567323,-74.51474825000001,-73.914458,-75.894918,73.03571428571429,74,73
569368,-74.47500871428572,-73.873055,-75.868378,73.03571428571429,74,73
571414,-74.48106857142857,-73.921257,-76.057341,73.07142857142857,74,73
573461,-74.53335053571429,-73.922967,-75.926801,73.10714285714286,74,73
575509,-74.49284403571428,-73.890216,-75.997338,73.14285714285714,74,73
577554,-74.46517410714286,-74.091127,-75.654558,73.03571428571429,74,73
579598,-74.45661657142857,-74.030025,-74.871044,73.0,73,73
581642,-74.5194282857143,-74.01257,-74.859879,73.0,73,73
583686,-74.37591889285714,-73.907553,-74.841807,73.0,73,73
585732,-74.42071874999999,-73.943189,-75.813922,73.07142857142857,74,73
587778,-74.33519732142858,-73.904652,-75.804331,73.07142857142857,74,73
589830,-74.67377092857144,-73.882942,-76.040947,73.28571428571429,74,73
591878,-74.45734707142857,-73.884288,-75.993188,73.14285714285714,74,73
593931,-74.79627146428572,-73.91157,-76.023667,73.32142857142857,74,73
595976,-74.29151982142858,-73.855596,-75.951349,73.03571428571429,74,73
598020,-74.33249939285714,-74.037626,-74.752072,73.0,73,73
600064,-74.3330952142857,-73.94877,-74.901073,73.0,73,73
602183,-74.43715979310345,-73.911877,-75.858617,73.06896551724138,74,73
604229,-74.43737082142856,-73.891244,-76.00064,73.07142857142857,74,73
606277,-74.41275574999999,-73.862277,-75.891558,73.14285714285714,74,73
608322,-74.33390339285714,-73.981729,-75.988353,73.03571428571429,74,73
610366,-74.37994153571428,-73.975744,-74.741898,73.0,73,73
612410,-74.36222017857142,-74.027169,-74.659954,73.0,73,73
614457,-74.43850942857141,-73.901952,-75.981119,73.10714285714286,74,73
616506,-74.52642121428572,-73.945604,-76.036561,73.17857142857143,74,73
618552,-74.34509332142856,-73.963285,-76.004125,73.07142857142857,74,73
620599,-74.43524214285715,-73.909216,-76.024907,73.10714285714286,74,73
622644,-74.44743174999999,-73.854266,-75.70638,73.03571428571429,74,73
624688,-74.43317507142858,-73.979231,-74.838507,73.0,73,73
626733,-74.46493907142859,-73.893151,-75.954811,73.03571428571429,74,73
628778,-74.43314807142858,-73.879349,-76.020829,73.03571428571429,74,73
630822,-74.33687539285714,-74.001381,-74.677332,73.0,73,73
632869,-74.52602385714286,-73.967384,-75.884497,73.10714285714286,74,73
634913,-74.37053632142859,-73.974762,-74.784588,73.0,73,73
636957,-74.38787014285712,-73.954516,-74.77726,73.0,73,73
639002,-74.36189421428571,-73.943766,-76.024913,73.03571428571429,74,73
641048,-74.37640067857144,-73.879635,-75.974168,73.07142857142857,74,73
643097,-74.46657928571427,-73.880404,-75.964186,73.17857142857143,74,73
645143,-74.34959039285715,-73.946885,-75.968153,73.07142857142857,74,73
647188,-74.34408967857144,-73.860812,-75.940475,73.03571428571429,74,73
649236,-74.43795075,-73.864102,-75.990004,73.14285714285714,74,73
651284,-74.47675721428573,-73.893632,-76.014483,73.14285714285714,74,73
653330,-74.37118707142858,-73.944462,-75.998316,73.07142857142857,74,73
655376,-74.427433,-73.861154,-76.0094,73.07142857142857,74,73
657422,-74.47233764285714,-73.936374,-75.952927,73.07142857142857,74,73
659468,-74.40894989285714,-73.859227,-76.0056,73.07142857142857,74,73
661517,-74.51046271428572,-73.929305,-75.996511,73.17857142857143,74,73
663561,-74.38015575,-74.12961,-74.799502,73.0,73,73
665607,-74.33759246428572,-73.838735,-75.895738,73.07142857142857,74,73
667651,-74.4199119642857,-73.968222,-74.780332,73.0,73,73
669696,-74.50848978571427,-73.903982,-75.849112,73.03571428571429,74,73
671743,-74.49149396428572,-73.894958,-75.951585,73.10714285714286,74,73
673862,-74.38136948275861,-73.95821,-75.920067,73.06896551724138,74,73
675907,-74.49583364285715,-74.042289,-75.823666,73.03571428571429,74,73
677951,-74.39477778571428,-74.01331,-74.799886,73.0,73,73
679995,-74.33858310714285,-73.989206,-74.762513,73.0,73,73
682043,-74.48560096428572,-73.898612,-76.023411,73.14285714285714,74,73
684087,-74.14202389285713,-73.860833,-74.523999,73.0,73,73
686132,-74.34174817857142,-73.916639,-75.980019,73.03571428571429,74,73
688177,-74.22197346428571,-73.865037,-75.930919,73.03571428571429,74,73
690227,-74.55457239285714,-73.864304,-75.994323,73.21428571428571,74,73
692275,-74.39348949999999,-73.875304,-76.004335,73.14285714285714,74,73
694325,-74.54879703571427,-73.933814,-75.97682,73.21428571428571,74,73
696370,-74.28865639285713,-73.84929,-75.981025,73.03571428571429,74,73
698414,-74.25390728571429,-73.92914,-74.594428,73.0,73,73
700458,-74.39753617857143,-73.984653,-74.709993,73.0,73,73
702502,-74.47520482142856,-74.025741,-74.931713,73.0,73,73
704546,-74.3764955,-73.874006,-74.816798,73.0,73,73
706590,-74.44380249999999,-74.08255,-74.83021,73.0,73,73
708635,-74.42586992857143,-73.988561,-75.921049,73.03571428571429,74,73
710680,-74.34483624999999,-73.985574,-75.788434,73.03571428571429,74,73
712725,-74.27814689285715,-73.889103,-75.97908,73.03571428571429,74,73
714778,-74.64309446428571,-73.905409,-76.001212,73.32142857142857,74,73
716838,-75.07629942857143,-73.857581,-76.026132,73.57142857142857,74,73
718890,-74.55964589285715,-73.874869,-76.019982,73.28571428571429,74,73
720944,-74.68780692857142,-73.899751,-75.981591,73.35714285714286,74,73
722993,-74.42835828571428,-73.882156,-76.056921,73.17857142857143,74,73
725041,-74.49795607142858,-73.892486,-75.972335,73.14285714285714,74,73
727085,-74.29725164285715,-73.928916,-74.571024,73.0,73,73
729130,-74.40177253571429,-73.983452,-75.876874,73.03571428571429,74,73
731175,-74.4827632857143,-74.044762,-75.988216,73.03571428571429,74,73
733219,-74.4381482142857,-74.132513,-74.768742,73.0,73,73
735263,-74.54797014285714,-74.136796,-74.782184,73.0,73,73
737307,-74.25802707142859,-73.998509,-74.631731,73.0,73,73
739351,-74.42799596428571,-73.888815,-74.850029,73.0,73,73
741396,-74.37056928571428,-74.045431,-75.913716,73.03571428571429,74,73
743440,-74.29901060714285,-73.910816,-74.669095,73.0,73,73
745484,-74.37298014285714,-74.091334,-74.707479,73.0,73,73
747529,-74.33429432142857,-74.003652,-75.970514,73.03571428571429,74,73
749576,-74.36310139285715,-73.93509,-75.970493,73.10714285714286,74,73
751620,-74.22985467857143,-73.958518,-74.491803,73.0,73,73
753669,-74.48537892857142,-73.887445,-75.977075,73.17857142857143,74,73
755719,-74.55004535714285,-73.948763,-76.029383,73.21428571428571,74,73
757764,-74.31781482142857,-73.930786,-75.940749,73.03571428571429,74,73
759813,-74.48095914285715,-73.908098,-76.008867,73.17857142857143,74,73
761864,-74.61959267857142,-73.964252,-76.061018,73.25,74,73
763910,-74.41628557142857,-73.994987,-75.993196,73.07142857142857,74,73
765954,-74.37020392857144,-73.979088,-74.792887,73.0,73,73
767999,-74.29436535714287,-73.884563,-75.873182,73.03571428571429,74,73
770119,-74.37076686206896,-73.908436,-75.934811,73.10344827586206,74,73
772167,-74.45759321428571,-73.916345,-76.012507,73.14285714285714,74,73
774215,-74.37902807142856,-73.901915,-75.973407,73.14285714285714,74,73
776261,-74.35334417857143,-73.958406,-75.885806,73.07142857142857,74,73
778306,-74.30493564285713,-73.851757,-75.982605,73.03571428571429,74,73
780351,-74.36869467857142,-73.973214,-75.935944,73.03571428571429,74,73
782396,-74.45982339285716,-74.089794,-76.01359,73.03571428571429,74,73
784440,-74.40458596428572,-74.012806,-74.70725,73.0,73,73
786485,-74.555278,-74.074865,-75.867655,73.03571428571429,74,73
788529,-74.56604035714285,-74.12804,-74.871118,73.0,73,73
790573,-74.50148424999999,-74.09204,-74.817309,73.0,73,73
792617,-74.52205735714286,-74.157998,-74.892957,73.0,73,73
794663,-74.53590825,-74.0662,-75.969927,73.07142857142857,74,73
796707,-74.32071121428571,-73.910211,-74.69386,73.0,73,73
798753,-74.37289189285715,-73.882924,-76.025954,73.07142857142857,74,73
800800,-74.32720428571429,-73.884909,-76.026657,73.10714285714286,74,73
802852,-74.67075135714285,-73.947634,-75.970851,73.28571428571429,74,73
804906,-74.71352689285716,-73.908583,-75.980156,73.35714285714286,74,73
806954,-74.37587932142857,-73.878766,-75.96002,73.14285714285714,74,73
809003,-74.46961178571429,-73.917142,-76.037317,73.17857142857143,74,73
811048,-74.221597,-73.880094,-76.048349,73.03571428571429,74,73
813098,-74.60213828571429,-73.919043,-75.985654,73.21428571428571,74,73
815143,-74.36900146428572,-73.91669,-75.975845,73.03571428571429,74,73
817187,-74.35591514285714,-73.886852,-74.64134,73.0,73,73
819231,-74.32309603571427,-73.997617,-74.664677,73.0,73,73
821275,-74.41473782142857,-74.050132,-74.728396,73.0,73,73
823319,-74.40400596428572,-74.040271,-74.638565,73.0,73,73
