,episodes,training time,length per episode,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,0.544715166091919,0,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,2200,0.038697,200.0,-1342.88013,-1795.364819,-882.326357,335.693485
0,1.1003637313842773,1,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,4400,0.038547,200.0,-1149.787651,-1816.030595,-857.612167,322.888683
0,1.6899209022521973,2,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,6600,0.040716,200.0,-1359.177966,-1852.419863,-839.074922,352.564524
0,2.265660047531128,3,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,8800,0.038535,200.0,-1328.728177,-1868.417779,-717.064273,391.020956
0,2.9078919887542725,4,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,11000,0.03989,200.0,-1078.730332,-1601.395094,-746.577772,231.10243
0,3.4834539890289307,5,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,13200,0.03975,200.0,-1162.81874,-1556.009749,-860.995536,206.292026
0,4.043425798416138,6,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,15400,0.039979,200.0,-1201.365152,-1812.251673,-770.220529,319.771053
0,4.584868907928467,7,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,17600,0.038741,200.0,-1142.832623,-1780.308117,-765.930536,356.204338
0,5.125813007354736,8,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,19800,0.038243,200.0,-1058.809812,-1780.823468,-775.138827,278.626278
0,5.657526731491089,9,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,22000,0.038211,200.0,-1436.627801,-1861.857043,-1072.081219,288.184611
0,6.182052850723267,10,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,24200,0.037375,200.0,-1148.3128,-1715.117476,-778.959034,277.512265
0,6.7295918464660645,11,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,26400,0.038766,200.0,-1148.867479,-1490.748664,-883.416586,236.762022
0,7.281734943389893,12,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,28600,0.039601,200.0,-1330.821688,-1649.164369,-968.552367,198.960136
0,7.82158899307251,13,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,30800,0.038638,200.0,-1166.526692,-1691.295567,-893.377664,281.603646
0,8.354053974151611,14,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,33000,0.038016,200.0,-1188.633284,-1868.206461,-876.407589,283.014979
0,8.88105297088623,15,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,35200,0.03728,200.0,-1314.293648,-1833.044352,-892.068402,339.193993
0,9.417605876922607,16,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,37400,0.037942,200.0,-1187.674999,-1698.111953,-872.647252,267.823972
0,9.95718789100647,17,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,39600,0.038823,200.0,-1265.738239,-1677.452867,-942.799512,246.329317
0,10.480206966400146,18,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,41800,0.037392,200.0,-1106.139205,-1512.976825,-950.948932,158.531036
0,11.009779930114746,19,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,44000,0.037808,200.0,-1226.078874,-1767.460082,-905.852087,299.707635
0,11.587690114974976,20,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,46200,0.041658,200.0,-1208.870178,-1753.328599,-892.276204,267.888704
0,12.121265888214111,21,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,48400,0.038102,200.0,-1184.512249,-1630.607834,-892.828761,215.167353
0,12.658154010772705,22,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,50600,0.038636,200.0,-1287.022973,-1730.819191,-1009.981878,287.192381
0,13.170348882675171,23,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,52800,0.036472,200.0,-1165.697373,-1668.265612,-906.167139,260.848217
0,13.70542287826538,24,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,55000,0.036715,200.0,-1128.243172,-1789.235195,-865.259888,254.580305
0,14.250802993774414,25,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,57200,0.036776,200.0,-1111.834867,-1778.263898,-894.280201,227.131302
0,14.812641859054565,26,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,59400,0.039879,200.0,-1089.320139,-1653.15547,-897.258109,234.330621
0,15.366271018981934,27,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,61600,0.039797,200.0,-1102.218087,-1379.537258,-827.248463,149.21788
0,15.885749101638794,28,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,63800,0.03722,200.0,-1122.815123,-1474.727735,-855.612616,144.576133
0,16.443616151809692,29,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,66000,0.036634,200.0,-1210.4751,-1736.057239,-1024.451113,223.38855
0,16.97536277770996,30,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,68200,0.037973,200.0,-1152.416923,-1368.715802,-1030.71705,111.179807
0,17.512043714523315,31,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,70400,0.037938,200.0,-1216.063952,-1562.734313,-1010.44235,183.194894
0,18.062462091445923,32,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,72600,0.039219,200.0,-1286.807141,-1755.631155,-1033.707225,241.265611
0,18.582027912139893,33,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,74800,0.037157,200.0,-1202.044596,-1645.828884,-879.959841,211.625934
0,19.10422396659851,34,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,77000,0.037506,200.0,-1249.645112,-1654.997414,-1065.386746,167.933373
0,19.641499996185303,35,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,79200,0.038933,200.0,-1212.929884,-1678.881926,-900.015875,182.557721
0,20.171061038970947,36,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,81400,0.037462,200.0,-1273.808557,-1820.171632,-1047.301987,221.882863
0,20.7229220867157,37,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_gae,83600,0.039539,200.0,-1205.796923,-1687.113365,-890.652428,232.659171
