"Step","mean_episodes_rewards","random_agent_run_3 - mean_episodes_rewards__MIN","random_agent_run_3 - mean_episodes_rewards__MAX"
"2200","-1245.0088110506645","-1245.0088110506645","-1245.0088110506645"
"4400","-1129.2869856704858","-1129.2869856704858","-1129.2869856704858"
"6600","-1228.8021082505452","-1228.8021082505452","-1228.8021082505452"
"8800","-1176.4163944670302","-1176.4163944670302","-1176.4163944670302"
"11000","-1280.7755207881294","-1280.7755207881294","-1280.7755207881294"
"13200","-1185.074988155032","-1185.074988155032","-1185.074988155032"
"15400","-1272.1969789351883","-1272.1969789351883","-1272.1969789351883"
"17600","-1332.719442499715","-1332.719442499715","-1332.719442499715"
"19800","-1167.2892435546707","-1167.2892435546707","-1167.2892435546707"
"22000","-1256.9857175148084","-1256.9857175148084","-1256.9857175148084"
"24200","-1308.5804116581298","-1308.5804116581298","-1308.5804116581298"
"26400","-1221.088150614204","-1221.088150614204","-1221.088150614204"
"28600","-1197.7396384743497","-1197.7396384743497","-1197.7396384743497"
"30800","-1337.740142789018","-1337.740142789018","-1337.740142789018"
"33000","-1301.6999332782184","-1301.6999332782184","-1301.6999332782184"
"35200","-1104.3171335271459","-1104.3171335271459","-1104.3171335271459"
"37400","-1124.553777044581","-1124.553777044581","-1124.553777044581"
"39600","-1152.3729837619444","-1152.3729837619444","-1152.3729837619444"
"41800","-1127.8642806832106","-1127.8642806832106","-1127.8642806832106"
"44000","-1256.8878335229683","-1256.8878335229683","-1256.8878335229683"
"46200","-1341.8185533856113","-1341.8185533856113","-1341.8185533856113"
"48400","-1127.8989444432093","-1127.8989444432093","-1127.8989444432093"
"50600","-1264.4981240101545","-1264.4981240101545","-1264.4981240101545"
"52800","-1162.0181851163086","-1162.0181851163086","-1162.0181851163086"
"55000","-1111.8561440726896","-1111.8561440726896","-1111.8561440726896"
"57200","-1294.3798490466363","-1294.3798490466363","-1294.3798490466363"
"59400","-1362.6013953787178","-1362.6013953787178","-1362.6013953787178"
"61600","-1357.9827477320944","-1357.9827477320944","-1357.9827477320944"
"63800","-1352.9991474441756","-1352.9991474441756","-1352.9991474441756"
"66000","-1192.5843943365237","-1192.5843943365237","-1192.5843943365237"
"68200","-1131.634502898828","-1131.634502898828","-1131.634502898828"
"70400","-1194.9763347706155","-1194.9763347706155","-1194.9763347706155"
"72600","-1106.05901602491","-1106.05901602491","-1106.05901602491"
"74800","-1245.932302496356","-1245.932302496356","-1245.932302496356"
"77000","-1301.6844901177267","-1301.6844901177267","-1301.6844901177267"
"79200","-1185.087752172294","-1185.087752172294","-1185.087752172294"
"81400","-1340.4060963735517","-1340.4060963735517","-1340.4060963735517"
"83600","-1248.2835500033927","-1248.2835500033927","-1248.2835500033927"
"85800","-1177.8442861233395","-1177.8442861233395","-1177.8442861233395"
"88000","-1209.3458866404237","-1209.3458866404237","-1209.3458866404237"
"90200","-1290.8350072871333","-1290.8350072871333","-1290.8350072871333"
"92400","-1262.0934771335985","-1262.0934771335985","-1262.0934771335985"
"94600","-1336.567011306344","-1336.567011306344","-1336.567011306344"
"96800","-1294.9938828228378","-1294.9938828228378","-1294.9938828228378"
"99000","-1188.8879055313487","-1188.8879055313487","-1188.8879055313487"
"101200","-1266.7359222526375","-1266.7359222526375","-1266.7359222526375"
"103400","-1250.8842092620732","-1250.8842092620732","-1250.8842092620732"
"105600","-1134.9160632825435","-1134.9160632825435","-1134.9160632825435"
"107800","-1332.191070194977","-1332.191070194977","-1332.191070194977"
"110000","-1167.6411107799522","-1167.6411107799522","-1167.6411107799522"
"112200","-1326.269519513829","-1326.269519513829","-1326.269519513829"
"114400","-1289.621948990321","-1289.621948990321","-1289.621948990321"
"116600","-1309.3716668209256","-1309.3716668209256","-1309.3716668209256"
"118800","-1284.2961937105179","-1284.2961937105179","-1284.2961937105179"
"121000","-1364.5256245788173","-1364.5256245788173","-1364.5256245788173"
"123200","-1200.7205854186757","-1200.7205854186757","-1200.7205854186757"
"125400","-1322.4435916776047","-1322.4435916776047","-1322.4435916776047"
"127600","-1246.1315659183526","-1246.1315659183526","-1246.1315659183526"
"129800","-1109.7295231307244","-1109.7295231307244","-1109.7295231307244"
"132000","-1149.9055376524618","-1149.9055376524618","-1149.9055376524618"
"134200","-1171.3586789832354","-1171.3586789832354","-1171.3586789832354"
"136400","-1316.0283805095007","-1316.0283805095007","-1316.0283805095007"
"138600","-1480.1866410482723","-1480.1866410482723","-1480.1866410482723"
"140800","-1171.3415557339713","-1171.3415557339713","-1171.3415557339713"
"143000","-1262.3780296862558","-1262.3780296862558","-1262.3780296862558"
"145200","-1111.4767996908527","-1111.4767996908527","-1111.4767996908527"
"147400","-1162.5758508866465","-1162.5758508866465","-1162.5758508866465"
"149600","-1157.1528639803919","-1157.1528639803919","-1157.1528639803919"
"151800","-1104.449889904841","-1104.449889904841","-1104.449889904841"
"154000","-1303.6014622397545","-1303.6014622397545","-1303.6014622397545"
"156200","-1335.8571068049102","-1335.8571068049102","-1335.8571068049102"
"158400","-1126.644448975438","-1126.644448975438","-1126.644448975438"
"160600","-1156.2459360481944","-1156.2459360481944","-1156.2459360481944"
"162800","-1269.3226105960036","-1269.3226105960036","-1269.3226105960036"
"165000","-1238.709911223973","-1238.709911223973","-1238.709911223973"
"167200","-1245.8646078850504","-1245.8646078850504","-1245.8646078850504"
"169400","-1323.3150204737387","-1323.3150204737387","-1323.3150204737387"
"171600","-1368.8184719800822","-1368.8184719800822","-1368.8184719800822"
"173800","-1191.4765560897813","-1191.4765560897813","-1191.4765560897813"
"176000","-1360.3297765104724","-1360.3297765104724","-1360.3297765104724"
"178200","-1172.196369918681","-1172.196369918681","-1172.196369918681"
"180400","-1140.301378961127","-1140.301378961127","-1140.301378961127"
"182600","-1296.7852900582816","-1296.7852900582816","-1296.7852900582816"
"184800","-1114.6493811136597","-1114.6493811136597","-1114.6493811136597"
"187000","-1218.3434582316725","-1218.3434582316725","-1218.3434582316725"
"189200","-1130.6414347479529","-1130.6414347479529","-1130.6414347479529"
"191400","-1327.381336631023","-1327.381336631023","-1327.381336631023"
"193600","-1282.3266081549127","-1282.3266081549127","-1282.3266081549127"
"195800","-1161.1406912395114","-1161.1406912395114","-1161.1406912395114"
"198000","-1236.4067262453934","-1236.4067262453934","-1236.4067262453934"
"200200","-1223.7910841892995","-1223.7910841892995","-1223.7910841892995"
"202400","-1397.9398966486895","-1397.9398966486895","-1397.9398966486895"
"204600","-1161.5637347054408","-1161.5637347054408","-1161.5637347054408"
"206800","-1229.0296306067287","-1229.0296306067287","-1229.0296306067287"
"209000","-1437.265861844603","-1437.265861844603","-1437.265861844603"
"211200","-1191.9215492244086","-1191.9215492244086","-1191.9215492244086"
"213400","-1279.3744692905168","-1279.3744692905168","-1279.3744692905168"
"215600","-1194.3744617986888","-1194.3744617986888","-1194.3744617986888"
"217800","-1219.1867182339547","-1219.1867182339547","-1219.1867182339547"
"220000","-1234.5521499186468","-1234.5521499186468","-1234.5521499186468"
"222200","-1327.7105241355096","-1327.7105241355096","-1327.7105241355096"
"224400","-1290.1711642412113","-1290.1711642412113","-1290.1711642412113"
"226600","-1231.6146553793017","-1231.6146553793017","-1231.6146553793017"
"228800","-1187.6782900612925","-1187.6782900612925","-1187.6782900612925"
"231000","-1150.9016613126196","-1150.9016613126196","-1150.9016613126196"
"233200","-1317.8559524276925","-1317.8559524276925","-1317.8559524276925"
"235400","-1186.2109011064329","-1186.2109011064329","-1186.2109011064329"
"237600","-1173.3841910622587","-1173.3841910622587","-1173.3841910622587"
"239800","-1105.951505984631","-1105.951505984631","-1105.951505984631"
"242000","-1381.6601261984533","-1381.6601261984533","-1381.6601261984533"
"244200","-1226.739256124791","-1226.739256124791","-1226.739256124791"
"246400","-1135.7835459447826","-1135.7835459447826","-1135.7835459447826"
"248600","-1418.375141544293","-1418.375141544293","-1418.375141544293"
"250800","-1203.9812585086938","-1203.9812585086938","-1203.9812585086938"
"253000","-1197.0667967856912","-1197.0667967856912","-1197.0667967856912"
"255200","-1222.37320832494","-1222.37320832494","-1222.37320832494"
"257400","-1130.2995775784266","-1130.2995775784266","-1130.2995775784266"
"259600","-1228.669811752438","-1228.669811752438","-1228.669811752438"
"261800","-1153.7533917929866","-1153.7533917929866","-1153.7533917929866"
"264000","-1241.47615411609","-1241.47615411609","-1241.47615411609"
"266200","-1344.2329441155769","-1344.2329441155769","-1344.2329441155769"
"268400","-1284.956681212393","-1284.956681212393","-1284.956681212393"
"270600","-1291.2530583133766","-1291.2530583133766","-1291.2530583133766"
"272800","-1250.4889379208223","-1250.4889379208223","-1250.4889379208223"
"275000","-1069.352576048754","-1069.352576048754","-1069.352576048754"
"277200","-1279.122944589523","-1279.122944589523","-1279.122944589523"
"279400","-1309.9172919889663","-1309.9172919889663","-1309.9172919889663"
"281600","-1230.9329132593555","-1230.9329132593555","-1230.9329132593555"
"283800","-1155.4453886878348","-1155.4453886878348","-1155.4453886878348"
"286000","-1191.264867450023","-1191.264867450023","-1191.264867450023"
"288200","-1358.0081481006332","-1358.0081481006332","-1358.0081481006332"
"290400","-1182.0502345211733","-1182.0502345211733","-1182.0502345211733"
"292600","-1156.3907632358096","-1156.3907632358096","-1156.3907632358096"
"294800","-1223.4456298683094","-1223.4456298683094","-1223.4456298683094"
"297000","-1209.6049548665496","-1209.6049548665496","-1209.6049548665496"
"299200","-1259.1937572015893","-1259.1937572015893","-1259.1937572015893"
"301400","-1166.789662727718","-1166.789662727718","-1166.789662727718"
"303600","-996.1193144090907","-996.1193144090907","-996.1193144090907"
"305800","-1205.0415858205326","-1205.0415858205326","-1205.0415858205326"
"308000","-1171.6315898875444","-1171.6315898875444","-1171.6315898875444"
"310200","-1264.1103802759787","-1264.1103802759787","-1264.1103802759787"
"312400","-1194.0296749291524","-1194.0296749291524","-1194.0296749291524"
"314600","-1344.1470715505332","-1344.1470715505332","-1344.1470715505332"
"316800","-1197.9076078277403","-1197.9076078277403","-1197.9076078277403"
"319000","-1102.394686473433","-1102.394686473433","-1102.394686473433"
"321200","-1240.1884704838722","-1240.1884704838722","-1240.1884704838722"
"323400","-1162.9826812473912","-1162.9826812473912","-1162.9826812473912"
"325600","-1233.4731509824198","-1233.4731509824198","-1233.4731509824198"
"327800","-1261.5812708030196","-1261.5812708030196","-1261.5812708030196"
"330000","-1304.4127966406825","-1304.4127966406825","-1304.4127966406825"
"332200","-1381.3711209181713","-1381.3711209181713","-1381.3711209181713"
"334400","-1155.9057244580504","-1155.9057244580504","-1155.9057244580504"
"336600","-1271.0318824495214","-1271.0318824495214","-1271.0318824495214"
"338800","-1188.3276651996314","-1188.3276651996314","-1188.3276651996314"
"341000","-1263.8255864766368","-1263.8255864766368","-1263.8255864766368"
"343200","-1231.0042137221376","-1231.0042137221376","-1231.0042137221376"
"345400","-1219.4642115641936","-1219.4642115641936","-1219.4642115641936"
"347600","-1264.4481860133244","-1264.4481860133244","-1264.4481860133244"
"349800","-1173.8569324591138","-1173.8569324591138","-1173.8569324591138"
"352000","-1252.1304076211882","-1252.1304076211882","-1252.1304076211882"
"354200","-1262.2815996836468","-1262.2815996836468","-1262.2815996836468"
"356400","-1202.381050464226","-1202.381050464226","-1202.381050464226"
"358600","-1235.2705740813994","-1235.2705740813994","-1235.2705740813994"
"360800","-1076.197726152919","-1076.197726152919","-1076.197726152919"
"363000","-1138.0558587754358","-1138.0558587754358","-1138.0558587754358"
"365200","-1388.289353705841","-1388.289353705841","-1388.289353705841"
"367400","-1354.1039474449585","-1354.1039474449585","-1354.1039474449585"
"369600","-1217.1571624398239","-1217.1571624398239","-1217.1571624398239"
"371800","-1154.8831580767858","-1154.8831580767858","-1154.8831580767858"
"374000","-1164.0713782062924","-1164.0713782062924","-1164.0713782062924"
"376200","-1348.5125364334176","-1348.5125364334176","-1348.5125364334176"
"378400","-1139.1091237496335","-1139.1091237496335","-1139.1091237496335"
"380600","-1192.3237310142765","-1192.3237310142765","-1192.3237310142765"
"382800","-1165.4520827395118","-1165.4520827395118","-1165.4520827395118"
"385000","-1231.7025797394804","-1231.7025797394804","-1231.7025797394804"
"387200","-1207.5170931867979","-1207.5170931867979","-1207.5170931867979"
"389400","-1303.4260895524505","-1303.4260895524505","-1303.4260895524505"
"391600","-1128.2064626095964","-1128.2064626095964","-1128.2064626095964"
"393800","-1322.7085615088977","-1322.7085615088977","-1322.7085615088977"
"396000","-1275.8285262142579","-1275.8285262142579","-1275.8285262142579"
"398200","-1287.9317447168935","-1287.9317447168935","-1287.9317447168935"
"400400","-1247.3769511527205","-1247.3769511527205","-1247.3769511527205"
"402600","-1394.142281750578","-1394.142281750578","-1394.142281750578"
"404800","-1146.3494342214588","-1146.3494342214588","-1146.3494342214588"
"407000","-1360.8242524996592","-1360.8242524996592","-1360.8242524996592"
"409200","-1093.3354673107467","-1093.3354673107467","-1093.3354673107467"
"411400","-1272.3078730750674","-1272.3078730750674","-1272.3078730750674"
"413600","-1165.3090423014344","-1165.3090423014344","-1165.3090423014344"
"415800","-1289.1421572073987","-1289.1421572073987","-1289.1421572073987"
"418000","-1150.2630540174532","-1150.2630540174532","-1150.2630540174532"
"420200","-1338.1046288144496","-1338.1046288144496","-1338.1046288144496"
"422400","-1304.6638743628328","-1304.6638743628328","-1304.6638743628328"
"424600","-1165.0756970579118","-1165.0756970579118","-1165.0756970579118"
"426800","-1244.3250538488503","-1244.3250538488503","-1244.3250538488503"
"429000","-1351.8881150308828","-1351.8881150308828","-1351.8881150308828"
"431200","-1301.576191316664","-1301.576191316664","-1301.576191316664"
