"Step","mean_episodes_rewards","random_agent_run_2 - mean_episodes_rewards__MIN","random_agent_run_2 - mean_episodes_rewards__MAX"
"2200","-1095.9039659275904","-1095.9039659275904","-1095.9039659275904"
"4400","-1177.8358573319404","-1177.8358573319404","-1177.8358573319404"
"6600","-1356.3414667334282","-1356.3414667334282","-1356.3414667334282"
"8800","-1214.024060331725","-1214.024060331725","-1214.024060331725"
"11000","-1264.4703699277989","-1264.4703699277989","-1264.4703699277989"
"13200","-1224.9508383401937","-1224.9508383401937","-1224.9508383401937"
"15400","-1389.6574827570016","-1389.6574827570016","-1389.6574827570016"
"17600","-1204.6301828734724","-1204.6301828734724","-1204.6301828734724"
"19800","-1248.1430073536837","-1248.1430073536837","-1248.1430073536837"
"22000","-1291.5998220501515","-1291.5998220501515","-1291.5998220501515"
"24200","-1226.4198732112006","-1226.4198732112006","-1226.4198732112006"
"26400","-1267.010313795383","-1267.010313795383","-1267.010313795383"
"28600","-1296.828449754323","-1296.828449754323","-1296.828449754323"
"30800","-1190.8694019237798","-1190.8694019237798","-1190.8694019237798"
"33000","-1346.1118409668106","-1346.1118409668106","-1346.1118409668106"
"35200","-1015.7889380979111","-1015.7889380979111","-1015.7889380979111"
"37400","-1433.9374898816084","-1433.9374898816084","-1433.9374898816084"
"39600","-1246.6472389868554","-1246.6472389868554","-1246.6472389868554"
"41800","-1110.7569211455882","-1110.7569211455882","-1110.7569211455882"
"44000","-1147.3051822952448","-1147.3051822952448","-1147.3051822952448"
"46200","-1333.475307004676","-1333.475307004676","-1333.475307004676"
"48400","-1221.2192597621024","-1221.2192597621024","-1221.2192597621024"
"50600","-1228.041080351484","-1228.041080351484","-1228.041080351484"
"52800","-1325.8127889511975","-1325.8127889511975","-1325.8127889511975"
"55000","-1293.418705140398","-1293.418705140398","-1293.418705140398"
"57200","-1377.008918732033","-1377.008918732033","-1377.008918732033"
"59400","-1276.204602598131","-1276.204602598131","-1276.204602598131"
"61600","-1268.3334132752732","-1268.3334132752732","-1268.3334132752732"
"63800","-1259.8427778113382","-1259.8427778113382","-1259.8427778113382"
"66000","-1174.8478200954107","-1174.8478200954107","-1174.8478200954107"
"68200","-1176.660350470688","-1176.660350470688","-1176.660350470688"
"70400","-1105.7798500189604","-1105.7798500189604","-1105.7798500189604"
"72600","-1317.0140355179728","-1317.0140355179728","-1317.0140355179728"
"74800","-1152.1874180701661","-1152.1874180701661","-1152.1874180701661"
"77000","-1149.1844189548935","-1149.1844189548935","-1149.1844189548935"
"79200","-1089.3183149965969","-1089.3183149965969","-1089.3183149965969"
"81400","-1219.1254082056462","-1219.1254082056462","-1219.1254082056462"
"83600","-1180.9143317180196","-1180.9143317180196","-1180.9143317180196"
"85800","-1269.616662227563","-1269.616662227563","-1269.616662227563"
"88000","-1334.0503469382763","-1334.0503469382763","-1334.0503469382763"
"90200","-1148.2289013722211","-1148.2289013722211","-1148.2289013722211"
"92400","-1240.924482826781","-1240.924482826781","-1240.924482826781"
"94600","-1072.0761364946425","-1072.0761364946425","-1072.0761364946425"
"96800","-1283.0232064914064","-1283.0232064914064","-1283.0232064914064"
"99000","-1150.8248146523028","-1150.8248146523028","-1150.8248146523028"
"101200","-1206.1061583420158","-1206.1061583420158","-1206.1061583420158"
"103400","-1233.3550316528317","-1233.3550316528317","-1233.3550316528317"
"105600","-1310.2303378020736","-1310.2303378020736","-1310.2303378020736"
"107800","-1310.765536292903","-1310.765536292903","-1310.765536292903"
"110000","-1219.2243495816867","-1219.2243495816867","-1219.2243495816867"
"112200","-1339.0750654915187","-1339.0750654915187","-1339.0750654915187"
"114400","-1287.6487588460714","-1287.6487588460714","-1287.6487588460714"
"116600","-1208.5982678183418","-1208.5982678183418","-1208.5982678183418"
"118800","-1325.8576745239734","-1325.8576745239734","-1325.8576745239734"
"121000","-1232.1769516127204","-1232.1769516127204","-1232.1769516127204"
"123200","-1145.2001660164906","-1145.2001660164906","-1145.2001660164906"
"125400","-1244.1790128979721","-1244.1790128979721","-1244.1790128979721"
"127600","-1236.2636507668778","-1236.2636507668778","-1236.2636507668778"
"129800","-1207.4701480114095","-1207.4701480114095","-1207.4701480114095"
"132000","-1248.2364056819024","-1248.2364056819024","-1248.2364056819024"
"134200","-1278.9168046010184","-1278.9168046010184","-1278.9168046010184"
"136400","-1234.239462010398","-1234.239462010398","-1234.239462010398"
"138600","-1183.358294402554","-1183.358294402554","-1183.358294402554"
"140800","-1251.9854959798117","-1251.9854959798117","-1251.9854959798117"
"143000","-1265.7214226818503","-1265.7214226818503","-1265.7214226818503"
"145200","-1106.8634625655532","-1106.8634625655532","-1106.8634625655532"
"147400","-1191.2678017559174","-1191.2678017559174","-1191.2678017559174"
"149600","-1252.6224418104143","-1252.6224418104143","-1252.6224418104143"
"151800","-1131.6210815696363","-1131.6210815696363","-1131.6210815696363"
"154000","-1200.3637545932725","-1200.3637545932725","-1200.3637545932725"
"156200","-1309.244179664132","-1309.244179664132","-1309.244179664132"
"158400","-1148.7357740019545","-1148.7357740019545","-1148.7357740019545"
"160600","-1324.1631743436546","-1324.1631743436546","-1324.1631743436546"
"162800","-1290.7820812646662","-1290.7820812646662","-1290.7820812646662"
"165000","-1140.6800220439543","-1140.6800220439543","-1140.6800220439543"
"167200","-1151.7754291864946","-1151.7754291864946","-1151.7754291864946"
"169400","-1192.9793768782388","-1192.9793768782388","-1192.9793768782388"
"171600","-1160.7162280589869","-1160.7162280589869","-1160.7162280589869"
"173800","-1288.4015454711066","-1288.4015454711066","-1288.4015454711066"
"176000","-1212.9511378065208","-1212.9511378065208","-1212.9511378065208"
"178200","-1309.3397348692754","-1309.3397348692754","-1309.3397348692754"
"180400","-1231.943230898","-1231.943230898","-1231.943230898"
"182600","-1195.7215475484595","-1195.7215475484595","-1195.7215475484595"
"184800","-1278.6725107807836","-1278.6725107807836","-1278.6725107807836"
"187000","-1187.0377966572516","-1187.0377966572516","-1187.0377966572516"
"189200","-1211.0381107867174","-1211.0381107867174","-1211.0381107867174"
"191400","-1292.3502093026548","-1292.3502093026548","-1292.3502093026548"
"193600","-1076.4763128333307","-1076.4763128333307","-1076.4763128333307"
"195800","-1098.022374323429","-1098.022374323429","-1098.022374323429"
"198000","-1223.7444146443481","-1223.7444146443481","-1223.7444146443481"
"200200","-1329.1286901658077","-1329.1286901658077","-1329.1286901658077"
"202400","-1090.442858534183","-1090.442858534183","-1090.442858534183"
"204600","-1280.8713455143838","-1280.8713455143838","-1280.8713455143838"
"206800","-1114.6614469867059","-1114.6614469867059","-1114.6614469867059"
"209000","-1307.3741083977757","-1307.3741083977757","-1307.3741083977757"
"211200","-1158.5459729640484","-1158.5459729640484","-1158.5459729640484"
"213400","-1257.678911294525","-1257.678911294525","-1257.678911294525"
"215600","-1101.6457033522047","-1101.6457033522047","-1101.6457033522047"
"217800","-1236.333518375202","-1236.333518375202","-1236.333518375202"
"220000","-1189.4414741356331","-1189.4414741356331","-1189.4414741356331"
"222200","-1064.1285763508329","-1064.1285763508329","-1064.1285763508329"
"224400","-1124.1898534168229","-1124.1898534168229","-1124.1898534168229"
"226600","-1248.3310555513017","-1248.3310555513017","-1248.3310555513017"
"228800","-1270.8880709337545","-1270.8880709337545","-1270.8880709337545"
"231000","-1151.9933761297368","-1151.9933761297368","-1151.9933761297368"
"233200","-1237.480221546567","-1237.480221546567","-1237.480221546567"
"235400","-1399.0495847252168","-1399.0495847252168","-1399.0495847252168"
"237600","-1231.5513166112933","-1231.5513166112933","-1231.5513166112933"
"239800","-1297.674841027352","-1297.674841027352","-1297.674841027352"
