,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.5197062492370605,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,2048,0.702793,1024.0,-811.85374,-820.055956,-803.651523,8.202217
1,2,3.127714157104492,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,4096,0.741241,1024.0,-774.037606,-779.029709,-769.045504,4.992102
2,3,4.8258891105651855,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,6144,0.788416,1024.0,-815.991168,-817.152874,-814.829461,1.161707
3,4,6.397979259490967,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,8192,0.726661,1024.0,-780.272446,-792.498572,-768.046319,12.226126
4,5,7.9904561042785645,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,10240,0.740042,1024.0,-782.621001,-791.508201,-773.7338,8.887201
0,6,9.741919040679932,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,12288,0.815885,1024.0,-765.273909,-771.588913,-758.958905,6.315004
1,7,11.344658136367798,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,14336,0.74029,1024.0,-723.659098,-725.295003,-722.023193,1.635905
2,8,13.059256076812744,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,16384,0.796956,1024.0,-709.212635,-716.193876,-702.231394,6.981241
3,9,14.637384176254272,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,18432,0.73124,1024.0,-698.557132,-702.383373,-694.730892,3.826241
4,10,16.236354112625122,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,20480,0.741332,1024.0,-673.50508,-678.039329,-668.970831,4.534249
0,11,17.8401141166687,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,22528,0.738696,1024.0,-662.909029,-691.104822,-634.713235,28.195793
1,12,19.376116275787354,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,24576,0.709653,1024.0,-657.047873,-673.34208,-640.753666,16.294207
2,13,21.08824110031128,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,26624,0.7969,1024.0,-664.945771,-668.783722,-661.10782,3.837951
3,14,22.66973900794983,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,28672,0.732376,1024.0,-703.093569,-722.862713,-683.324425,19.769144
4,15,24.220927953720093,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,30720,0.715829,1024.0,-750.117606,-753.840951,-746.39426,3.723345
0,16,25.714740991592407,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,32768,0.689076,1024.0,-742.423249,-749.854568,-734.991929,7.43132
1,17,27.302775144577026,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,34816,0.736819,1024.0,-788.805277,-789.915301,-787.695252,1.110024
2,18,28.843821048736572,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,36864,0.710989,1024.0,-809.830578,-838.039763,-781.621393,28.209185
3,19,30.402313947677612,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,38912,0.723058,1024.0,-836.545369,-847.951935,-825.138803,11.406566
4,20,32.090312242507935,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,40960,0.776344,1024.0,-875.921505,-886.204305,-865.638706,10.2828
0,21,33.86792707443237,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,43008,0.82385,1024.0,-963.888826,-967.473629,-960.304023,3.584803
1,22,35.49623131752014,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,45056,0.758127,1024.0,-1003.103701,-1010.580269,-995.627133,7.476568
2,23,37.21709895133972,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,47104,0.79484,1024.0,-1126.505981,-1147.559025,-1105.452937,21.053044
3,24,38.82094407081604,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,49152,0.743923,1024.0,-1255.515219,-1345.078356,-1165.952083,89.563137
4,25,40.40860104560852,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-26,51200,0.736685,1024.0,-1513.941686,-1602.806931,-1425.07644,88.865245
