,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: hover-aviary-v0_2023-01-22,2048,0.000536,1.0,2048,-0.787656,-0.787693,-0.787619,1.1e-05,1,28.336806058883667
1,exp_name: hover-aviary-v0_2023-01-22,4096,0.000548,1.0,2048,-0.787655,-0.787689,-0.787614,1.1e-05,2,57.09764909744263
2,exp_name: hover-aviary-v0_2023-01-22,6144,0.000496,1.0,2048,-0.787655,-0.787688,-0.787624,1e-05,3,84.92737293243408
3,exp_name: hover-aviary-v0_2023-01-22,8192,0.000527,1.0,2048,-0.787655,-0.787689,-0.787618,1.1e-05,4,113.37240314483643
4,exp_name: hover-aviary-v0_2023-01-22,10240,0.000519,1.0,2048,-0.787655,-0.787692,-0.787614,1.1e-05,5,142.02117705345154
0,exp_name: hover-aviary-v0_2023-01-22,12288,0.000532,1.0,2048,-0.787654,-0.78769,-0.787616,1.1e-05,6,170.6870481967926
1,exp_name: hover-aviary-v0_2023-01-22,14336,0.000598,1.0,2048,-0.787653,-0.787687,-0.787613,1.1e-05,7,200.58127403259277
2,exp_name: hover-aviary-v0_2023-01-22,16384,0.000596,1.0,2048,-0.787652,-0.787686,-0.787614,1.1e-05,8,230.55860018730164
3,exp_name: hover-aviary-v0_2023-01-22,18432,0.000609,1.0,2048,-0.787651,-0.787687,-0.787618,1.1e-05,9,260.72116708755493
4,exp_name: hover-aviary-v0_2023-01-22,20480,0.000568,1.0,2048,-0.787649,-0.787691,-0.787616,1.1e-05,10,290.1173448562622
0,exp_name: hover-aviary-v0_2023-01-22,22528,0.000558,1.0,2048,-0.787647,-0.78768,-0.787605,1.1e-05,11,319.3477759361267
1,exp_name: hover-aviary-v0_2023-01-22,24576,0.000568,1.0,2048,-0.787646,-0.787682,-0.78761,1.1e-05,12,348.74229288101196
2,exp_name: hover-aviary-v0_2023-01-22,26624,0.00062,1.0,2048,-0.787644,-0.78768,-0.787604,1.1e-05,13,379.2038300037384
3,exp_name: hover-aviary-v0_2023-01-22,28672,0.000565,1.0,2048,-0.787641,-0.787676,-0.787603,1.1e-05,14,408.68013405799866
4,exp_name: hover-aviary-v0_2023-01-22,30720,0.000594,1.0,2048,-0.787639,-0.787676,-0.787603,1.1e-05,15,438.7172598838806
0,exp_name: hover-aviary-v0_2023-01-22,32768,0.000576,1.0,2048,-0.787636,-0.787671,-0.787599,1.1e-05,16,468.3913688659668
1,exp_name: hover-aviary-v0_2023-01-22,34816,0.000535,1.0,2048,-0.787633,-0.787668,-0.787594,1.1e-05,17,497.0675139427185
2,exp_name: hover-aviary-v0_2023-01-22,36864,0.000523,1.0,2048,-0.787631,-0.787666,-0.787596,1.1e-05,18,525.7335348129272
3,exp_name: hover-aviary-v0_2023-01-22,38912,0.0006,1.0,2048,-0.787629,-0.787671,-0.787582,1.1e-05,19,555.7722339630127
4,exp_name: hover-aviary-v0_2023-01-22,40960,0.000515,1.0,2048,-0.787626,-0.787662,-0.787588,1.1e-05,20,584.0774681568146
0,exp_name: hover-aviary-v0_2023-01-22,43008,0.000568,1.0,2048,-0.787624,-0.787657,-0.787581,1.1e-05,21,613.3811800479889
1,exp_name: hover-aviary-v0_2023-01-22,45056,0.000542,1.0,2048,-0.787621,-0.787658,-0.787576,1.1e-05,22,642.2577221393585
2,exp_name: hover-aviary-v0_2023-01-22,47104,0.000525,1.0,2048,-0.787618,-0.78766,-0.787576,1.1e-05,23,670.9137609004974
3,exp_name: hover-aviary-v0_2023-01-22,49152,0.000571,1.0,2048,-0.787615,-0.787655,-0.787572,1.1e-05,24,700.2212929725647
4,exp_name: hover-aviary-v0_2023-01-22,51200,0.000556,1.0,2048,-0.787612,-0.787655,-0.787577,1.1e-05,25,729.2413711547852
0,exp_name: hover-aviary-v0_2023-01-22,53248,0.000578,1.0,2048,-0.787609,-0.787658,-0.78757,1.2e-05,26,758.8015789985657
1,exp_name: hover-aviary-v0_2023-01-22,55296,0.000635,1.0,2048,-0.787606,-0.787645,-0.787567,1.1e-05,27,789.4767489433289
2,exp_name: hover-aviary-v0_2023-01-22,57344,0.000672,1.0,2048,-0.787603,-0.78764,-0.787564,1.2e-05,28,820.6518750190735
3,exp_name: hover-aviary-v0_2023-01-22,59392,0.00065,1.0,2048,-0.7876,-0.787639,-0.78756,1.1e-05,29,851.5232119560242
4,exp_name: hover-aviary-v0_2023-01-22,61440,0.000535,1.0,2048,-0.787597,-0.78764,-0.787561,1.2e-05,30,880.3464591503143
0,exp_name: hover-aviary-v0_2023-01-22,63488,0.000537,1.0,2048,-0.787594,-0.787632,-0.787548,1.2e-05,31,909.2362279891968
1,exp_name: hover-aviary-v0_2023-01-22,65536,0.000583,1.0,2048,-0.787592,-0.787634,-0.787553,1.2e-05,32,939.0027730464935
2,exp_name: hover-aviary-v0_2023-01-22,67584,0.000525,1.0,2048,-0.787588,-0.787625,-0.787543,1.2e-05,33,967.5655410289764
3,exp_name: hover-aviary-v0_2023-01-22,69632,0.000599,1.0,2048,-0.787586,-0.787626,-0.787535,1.2e-05,34,997.4133880138397
4,exp_name: hover-aviary-v0_2023-01-22,71680,0.000609,1.0,2048,-0.787582,-0.78762,-0.787543,1.1e-05,35,1027.6165180206299
0,exp_name: hover-aviary-v0_2023-01-22,73728,0.000613,1.0,2048,-0.787579,-0.787627,-0.78754,1.2e-05,36,1057.8519821166992
1,exp_name: hover-aviary-v0_2023-01-22,75776,0.000667,1.0,2048,-0.787576,-0.787615,-0.787531,1.2e-05,37,1088.8083181381226
2,exp_name: hover-aviary-v0_2023-01-22,77824,0.000599,1.0,2048,-0.787573,-0.787619,-0.78753,1.2e-05,38,1118.7431011199951
3,exp_name: hover-aviary-v0_2023-01-22,79872,0.000498,1.0,2048,-0.78757,-0.787614,-0.78752,1.2e-05,39,1146.9101819992065
4,exp_name: hover-aviary-v0_2023-01-22,81920,0.000594,1.0,2048,-0.787567,-0.787619,-0.787523,1.2e-05,40,1176.817321062088
0,exp_name: hover-aviary-v0_2023-01-22,83968,0.000656,1.0,2048,-0.787564,-0.787607,-0.787521,1.2e-05,41,1207.6748688220978
1,exp_name: hover-aviary-v0_2023-01-22,86016,0.000583,1.0,2048,-0.78756,-0.787603,-0.787514,1.2e-05,42,1237.251147031784
2,exp_name: hover-aviary-v0_2023-01-22,88064,0.000559,1.0,2048,-0.787558,-0.787594,-0.78751,1.2e-05,43,1266.3973319530487
3,exp_name: hover-aviary-v0_2023-01-22,90112,0.000555,1.0,2048,-0.787555,-0.787595,-0.787508,1.3e-05,44,1295.656100988388
4,exp_name: hover-aviary-v0_2023-01-22,92160,0.000521,1.0,2048,-0.787551,-0.78759,-0.787503,1.2e-05,45,1324.150850057602
0,exp_name: hover-aviary-v0_2023-01-22,94208,0.00055,1.0,2048,-0.787548,-0.78759,-0.787503,1.3e-05,46,1353.0074379444122
1,exp_name: hover-aviary-v0_2023-01-22,96256,0.000528,1.0,2048,-0.787545,-0.787583,-0.787502,1.2e-05,47,1381.689260005951
2,exp_name: hover-aviary-v0_2023-01-22,98304,0.000568,1.0,2048,-0.787543,-0.787581,-0.787494,1.2e-05,48,1411.0449540615082
3,exp_name: hover-aviary-v0_2023-01-22,100352,0.000555,1.0,2048,-0.78754,-0.787579,-0.787488,1.3e-05,49,1440.1391160488129
4,exp_name: hover-aviary-v0_2023-01-22,102400,0.000558,1.0,2048,-0.787536,-0.787581,-0.787498,1.3e-05,50,1469.3574061393738
0,exp_name: hover-aviary-v0_2023-01-22,104448,0.000568,1.0,2048,-0.787533,-0.78758,-0.787486,1.3e-05,51,1498.7422161102295
1,exp_name: hover-aviary-v0_2023-01-22,106496,0.000536,1.0,2048,-0.787529,-0.787574,-0.787492,1.3e-05,52,1527.4431819915771
2,exp_name: hover-aviary-v0_2023-01-22,108544,0.000549,1.0,2048,-0.787526,-0.787567,-0.787471,1.3e-05,53,1556.3352510929108
3,exp_name: hover-aviary-v0_2023-01-22,110592,0.00057,1.0,2048,-0.787523,-0.787575,-0.787482,1.3e-05,54,1585.2500982284546
4,exp_name: hover-aviary-v0_2023-01-22,112640,0.000615,1.0,2048,-0.78752,-0.787561,-0.787471,1.3e-05,55,1615.5048129558563
0,exp_name: hover-aviary-v0_2023-01-22,114688,0.000588,1.0,2048,-0.787517,-0.787566,-0.787467,1.3e-05,56,1644.9026730060577
1,exp_name: hover-aviary-v0_2023-01-22,116736,0.00055,1.0,2048,-0.787514,-0.787563,-0.787472,1.3e-05,57,1673.7943029403687
2,exp_name: hover-aviary-v0_2023-01-22,118784,0.000537,1.0,2048,-0.787511,-0.787548,-0.787463,1.3e-05,58,1702.5428578853607
3,exp_name: hover-aviary-v0_2023-01-22,120832,0.000535,1.0,2048,-0.787508,-0.787545,-0.787463,1.3e-05,59,1731.1298699378967
4,exp_name: hover-aviary-v0_2023-01-22,122880,0.000552,1.0,2048,-0.787505,-0.787543,-0.787464,1.3e-05,60,1759.9265179634094
0,exp_name: hover-aviary-v0_2023-01-22,124928,0.000546,1.0,2048,-0.787502,-0.787548,-0.787462,1.3e-05,61,1788.7864849567413
1,exp_name: hover-aviary-v0_2023-01-22,126976,0.000536,1.0,2048,-0.787498,-0.787542,-0.787448,1.4e-05,62,1817.4376199245453
2,exp_name: hover-aviary-v0_2023-01-22,129024,0.000542,1.0,2048,-0.787495,-0.787537,-0.787451,1.3e-05,63,1845.977203130722
3,exp_name: hover-aviary-v0_2023-01-22,131072,0.000524,1.0,2048,-0.787492,-0.78753,-0.787452,1.3e-05,64,1874.3678040504456
4,exp_name: hover-aviary-v0_2023-01-22,133120,0.000529,1.0,2048,-0.787489,-0.787532,-0.787449,1.3e-05,65,1903.04093003273
0,exp_name: hover-aviary-v0_2023-01-22,135168,0.000481,1.0,2048,-0.787486,-0.787528,-0.787439,1.3e-05,66,1930.6656911373138
1,exp_name: hover-aviary-v0_2023-01-22,137216,0.000458,1.0,2048,-0.787483,-0.787525,-0.787438,1.4e-05,67,1957.8402400016785
2,exp_name: hover-aviary-v0_2023-01-22,139264,0.000484,1.0,2048,-0.78748,-0.787522,-0.787431,1.3e-05,68,1985.553484916687
3,exp_name: hover-aviary-v0_2023-01-22,141312,0.000491,1.0,2048,-0.787476,-0.78752,-0.787427,1.3e-05,69,2013.217042207718
4,exp_name: hover-aviary-v0_2023-01-22,143360,0.000483,1.0,2048,-0.787473,-0.787516,-0.78743,1.4e-05,70,2040.589332818985
0,exp_name: hover-aviary-v0_2023-01-22,145408,0.000496,1.0,2048,-0.78747,-0.787511,-0.787428,1.3e-05,71,2068.5274879932404
1,exp_name: hover-aviary-v0_2023-01-22,147456,0.000486,1.0,2048,-0.787468,-0.78752,-0.787422,1.4e-05,72,2096.1187341213226
2,exp_name: hover-aviary-v0_2023-01-22,149504,0.000508,1.0,2048,-0.787464,-0.787513,-0.787419,1.4e-05,73,2124.263708114624
3,exp_name: hover-aviary-v0_2023-01-22,151552,0.000536,1.0,2048,-0.787461,-0.787503,-0.787417,1.4e-05,74,2152.9672260284424
4,exp_name: hover-aviary-v0_2023-01-22,153600,0.000524,1.0,2048,-0.787458,-0.7875,-0.787408,1.4e-05,75,2181.42924618721
0,exp_name: hover-aviary-v0_2023-01-22,155648,0.000521,1.0,2048,-0.787455,-0.787496,-0.787405,1.3e-05,76,2209.9027938842773
1,exp_name: hover-aviary-v0_2023-01-22,157696,0.000529,1.0,2048,-0.787452,-0.787506,-0.787409,1.4e-05,77,2238.4774639606476
2,exp_name: hover-aviary-v0_2023-01-22,159744,0.000546,1.0,2048,-0.787449,-0.787497,-0.78739,1.4e-05,78,2267.329427242279
3,exp_name: hover-aviary-v0_2023-01-22,161792,0.000509,1.0,2048,-0.787447,-0.787489,-0.787408,1.4e-05,79,2295.604395866394
4,exp_name: hover-aviary-v0_2023-01-22,163840,0.000523,1.0,2048,-0.787443,-0.787488,-0.787401,1.4e-05,80,2324.00084900856
0,exp_name: hover-aviary-v0_2023-01-22,165888,0.000514,1.0,2048,-0.78744,-0.787487,-0.787396,1.4e-05,81,2352.2067449092865
1,exp_name: hover-aviary-v0_2023-01-22,167936,0.000564,1.0,2048,-0.787437,-0.787484,-0.787386,1.4e-05,82,2381.3530559539795
2,exp_name: hover-aviary-v0_2023-01-22,169984,0.000513,1.0,2048,-0.787434,-0.787481,-0.787387,1.4e-05,83,2409.5715548992157
3,exp_name: hover-aviary-v0_2023-01-22,172032,0.00054,1.0,2048,-0.787431,-0.787477,-0.78738,1.4e-05,84,2438.186504840851
4,exp_name: hover-aviary-v0_2023-01-22,174080,0.000509,1.0,2048,-0.787428,-0.787474,-0.787385,1.4e-05,85,2466.4330060482025
0,exp_name: hover-aviary-v0_2023-01-22,176128,0.000538,1.0,2048,-0.787424,-0.787471,-0.787376,1.4e-05,86,2495.0280249118805
1,exp_name: hover-aviary-v0_2023-01-22,178176,0.00054,1.0,2048,-0.787421,-0.787467,-0.787371,1.4e-05,87,2523.7334361076355
2,exp_name: hover-aviary-v0_2023-01-22,180224,0.00059,1.0,2048,-0.78742,-0.787465,-0.787348,1.4e-05,88,2553.366502046585
3,exp_name: hover-aviary-v0_2023-01-22,182272,0.000666,1.0,2048,-0.787416,-0.787462,-0.78735,1.4e-05,89,2584.7183558940887
4,exp_name: hover-aviary-v0_2023-01-22,184320,0.000644,1.0,2048,-0.787413,-0.787461,-0.787366,1.4e-05,90,2615.583816051483
0,exp_name: hover-aviary-v0_2023-01-22,186368,0.000623,1.0,2048,-0.787409,-0.787455,-0.787362,1.5e-05,91,2645.6641099452972
1,exp_name: hover-aviary-v0_2023-01-22,188416,0.000672,1.0,2048,-0.787406,-0.787454,-0.787354,1.5e-05,92,2676.4182410240173
2,exp_name: hover-aviary-v0_2023-01-22,190464,0.000569,1.0,2048,-0.787404,-0.787453,-0.787349,1.5e-05,93,2705.610659122467
3,exp_name: hover-aviary-v0_2023-01-22,192512,0.000593,1.0,2048,-0.787401,-0.787447,-0.787348,1.5e-05,94,2735.3360481262207
4,exp_name: hover-aviary-v0_2023-01-22,194560,0.00063,1.0,2048,-0.787398,-0.787446,-0.787351,1.5e-05,95,2765.687413930893
0,exp_name: hover-aviary-v0_2023-01-22,196608,0.000518,1.0,2048,-0.787394,-0.787437,-0.787336,1.4e-05,96,2793.941657066345
1,exp_name: hover-aviary-v0_2023-01-22,198656,0.0005,1.0,2048,-0.787391,-0.787436,-0.787338,1.5e-05,97,2821.962928056717
2,exp_name: hover-aviary-v0_2023-01-22,200704,0.00049,1.0,2048,-0.787387,-0.787437,-0.787328,1.5e-05,98,2849.8222918510437
3,exp_name: hover-aviary-v0_2023-01-22,202752,0.000564,1.0,2048,-0.787385,-0.787433,-0.787344,1.5e-05,99,2878.94268989563
4,exp_name: hover-aviary-v0_2023-01-22,204800,0.00059,1.0,2048,-0.787381,-0.787429,-0.787337,1.5e-05,100,2908.324784040451
0,exp_name: hover-aviary-v0_2023-01-22,206848,0.000548,1.0,2048,-0.787379,-0.787431,-0.787332,1.5e-05,101,2936.729548931122
1,exp_name: hover-aviary-v0_2023-01-22,208896,0.000517,1.0,2048,-0.787376,-0.787433,-0.787327,1.5e-05,102,2965.084937810898
2,exp_name: hover-aviary-v0_2023-01-22,210944,0.000576,1.0,2048,-0.787373,-0.787426,-0.787319,1.5e-05,103,2994.3165621757507
3,exp_name: hover-aviary-v0_2023-01-22,212992,0.000539,1.0,2048,-0.787369,-0.787417,-0.787323,1.4e-05,104,3023.0758290290833
4,exp_name: hover-aviary-v0_2023-01-22,215040,0.000545,1.0,2048,-0.787366,-0.787417,-0.78732,1.5e-05,105,3051.8503069877625
0,exp_name: hover-aviary-v0_2023-01-22,217088,0.000505,1.0,2048,-0.787363,-0.787408,-0.787314,1.5e-05,106,3079.927309989929
1,exp_name: hover-aviary-v0_2023-01-22,219136,0.000543,1.0,2048,-0.787361,-0.78741,-0.787313,1.5e-05,107,3108.683275938034
2,exp_name: hover-aviary-v0_2023-01-22,221184,0.000527,1.0,2048,-0.787357,-0.787405,-0.78731,1.6e-05,108,3137.208566904068
3,exp_name: hover-aviary-v0_2023-01-22,223232,0.000575,1.0,2048,-0.787355,-0.787421,-0.787301,1.5e-05,109,3166.4560539722443
4,exp_name: hover-aviary-v0_2023-01-22,225280,0.00058,1.0,2048,-0.787352,-0.7874,-0.787299,1.5e-05,110,3196.0227460861206
0,exp_name: hover-aviary-v0_2023-01-22,227328,0.000648,1.0,2048,-0.787348,-0.787399,-0.787285,1.6e-05,111,3226.8630430698395
1,exp_name: hover-aviary-v0_2023-01-22,229376,0.000656,1.0,2048,-0.787346,-0.787392,-0.787293,1.5e-05,112,3257.798835039139
2,exp_name: hover-aviary-v0_2023-01-22,231424,0.000681,1.0,2048,-0.787343,-0.787395,-0.787295,1.5e-05,113,3289.1717071533203
3,exp_name: hover-aviary-v0_2023-01-22,233472,0.000662,1.0,2048,-0.78734,-0.787394,-0.787287,1.5e-05,114,3320.053448200226
4,exp_name: hover-aviary-v0_2023-01-22,235520,0.000588,1.0,2048,-0.787336,-0.787391,-0.787282,1.5e-05,115,3349.76455283165
0,exp_name: hover-aviary-v0_2023-01-22,237568,0.000486,1.0,2048,-0.787333,-0.787388,-0.787278,1.5e-05,116,3377.47096323967
1,exp_name: hover-aviary-v0_2023-01-22,239616,0.00062,1.0,2048,-0.78733,-0.787386,-0.787278,1.6e-05,117,3407.5154480934143
2,exp_name: hover-aviary-v0_2023-01-22,241664,0.0006,1.0,2048,-0.787326,-0.787382,-0.787265,1.5e-05,118,3437.27067899704
3,exp_name: hover-aviary-v0_2023-01-22,243712,0.000547,1.0,2048,-0.787323,-0.787367,-0.787272,1.5e-05,119,3466.0961430072784
4,exp_name: hover-aviary-v0_2023-01-22,245760,0.000556,1.0,2048,-0.78732,-0.78737,-0.787265,1.6e-05,120,3495.1800529956818
0,exp_name: hover-aviary-v0_2023-01-22,247808,0.00052,1.0,2048,-0.787317,-0.787368,-0.78726,1.5e-05,121,3523.4430141448975
1,exp_name: hover-aviary-v0_2023-01-22,249856,0.000512,1.0,2048,-0.787314,-0.787362,-0.787257,1.6e-05,122,3551.6733469963074
2,exp_name: hover-aviary-v0_2023-01-22,251904,0.000541,1.0,2048,-0.787311,-0.787362,-0.787258,1.6e-05,123,3580.3810210227966
3,exp_name: hover-aviary-v0_2023-01-22,253952,0.000531,1.0,2048,-0.787307,-0.787355,-0.787254,1.6e-05,124,3609.06134223938
4,exp_name: hover-aviary-v0_2023-01-22,256000,0.000522,1.0,2048,-0.787305,-0.78736,-0.787254,1.6e-05,125,3636.9598150253296
0,exp_name: hover-aviary-v0_2023-01-22,258048,0.000462,1.0,2048,-0.787302,-0.787356,-0.787247,1.5e-05,126,3664.226790189743
1,exp_name: hover-aviary-v0_2023-01-22,260096,0.000467,1.0,2048,-0.787299,-0.787348,-0.787248,1.6e-05,127,3691.4648978710175
2,exp_name: hover-aviary-v0_2023-01-22,262144,0.000464,1.0,2048,-0.787296,-0.787354,-0.787242,1.5e-05,128,3718.8192381858826
3,exp_name: hover-aviary-v0_2023-01-22,264192,0.000471,1.0,2048,-0.787293,-0.787355,-0.787235,1.6e-05,129,3746.4452352523804
4,exp_name: hover-aviary-v0_2023-01-22,266240,0.000483,1.0,2048,-0.787291,-0.787347,-0.787232,1.6e-05,130,3774.195130109787
0,exp_name: hover-aviary-v0_2023-01-22,268288,0.000542,1.0,2048,-0.787287,-0.787347,-0.787231,1.6e-05,131,3802.8457901477814
1,exp_name: hover-aviary-v0_2023-01-22,270336,0.000517,1.0,2048,-0.787285,-0.787341,-0.787231,1.6e-05,132,3831.1757748126984
2,exp_name: hover-aviary-v0_2023-01-22,272384,0.000525,1.0,2048,-0.787282,-0.787332,-0.787232,1.6e-05,133,3859.7696549892426
3,exp_name: hover-aviary-v0_2023-01-22,274432,0.000498,1.0,2048,-0.787279,-0.787326,-0.787229,1.6e-05,134,3887.5418400764465
4,exp_name: hover-aviary-v0_2023-01-22,276480,0.00052,1.0,2048,-0.787276,-0.787324,-0.787223,1.6e-05,135,3915.992919921875
0,exp_name: hover-aviary-v0_2023-01-22,278528,0.000472,1.0,2048,-0.787273,-0.787331,-0.787216,1.6e-05,136,3943.488604068756
1,exp_name: hover-aviary-v0_2023-01-22,280576,0.000462,1.0,2048,-0.787271,-0.787324,-0.787205,1.6e-05,137,3970.8287789821625
2,exp_name: hover-aviary-v0_2023-01-22,282624,0.000469,1.0,2048,-0.787267,-0.787336,-0.787209,1.6e-05,138,3998.142075061798
3,exp_name: hover-aviary-v0_2023-01-22,284672,0.000518,1.0,2048,-0.787265,-0.787323,-0.787214,1.6e-05,139,4026.7600779533386
4,exp_name: hover-aviary-v0_2023-01-22,286720,0.000488,1.0,2048,-0.787262,-0.787322,-0.787211,1.6e-05,140,4054.4721179008484
0,exp_name: hover-aviary-v0_2023-01-22,288768,0.000476,1.0,2048,-0.78726,-0.787324,-0.78721,1.6e-05,141,4081.9657011032104
1,exp_name: hover-aviary-v0_2023-01-22,290816,0.000502,1.0,2048,-0.787256,-0.787305,-0.7872,1.6e-05,142,4110.194371938705
2,exp_name: hover-aviary-v0_2023-01-22,292864,0.00046,1.0,2048,-0.787253,-0.787318,-0.787199,1.7e-05,143,4137.380836009979
3,exp_name: hover-aviary-v0_2023-01-22,294912,0.000455,1.0,2048,-0.78725,-0.787316,-0.787172,1.6e-05,144,4164.578195095062
4,exp_name: hover-aviary-v0_2023-01-22,296960,0.00047,1.0,2048,-0.787248,-0.787304,-0.787184,1.6e-05,145,4191.8831532001495
0,exp_name: hover-aviary-v0_2023-01-22,299008,0.000513,1.0,2048,-0.787245,-0.787298,-0.787188,1.6e-05,146,4220.139978885651
1,exp_name: hover-aviary-v0_2023-01-22,301056,0.00046,1.0,2048,-0.787243,-0.787302,-0.787192,1.6e-05,147,4247.138288974762
2,exp_name: hover-aviary-v0_2023-01-22,303104,0.000463,1.0,2048,-0.78724,-0.787291,-0.787184,1.6e-05,148,4274.438904047012
3,exp_name: hover-aviary-v0_2023-01-22,305152,0.000529,1.0,2048,-0.787238,-0.787296,-0.787179,1.7e-05,149,4302.404893159866
4,exp_name: hover-aviary-v0_2023-01-22,307200,0.000532,1.0,2048,-0.787235,-0.787291,-0.78718,1.7e-05,150,4331.020153999329
0,exp_name: hover-aviary-v0_2023-01-22,309248,0.000521,1.0,2048,-0.787232,-0.787282,-0.787177,1.6e-05,151,4359.442692041397
1,exp_name: hover-aviary-v0_2023-01-22,311296,0.000545,1.0,2048,-0.787229,-0.787285,-0.787172,1.6e-05,152,4388.406011104584
2,exp_name: hover-aviary-v0_2023-01-22,313344,0.000508,1.0,2048,-0.787226,-0.787278,-0.787173,1.6e-05,153,4416.5317261219025
3,exp_name: hover-aviary-v0_2023-01-22,315392,0.000545,1.0,2048,-0.787224,-0.787279,-0.787165,1.6e-05,154,4445.289957046509
4,exp_name: hover-aviary-v0_2023-01-22,317440,0.000526,1.0,2048,-0.78722,-0.787273,-0.787166,1.6e-05,155,4473.856597900391
0,exp_name: hover-aviary-v0_2023-01-22,319488,0.000514,1.0,2048,-0.787217,-0.787267,-0.787159,1.6e-05,156,4502.3435781002045
1,exp_name: hover-aviary-v0_2023-01-22,321536,0.000507,1.0,2048,-0.787215,-0.787278,-0.787161,1.7e-05,157,4530.565968990326
2,exp_name: hover-aviary-v0_2023-01-22,323584,0.000536,1.0,2048,-0.787212,-0.787264,-0.787153,1.7e-05,158,4559.296888113022
3,exp_name: hover-aviary-v0_2023-01-22,325632,0.000539,1.0,2048,-0.787209,-0.78727,-0.787151,1.7e-05,159,4588.238903999329
4,exp_name: hover-aviary-v0_2023-01-22,327680,0.000536,1.0,2048,-0.787206,-0.787268,-0.787136,1.7e-05,160,4617.01057100296
0,exp_name: hover-aviary-v0_2023-01-22,329728,0.000544,1.0,2048,-0.787204,-0.787263,-0.787149,1.7e-05,161,4645.966833114624
1,exp_name: hover-aviary-v0_2023-01-22,331776,0.000546,1.0,2048,-0.787201,-0.787255,-0.787142,1.7e-05,162,4674.832580089569
2,exp_name: hover-aviary-v0_2023-01-22,333824,0.000492,1.0,2048,-0.787199,-0.787263,-0.787147,1.7e-05,163,4702.647758960724
3,exp_name: hover-aviary-v0_2023-01-22,335872,0.000528,1.0,2048,-0.787196,-0.787253,-0.787134,1.7e-05,164,4731.3002960681915
4,exp_name: hover-aviary-v0_2023-01-22,337920,0.000542,1.0,2048,-0.787193,-0.787241,-0.787137,1.7e-05,165,4759.971648931503
0,exp_name: hover-aviary-v0_2023-01-22,339968,0.000528,1.0,2048,-0.78719,-0.787247,-0.787137,1.7e-05,166,4788.723961114883
1,exp_name: hover-aviary-v0_2023-01-22,342016,0.000508,1.0,2048,-0.787186,-0.787252,-0.787134,1.7e-05,167,4816.783065080643
