,episodes,training time,length per episode,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,0.6334438323974609,0,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,2200,0.039128,200.0,-1342.88013,-1795.364819,-882.326357,335.693485
0,1.3237247467041016,1,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,4400,0.043201,200.0,-1136.887119,-1817.267619,-766.448829,337.392732
0,1.9581968784332275,2,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,6600,0.038923,200.0,-1333.859222,-1849.10205,-624.352502,380.116599
0,2.6029319763183594,3,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,8800,0.038966,200.0,-1326.554654,-1868.252673,-863.321158,370.561447
0,3.1975209712982178,4,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,11000,0.036954,200.0,-1048.031193,-1573.804947,-732.764994,233.795209
0,3.836589813232422,5,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,13200,0.038257,200.0,-1140.183886,-1536.03956,-705.454068,222.095317
0,4.495427846908569,6,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,15400,0.040983,200.0,-1206.710487,-1805.098882,-841.571614,294.403093
0,5.11346173286438,7,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,17600,0.03886,200.0,-1139.232905,-1754.124822,-626.455209,349.794645
0,5.689263820648193,8,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,19800,0.035838,200.0,-1059.273043,-1750.919605,-771.098447,264.371588
0,6.268587827682495,9,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,22000,0.036056,200.0,-1384.686653,-1861.586825,-959.267021,299.107158
0,6.8853759765625,10,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,24200,0.037965,200.0,-1101.438339,-1654.182324,-792.738814,249.096851
0,7.481316804885864,11,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,26400,0.037387,200.0,-1099.068856,-1405.225055,-743.242937,220.483484
0,8.079027891159058,12,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,28600,0.035918,200.0,-1257.916631,-1538.770496,-863.1513,184.332943
0,8.656100749969482,13,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,30800,0.035933,200.0,-1132.343224,-1615.245088,-891.35601,252.279247
0,9.243313789367676,14,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,33000,0.035811,200.0,-1164.456785,-1857.380118,-864.236431,266.11985
0,9.85730266571045,15,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,35200,0.039046,200.0,-1242.761564,-1707.750452,-888.353977,279.950363
0,10.437816858291626,16,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,37400,0.036036,200.0,-1123.753543,-1581.071002,-760.256448,233.190293
0,11.0152907371521,17,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,39600,0.035846,200.0,-1165.870722,-1520.88418,-777.301466,227.985832
0,11.594222784042358,18,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,41800,0.035817,200.0,-1014.346465,-1358.335066,-763.234005,176.54892
0,12.206202745437622,19,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,44000,0.037583,200.0,-1090.23276,-1642.312735,-767.733829,279.850726
0,12.87076473236084,20,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,46200,0.043392,200.0,-1080.341542,-1534.87446,-759.34103,250.661828
0,13.457028865814209,21,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,48400,0.036509,200.0,-1044.472688,-1384.544335,-752.019465,212.916234
0,14.036687850952148,22,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,50600,0.035897,200.0,-1140.008342,-1594.654166,-783.294534,254.741705
0,14.620612859725952,23,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,52800,0.03602,200.0,-1022.45122,-1500.716688,-770.005108,231.002493
0,15.246213912963867,24,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,55000,0.039119,200.0,-1014.791437,-1739.358421,-765.479911,250.393998
0,15.85308289527893,25,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,57200,0.037413,200.0,-1006.263297,-1510.177006,-756.837748,192.076313
0,16.45825695991516,26,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,59400,0.037763,200.0,-966.779664,-1331.635201,-774.518064,144.513016
0,17.071900844573975,27,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,61600,0.038116,200.0,-1004.321386,-1195.248941,-814.918147,136.957079
0,17.692840814590454,28,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,63800,0.037991,200.0,-905.446072,-1289.641047,-721.356109,164.299955
0,18.33931589126587,29,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,66000,0.040708,200.0,-970.995652,-1455.776108,-765.905876,222.294395
0,18.939440965652466,30,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,68200,0.037663,200.0,-976.963142,-1098.583215,-789.705355,107.187813
0,19.519073724746704,31,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,70400,0.035982,200.0,-965.57255,-1199.129699,-766.708645,146.833319
0,20.11255669593811,32,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,72600,0.03551,200.0,-998.059096,-1357.508382,-759.905547,173.772637
0,20.74660587310791,33,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,74800,0.039365,200.0,-964.344114,-1378.766493,-755.025033,191.022608
0,21.430365800857544,34,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,77000,0.038597,200.0,-972.677604,-1282.782586,-627.484935,180.238898
0,22.0706787109375,35,11,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,79200,0.039212,200.0,-922.749767,-1272.240131,-738.029316,139.631864
