,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.0161221027374268,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,2048,0.467884,1024.0,-938.142788,-978.221447,-898.064129,40.078659
1,2,2.0606770515441895,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,4096,0.479649,1024.0,-795.481279,-814.412403,-776.550155,18.931124
2,3,3.1330642700195312,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,6144,0.494434,1024.0,-1002.534274,-1014.246125,-990.822424,11.71185
3,4,4.221577882766724,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,8192,0.500851,1024.0,-853.682976,-900.8458,-806.520151,47.162825
4,5,5.207489013671875,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.452268,1024.0,-853.596075,-889.615123,-817.577028,36.019047
0,6,6.212632179260254,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,12288,0.456916,1024.0,-812.114256,-828.33537,-795.893141,16.221114
1,7,7.259000062942505,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,14336,0.479449,1024.0,-715.335755,-723.822842,-706.848668,8.487087
2,8,8.34832215309143,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,16384,0.501281,1024.0,-708.978355,-719.06437,-698.892341,10.086014
3,9,9.400422096252441,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,18432,0.483446,1024.0,-698.569451,-709.09338,-688.045521,10.523929
4,10,10.46072006225586,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.489636,1024.0,-636.724437,-642.87211,-630.576765,6.147673
0,11,11.458978176116943,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,22528,0.45611,1024.0,-610.270861,-673.888127,-546.653594,63.617266
1,12,12.494696140289307,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,24576,0.47377,1024.0,-611.511256,-651.29827,-571.724242,39.787014
2,13,13.472096920013428,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,26624,0.446334,1024.0,-595.390867,-596.859279,-593.922455,1.468412
3,14,14.481986999511719,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,28672,0.461628,1024.0,-591.961498,-622.712527,-561.21047,30.751028
4,15,15.601352214813232,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,30720,0.518172,1024.0,-636.464766,-641.408194,-631.521339,4.943427
0,16,16.61118507385254,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,32768,0.460321,1024.0,-598.401216,-603.045512,-593.756921,4.644295
1,17,17.624337196350098,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,34816,0.462961,1024.0,-614.065047,-636.017026,-592.113069,21.951979
2,18,18.617534160614014,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,36864,0.453024,1024.0,-620.599568,-664.675577,-576.523558,44.076009
3,19,19.618227243423462,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,38912,0.458696,1024.0,-601.677139,-610.80141,-592.552869,9.124271
4,20,20.634952306747437,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,40960,0.466491,1024.0,-573.970195,-613.792173,-534.148217,39.821978
0,21,21.620243310928345,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,43008,0.44987,1024.0,-599.310435,-608.474705,-590.146166,9.164269
1,22,22.612523078918457,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,45056,0.454049,1024.0,-556.183026,-584.205469,-528.160583,28.022443
2,23,23.679848194122314,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,47104,0.490911,1024.0,-568.028117,-585.038118,-551.018116,17.010001
3,24,24.693199157714844,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,49152,0.463769,1024.0,-598.279571,-662.364958,-534.194185,64.085386
4,25,25.716999292373657,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,51200,0.469886,1024.0,-596.485299,-598.80593,-594.164669,2.32063
0,26,26.744229078292847,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,53248,0.469456,1024.0,-551.92843,-554.994768,-548.862092,3.066338
1,27,27.736704111099243,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,55296,0.453763,1024.0,-566.975773,-585.187108,-548.764438,18.211335
2,28,28.770846128463745,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,57344,0.473463,1024.0,-592.112688,-618.571912,-565.653464,26.459224
3,29,29.752129077911377,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,59392,0.449492,1024.0,-576.01788,-576.670277,-575.365483,0.652397
4,30,30.749800205230713,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,61440,0.456896,1024.0,-611.078725,-616.294626,-605.862824,5.215901
0,31,31.83524227142334,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,63488,0.49799,1024.0,-531.582355,-550.900173,-512.264537,19.317818
1,32,32.84911608695984,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,65536,0.465331,1024.0,-589.629203,-622.891564,-556.366843,33.262361
2,33,33.94512605667114,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,67584,0.502771,1024.0,-525.166743,-547.833567,-502.499918,22.666824
3,34,35.02652311325073,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,69632,0.498798,1024.0,-540.300601,-598.353564,-482.247639,58.052963
4,35,36.01914429664612,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,71680,0.455047,1024.0,-500.306196,-502.486481,-498.12591,2.180286
0,36,37.05224919319153,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,73728,0.471539,1024.0,-494.345756,-504.833053,-483.858459,10.487297
1,37,38.031497955322266,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,75776,0.448647,1024.0,-498.409243,-516.253279,-480.565207,17.844036
2,38,39.021239042282104,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,77824,0.453356,1024.0,-508.438637,-558.142127,-458.735147,49.70349
3,39,40.03307223320007,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,79872,0.464879,1024.0,-494.617705,-510.874852,-478.360559,16.257147
4,40,41.01880121231079,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,81920,0.450651,1024.0,-516.750227,-544.003653,-489.496801,27.253426
0,41,42.08218216896057,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,83968,0.487125,1024.0,-503.640146,-527.662348,-479.617944,24.022202
