,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.0413367748260498,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,2048,0.464714,1024.0,-811.27808,-819.485231,-803.070928,8.207152
1,2,2.167433977127075,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,4096,0.50326,1024.0,-774.276372,-779.271643,-769.281102,4.995271
2,3,3.271387815475464,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,6144,0.492042,1024.0,-816.419105,-817.613619,-815.224591,1.194514
3,4,4.41808009147644,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,8192,0.515514,1024.0,-781.002646,-793.281939,-768.723353,12.279293
4,5,5.489592790603638,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,10240,0.473765,1024.0,-783.594324,-792.676206,-774.512443,9.081881
0,6,6.635019063949585,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,12288,0.510395,1024.0,-766.615392,-773.002875,-760.22791,6.387482
1,7,7.639450788497925,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,14336,0.447741,1024.0,-726.025394,-727.412836,-724.637952,1.387442
2,8,8.634499788284302,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,16384,0.443031,1024.0,-712.889566,-719.609408,-706.169724,6.719842
3,9,9.678722858428955,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,18432,0.465929,1024.0,-703.266035,-705.948749,-700.583321,2.682714
4,10,10.680140972137451,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,20480,0.445134,1024.0,-679.170937,-683.371082,-674.970791,4.200145
0,11,11.713647842407227,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,22528,0.453841,1024.0,-671.838353,-700.009203,-643.667503,28.17085
1,12,12.737643957138062,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,24576,0.455487,1024.0,-666.93684,-683.697717,-650.175964,16.760876
2,13,13.797123908996582,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,26624,0.471482,1024.0,-675.277071,-678.209124,-672.345017,2.932053
3,14,14.925906896591187,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,28672,0.507014,1024.0,-701.586072,-718.836924,-684.335221,17.250852
4,15,15.951105117797852,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,30720,0.454497,1024.0,-740.490662,-745.481975,-735.499348,4.991314
0,16,16.973695039749146,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,32768,0.452656,1024.0,-730.41354,-735.967813,-724.859267,5.554273
1,17,18.015429973602295,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,34816,0.465872,1024.0,-767.656623,-769.800257,-765.512988,2.143634
