,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,0.9887409210205078,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,2048,0.453478,1024.0,-936.716577,-976.684881,-896.748273,39.968304
1,2,2.018723726272583,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,4096,0.473655,1024.0,-794.46661,-813.334734,-775.598487,18.868124
2,3,3.0513176918029785,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,6144,0.474193,1024.0,-1000.446536,-1012.066965,-988.826107,11.620429
3,4,4.168853998184204,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,8192,0.515205,1024.0,-852.401078,-899.355282,-805.446874,46.954204
4,5,5.184680938720703,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.463814,1024.0,-852.288454,-888.139801,-816.437106,35.851348
0,6,6.167297840118408,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,12288,0.447637,1024.0,-810.997749,-827.13347,-794.862028,16.135721
1,7,7.170702934265137,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,14336,0.458793,1024.0,-714.520112,-722.994481,-706.045744,8.474369
2,8,8.130573749542236,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,16384,0.437714,1024.0,-708.259971,-718.327465,-698.192478,10.067493
3,9,9.080457925796509,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,18432,0.43213,1024.0,-697.890734,-708.417083,-687.364385,10.526349
4,10,10.083313941955566,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.460015,1024.0,-636.214466,-642.361754,-630.067179,6.147287
0,11,11.039493799209595,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,22528,0.433918,1024.0,-609.999313,-673.337614,-546.661012,63.338301
1,12,12.030662775039673,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,24576,0.451705,1024.0,-611.592237,-651.395275,-571.789199,39.803038
2,13,13.028905868530273,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,26624,0.456132,1024.0,-595.489744,-596.959046,-594.020441,1.469302
3,14,13.978247880935669,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,28672,0.431826,1024.0,-592.069106,-622.834564,-561.303649,30.765458
4,15,14.958561658859253,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,30720,0.447597,1024.0,-636.589378,-641.538487,-631.640268,4.949109
0,16,15.968759775161743,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,32768,0.4591,1024.0,-598.507848,-603.143983,-593.871713,4.636135
1,17,16.92604684829712,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,34816,0.435706,1024.0,-614.185071,-636.13803,-592.232112,21.952959
2,18,17.919375896453857,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,36864,0.454681,1024.0,-620.735193,-664.841498,-576.628887,44.106305
3,19,18.864632844924927,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,38912,0.431676,1024.0,-601.818678,-610.937284,-592.700072,9.118606
4,20,19.805596828460693,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,40960,0.429511,1024.0,-574.103366,-613.954335,-534.252398,39.850969
0,21,20.81780481338501,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,43008,0.459212,1024.0,-599.488963,-608.663435,-590.314492,9.174472
1,22,21.768502712249756,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,45056,0.434363,1024.0,-556.336971,-584.372453,-528.301489,28.035482
2,23,22.71677589416504,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,47104,0.431861,1024.0,-568.179781,-585.188966,-551.170595,17.009185
3,24,23.700438737869263,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,49152,0.450214,1024.0,-598.468774,-662.607852,-534.329697,64.139078
4,25,24.655581951141357,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,51200,0.435713,1024.0,-596.687051,-599.010347,-594.363756,2.323296
0,26,25.626956701278687,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,53248,0.441921,1024.0,-552.125688,-555.202463,-549.048914,3.076774
1,27,26.65242886543274,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,55296,0.470609,1024.0,-567.230021,-585.460185,-548.999858,18.230163
2,28,27.61729097366333,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,57344,0.439775,1024.0,-592.389413,-618.88306,-565.895767,26.493647
3,29,28.59711480140686,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,59392,0.44591,1024.0,-576.317721,-576.988345,-575.647097,0.670624
4,30,29.604427814483643,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,61440,0.461817,1024.0,-611.400847,-616.628034,-606.17366,5.227187
0,31,30.56457281112671,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,63488,0.438074,1024.0,-531.804807,-551.145085,-512.464529,19.340278
1,32,31.55358600616455,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,65536,0.45155,1024.0,-589.890406,-623.213604,-556.567207,33.323198
2,33,32.50037670135498,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,67584,0.431089,1024.0,-525.399999,-548.104488,-502.695511,22.704488
3,34,33.44140863418579,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,69632,0.430029,1024.0,-540.548978,-598.658173,-482.439783,58.109195
4,35,34.45770287513733,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,71680,0.465069,1024.0,-500.570177,-502.762196,-498.378157,2.19202
0,36,35.44630479812622,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,73728,0.448914,1024.0,-494.602859,-505.102237,-484.103481,10.499378
1,37,36.40889096260071,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,75776,0.436805,1024.0,-498.667363,-516.526097,-480.808628,17.858734
2,38,37.39971208572388,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,77824,0.452402,1024.0,-508.699731,-558.463753,-458.935709,49.764022
3,39,38.38688278198242,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,79872,0.450368,1024.0,-494.793154,-511.048344,-478.537964,16.25519
4,40,39.422632932662964,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,81920,0.474206,1024.0,-516.949907,-544.229487,-489.670326,27.27958
0,41,40.47459888458252,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,83968,0.482411,1024.0,-503.872338,-527.927139,-479.817537,24.054801
1,42,41.4668607711792,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,86016,0.452724,1024.0,-505.795522,-527.18666,-484.404384,21.391138
2,43,42.48731088638306,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,88064,0.466398,1024.0,-487.624079,-515.129773,-460.118385,27.505694
3,44,43.46440291404724,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,90112,0.445482,1024.0,-509.274879,-551.318989,-467.230769,42.04411
4,45,44.45767784118652,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,92160,0.453854,1024.0,-472.888011,-484.593047,-461.182975,11.705036
