,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",77000,0.326549,200.0,11,-1253.335171,-1710.497937,-984.031809,211.240692,34
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",79200,0.340872,200.0,11,-1240.614518,-1859.426015,-945.95963,297.013636,35
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",81400,0.3303,200.0,11,-1299.06234,-1838.929041,-859.841153,328.224886,36
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",83600,0.33103,200.0,11,-1330.918676,-1691.039987,-956.562334,272.629261,37
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",85800,0.331634,200.0,11,-1182.68322,-1659.361857,-964.827927,202.514093,38
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",88000,0.400144,200.0,11,-1305.926711,-1755.734491,-1057.145827,267.020875,39
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",90200,0.327481,200.0,11,-1376.734631,-1843.992285,-887.731596,307.230765,40
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",92400,0.329628,200.0,11,-1218.83996,-1483.574428,-966.914019,180.604532,41
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",94600,0.429681,200.0,11,-1179.771403,-1545.019467,-904.38916,206.335899,42
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",96800,0.377932,200.0,11,-1155.183195,-1323.201681,-896.871896,111.407555,43
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",99000,0.376584,200.0,11,-1170.701765,-1638.395593,-751.99082,251.040808,44
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",101200,0.445259,200.0,11,-1112.17568,-1211.64652,-972.944307,77.837106,45
