step,mean_reward,min,max
83600,-1116.5963591148147,-1452.3616297741962,-792.8448088686577
85800,-1190.9078623325368,-1747.7374077550915,-902.6241781775985
88000,-1115.5781704606006,-1554.0530920351118,-877.3575690860854
90200,-1189.6040598681732,-1618.2274314840524,-889.4764310694906
92400,-1297.7866566044167,-1639.0813410187893,-880.8180842316461
94600,-1272.4284989485752,-1715.115836750572,-755.7803556826127
96800,-1318.8146281014663,-1816.4349356400678,-813.0719772441201
99000,-1292.5661517502583,-1758.0096773448927,-817.5384091230561
101200,-1405.5460994796354,-1722.1026727474077,-863.9370034091897
103400,-1309.8251203419693,-1690.3145232196784,-999.4762222317302
105600,-1271.1485957753036,-1618.3652842909137,-981.4362120411494
107800,-1213.6602653431562,-1553.2172314802388,-859.0252185166513
110000,-1157.6339090932145,-1723.1953345877857,-768.4194872147148
112200,-1227.7021721542199,-1658.73438482306,-851.8868184605778
114400,-1251.1650523358173,-1747.2426698000152,-937.3431407817897
116600,-1196.2193912744592,-1773.9767838374432,-733.5745588693726
118800,-1294.2886304995352,-1781.137701721259,-829.8790280591483
121000,-1248.6878636213162,-1661.5954098602112,-866.7761870381335
123200,-1210.3644345503055,-1827.2715301938292,-856.8034783127009
125400,-1215.4727330227508,-1609.266901679958,-966.628109898266
127600,-1406.146725391667,-1814.9022980784707,-856.588344651782
129800,-1251.9073269066682,-1746.666607197792,-920.3266698069692
132000,-1170.2990756223805,-1779.9683296797439,-875.5236170716298
134200,-1229.4900023957377,-1788.4356004710385,-864.1677064905035
136400,-1343.0943858977744,-1700.1109074357926,-903.4066834286227
138600,-1274.3809876781243,-1665.33131620804,-751.959061717971
140800,-1136.6978682457272,-1588.647074039153,-787.8180473782329
143000,-1125.8041711147212,-1405.353661515976,-917.1442695809296
145200,-1444.6930896226897,-1819.6004643863819,-839.3970079695247
147400,-1272.9244841422117,-1731.641055113524,-770.5421790612089
149600,-1278.680964679868,-1708.430523677445,-775.8167273899041
151800,-1359.5472685598963,-1761.756123924083,-771.2632386387468
154000,-1221.9389797316019,-1557.257943121302,-926.7548993411284
156200,-1291.4825055227682,-1840.2000279875006,-880.9878808048372
158400,-1250.7889561910522,-1495.6296927200262,-875.8549113741136
160600,-1141.1470060339543,-1624.3614827872168,-760.803503871506
162800,-1153.5906180462846,-1700.965879951906,-836.4767629705296
165000,-1216.2805083556188,-1771.0232172597803,-853.1157908147549
167200,-1226.9011878393064,-1745.227616954115,-765.0523908573884
169400,-1367.8341018099973,-1716.0108855305316,-902.7106373887503
171600,-1119.389244029606,-1496.1875880115874,-776.6409461921018
173800,-1243.380915626487,-1731.764240960662,-748.2886021007132
176000,-1224.523291372826,-1822.1688088743783,-843.2048520473915
178200,-999.0924475476223,-1557.4174309126456,-753.7967964934979
180400,-1303.558169025136,-1760.4369151907695,-914.235395303826
182600,-1271.9873915473263,-1723.7756426324754,-856.247068458084
184800,-1225.519161995477,-1676.262076675772,-849.2370721612879
187000,-1176.412363380021,-1650.1650483283966,-854.0261623748274
189200,-1314.560597058149,-1725.0255438222744,-869.5417011469704
191400,-1278.6809147533777,-1702.9900453461335,-749.2861214380806
193600,-1172.7017279048912,-1641.5896554106855,-930.6021290332044
195800,-1293.4508261895671,-1649.640688837414,-968.5193248747839
198000,-1089.0322127688496,-1393.6241432742645,-857.1204486634705
200200,-1088.9222298305276,-1768.0543734914847,-648.4876616985348
202400,-1378.741139650624,-1808.7195507961953,-961.2680689060272
204600,-1163.964142760975,-1720.8792407260976,-773.8402623899283
206800,-1370.2313264107322,-1761.6222571348237,-870.1715957754549
209000,-1384.0298955072215,-1788.001443455855,-853.4093837256456
211200,-1346.5680603134983,-1749.6421449193267,-860.69790614527
213400,-1404.1115565888636,-1689.934653697633,-883.0291438482013
215600,-1285.3763931890317,-1759.7989323778477,-851.27265046191
217800,-1396.5238001085438,-1785.9672472874317,-884.3191860513787
220000,-1167.3436533259692,-1690.04160273416,-751.275937852736
222200,-1150.8312785689898,-1617.7359835086309,-854.5408177627012
224400,-1144.8949355836867,-1634.8254853532987,-799.526930066796
226600,-1147.1846727417121,-1719.8666259507343,-863.5499566556573
228800,-1298.7930704903486,-1692.7703048438611,-861.7279002381748
231000,-1348.611837820261,-1779.348264254122,-796.6051961123648
233200,-1238.4056788425721,-1633.7979735635643,-947.7767455183899
235400,-1313.0979713519243,-1727.211371998655,-786.9928297561044
237600,-1150.8473418798399,-1635.9959026790139,-854.3101557718063
239800,-1165.5396933754732,-1618.093694310396,-861.7735685738
242000,-1307.5941652023212,-1732.8199825204133,-860.1814979568487
244200,-1258.6399892788895,-1556.1966841710416,-918.5437714184073
246400,-1273.9395634582716,-1743.2421361494619,-822.4210723633005
248600,-1354.5654851744334,-1790.4933655713255,-847.848463431188
250800,-1276.2728492510034,-1729.9886471340665,-869.2585087497102
253000,-1130.1187451737972,-1832.1009640079199,-802.9689444160191
255200,-1200.1159571129267,-1609.3471835624732,-747.1457773499341
257400,-1336.724042796675,-1800.2786857489064,-872.7412130481492
259600,-1244.0456568436662,-1590.0103431358643,-790.4669253945506
261800,-1352.5117261466557,-1687.5679160069853,-769.6324642673615
264000,-1145.7619742245035,-1506.4668202392322,-941.8556027384054
266200,-1266.480675895247,-1738.3375264218328,-764.4877060478779
268400,-1101.3476212613766,-1669.7765144951625,-768.018022935026
270600,-1260.3786913756387,-1788.4773066388736,-878.4255066628973
272800,-1276.8385954908533,-1656.6116234285532,-916.0050339050644
275000,-1146.649725492824,-1752.9092749526517,-867.1124564804832
277200,-1082.9800309838017,-1684.5429167027291,-854.2644487539452
279400,-1276.4971703207875,-1654.8235156982864,-855.2298076707264
281600,-1041.8905125705949,-1475.7065057997324,-878.633829048085
283800,-1235.2391161513872,-1582.2030349913339,-969.8296272477302
286000,-1159.8251203578543,-1800.0243663205613,-736.6635700895621
288200,-1189.3538481463704,-1624.6241555286106,-770.50712372048
290400,-1117.2454303231953,-1493.0105683546856,-746.6892585922329
292600,-1362.4692060164302,-1799.1660112494383,-862.6815904179331
294800,-1117.0307607868926,-1667.2441157915764,-814.9744209530688
297000,-1240.7785447761898,-1738.0374093420292,-753.9388528167634
299200,-1152.7211646042103,-1554.575726552723,-778.4435941416571
301400,-1220.7280575567715,-1767.6353381034446,-892.1796453085155
303600,-1366.7223302808925,-1555.914795629303,-961.7178052352183
305800,-1162.9695099873386,-1677.882103153491,-870.5675339890299
308000,-1233.4159789504577,-1628.9894390694938,-893.4133327928888
310200,-1414.911923386783,-1765.9406040049416,-903.2926986729991
312400,-1183.6972800525773,-1740.6627102782898,-967.9599219751645
314600,-1345.0724248995384,-1700.3480858162322,-869.1947315295715
316800,-1210.6883842859797,-1881.3629291746374,-893.0621762709429
319000,-1220.7696653559694,-1653.3337857240354,-867.0125424785348
321200,-1213.2999394405458,-1696.4043398212636,-879.3923298400387
323400,-1230.057346032452,-1615.2132025799901,-829.5856966774044
325600,-1144.5127087564103,-1462.0019796775478,-844.2291150184361
327800,-1237.8356644072724,-1557.794307508161,-859.7361384707353
330000,-1049.1113165057589,-1458.2948101874947,-765.4989421377181
332200,-1159.0750315023884,-1709.39448657472,-877.7627071877894
334400,-1147.2483666362857,-1615.382728230694,-632.3393692904589
336600,-1196.4623981891373,-1549.2067868253685,-844.562344670289
338800,-1100.787096010356,-1526.7407047667252,-810.1813832964135
341000,-1242.1678657305451,-1810.3211363095363,-879.8100387959875
343200,-1160.9587136416108,-1697.9293551286512,-757.0529612230988
345400,-1245.182081945717,-1603.8055208503786,-868.9417836540238
347600,-1381.6872917449086,-1837.918656850033,-862.3254251173128
349800,-1177.9345909102744,-1652.9634014984501,-747.6903518422421
352000,-1181.2653608497394,-1693.5037792442895,-842.2467317610302
354200,-1129.6016038868702,-1595.1343257247124,-752.9960660608303
356400,-1225.7577506040564,-1610.0498827607646,-778.6066284513538
358600,-1149.552209482242,-1600.6010524760009,-752.3036435922812
360800,-1324.0324826862677,-1615.7663603128226,-850.1650896077635
363000,-1242.0851569754097,-1584.438649191566,-882.3679212239848
365200,-1017.0625477036632,-1385.6605955330851,-776.352808747393
367400,-1144.421915383515,-1769.2856587512197,-795.721106115693
369600,-1288.3013559991264,-1745.7409647458528,-956.739475533452
371800,-1277.153816788762,-1775.7427039003596,-857.7947820898673
374000,-1092.9750807414734,-1603.9916656648986,-723.9569584142783
376200,-1147.6804892770672,-1806.8128081227446,-857.822141663613
378400,-1160.5804209270011,-1585.207523371917,-891.8617435221456
380600,-1341.9664315182504,-1705.1296864622204,-768.0255498357255
382800,-1359.3578002318716,-1638.0115998005663,-866.8196293144958
385000,-1308.9808966889682,-1802.1150593595044,-976.465741360236
387200,-1156.0196092941876,-1600.0419764479047,-868.1663381959277
389400,-1412.353936329091,-1876.3805075799748,-866.0240285194988
391600,-1239.9572010423242,-1712.690786085757,-851.6279722406398
393800,-1231.9605425900152,-1627.92132179851,-859.9871473276245
396000,-1123.487086178802,-1756.9794641835817,-752.6112599370003
398200,-1378.968000280157,-1853.6526010555351,-889.1261292360454
400400,-1117.6507530642427,-1429.745888929418,-873.6004519839257
402600,-1252.854570984681,-1699.7731854699557,-757.5441469917772
404800,-1186.205499039038,-1850.345558285771,-870.4405832664953
407000,-1276.7462099009977,-1780.3335713199926,-903.7193649578593
409200,-1279.1604343156332,-1564.4935309243021,-882.8819443797768
411400,-1290.8491703608147,-1799.5391030720093,-871.2500855155337
413600,-1203.9740366057579,-1694.3592553440797,-878.2964466009751
415800,-1327.4363276630354,-1765.8630874849557,-783.8105170111356
418000,-1213.264915793308,-1695.6338193503586,-830.4480477417052
420200,-1103.8303855672386,-1535.4873967769652,-742.36026646124
422400,-1212.002036711812,-1749.9577351987825,-853.4237487166913
424600,-1086.6968560247283,-1623.7953971613658,-831.9793004495881
426800,-1145.901290257505,-1720.09285438395,-754.3367753651943
429000,-1156.1491296239278,-1504.7333440592438,-894.0836500335007
431200,-1150.860198233959,-1535.6921769832736,-767.4691281657466
433400,-1207.0780488348576,-1751.3837894188568,-897.9005711013974
435600,-1247.8934515394856,-1565.5463288851556,-1013.1744163121642
437800,-1251.3899244813756,-1779.482913745503,-949.3964850660797
440000,-1079.519597183077,-1775.148644839331,-752.8202336867278
442200,-1195.488645486356,-1807.5333317917075,-722.3920977564962
444400,-1144.039538374428,-1409.0489259841954,-831.6697767992266
446600,-1170.4076125428082,-1587.9280762003411,-866.9902381093709
448800,-1097.404267543602,-1509.0723690455159,-862.4051078202873
451000,-1267.2770173924434,-1751.262538006929,-939.5448488951449
453200,-1242.4621702543357,-1662.1827828512241,-895.0106440602873
455400,-1127.3696601921054,-1509.0538111789726,-749.7777668722974
457600,-1154.6267070228466,-1743.5522499842764,-860.6672532615048
459800,-1220.5148564297824,-1591.9014222775122,-749.7716103852715
462000,-1264.1223263219283,-1720.8130920836352,-754.2865926306845
464200,-1342.2547829377913,-1707.596523678605,-866.8585228659031
466400,-1227.5866654747385,-1657.5052726651502,-883.7369792848226
468600,-1268.5855629791201,-1526.888035797936,-871.5249241379348
470800,-1117.1743035302436,-1513.1306409755196,-748.4183186743126
473000,-1220.662955633066,-1651.8913639547193,-856.3054692730726
475200,-1228.9619554497772,-1534.3669954560169,-866.7851511885847
477400,-1366.963467583006,-1782.1836739392406,-859.0328621881381
479600,-1199.9201829557715,-1747.671748953065,-765.807776413525
481800,-1290.8220563717023,-1799.041331680646,-904.8271041303744
484000,-1259.3045399480213,-1787.7168132100514,-745.9403904524054
486200,-1151.470768219144,-1691.7457479727505,-674.4798362965191
488400,-1288.1427428322766,-1769.3958785603074,-888.1533860938188
490600,-1183.2892191842311,-1736.4361374246787,-788.6973454822547
492800,-1314.3312983211913,-1789.6015847152694,-758.3448818333295
495000,-1125.2475011716272,-1519.9473195940943,-892.8252398800706
497200,-1279.272528121969,-1772.3077638335733,-805.3175869764299
499400,-1100.154898197674,-1472.548332688748,-903.3394318944258
501600,-1154.578296556281,-1746.8501180609903,-759.5006644202253
503800,-1399.0431239507766,-1827.309775432949,-986.5943051095427
506000,-1451.8782790603395,-1812.6839775709059,-909.3442066974399
508200,-1166.069161209552,-1653.71795983335,-745.3675556383215
510400,-1007.8823282759599,-1638.0262636647374,-808.4546188820979
512600,-1099.8802182785755,-1564.5609632640571,-881.9083527648849
514800,-1343.8998811048396,-1746.1345154919738,-833.8338954616275
517000,-1161.9095219942699,-1797.5428175467098,-863.9242194520019
519200,-1172.9796333622444,-1572.5274104915281,-865.6286902981254
521400,-1302.061409292178,-1721.248482468352,-891.8761813504857
523600,-1158.7231062657945,-1516.087717105753,-883.6493946598288
525800,-1275.7264267820794,-1711.1848600431472,-898.7389127817075
528000,-1357.1081061093055,-1719.3807490476806,-867.8344238426799
530200,-1380.6851844222276,-1736.8641179478668,-866.8822495300618
532400,-1260.5893681024206,-1767.3976219396784,-866.4366637442797
534600,-1218.1667031023812,-1606.2052021412758,-816.957254159334
536800,-1210.9082783098115,-1791.9555028911973,-766.6106453820277
539000,-1356.201673428196,-1823.0820762854908,-870.1430730976273
541200,-1165.5282585336568,-1713.551523932195,-867.70529271018
543400,-1231.3739569195534,-1815.5363020098562,-964.5066282626195
545600,-1200.1841423446167,-1653.4417172870756,-982.5488331520819
547800,-1105.9748997715978,-1686.3179901756828,-676.1205584117872
550000,-1185.4570525232195,-1803.4394060251116,-744.1805338411552
552200,-1145.719684962874,-1537.4594571498776,-883.2792176879985
554400,-1317.8831861539895,-1767.3232250151793,-849.7770795792612
556600,-1234.0867790498387,-1669.9659297770897,-861.5197518064411
558800,-1172.6417133183077,-1551.9517422494062,-868.4464668792946
561000,-1305.6668983799043,-1819.3881649334376,-894.3879446068704
563200,-1274.098477010977,-1553.3917764654036,-871.9211527277957
565400,-1263.241983236438,-1518.910113025505,-868.151101609448
567600,-1095.8802430268195,-1491.864009317132,-752.457581555801
569800,-1068.382756002341,-1538.6846470379542,-760.7633361910058
572000,-1189.141243272729,-1599.1673066265992,-929.6399315555346
574200,-1246.3108939548956,-1583.406648501437,-747.3331599655744
576400,-1062.220136537656,-1339.6294797441863,-771.9380966372267
578600,-1295.927147945178,-1812.8300336566328,-890.8224743523435
580800,-1313.6658505498874,-1639.220881171312,-743.828792501698
583000,-1346.9469086501083,-1748.3147365980196,-969.4125038405355
585200,-1434.8171047558683,-1862.0965610936346,-871.4227295247348
587400,-1361.2170043639699,-1733.3632692730616,-851.0267426025603
589600,-1367.3870719834224,-1674.6437982215587,-837.3705879378668
591800,-1322.3262897266998,-1805.5934839188494,-735.9121797576356
594000,-1268.811155799856,-1722.88409257768,-872.5717571810553
596200,-1278.7569188061932,-1820.5711519149968,-851.0267883485867
598400,-1262.340974438192,-1597.7747101872778,-753.4089392170791
600600,-1189.5413924230666,-1571.3326406644796,-953.550714142438
602800,-1219.5893154309167,-1539.4866856647805,-881.9924868904154
605000,-1120.418178753009,-1836.985524252861,-794.2114319725961
607200,-1185.7027521452417,-1778.689022372376,-749.4701395160179
609400,-1189.310133599529,-1731.6817214072673,-858.0405804143404
611600,-1119.7691179069081,-1695.1571270565253,-781.3098953289604
613800,-1153.89265485257,-1733.6866546285344,-782.9548349305983
616000,-1052.2036612794789,-1639.2682117595525,-777.3096607279368
618200,-1216.092094071541,-1628.128090745731,-795.12471614612
620400,-1317.1678233663142,-1849.2284552763986,-857.9922595746394
622600,-1079.5048745999384,-1370.8782840213917,-870.4552528889188
624800,-1191.8234601622396,-1834.9651035517622,-889.0898194142317
627000,-1283.664085144232,-1730.317614635787,-850.9501355560001
629200,-1282.5543683566311,-1806.2197584046858,-882.333563394218
631400,-1240.448410222613,-1779.1467162997508,-826.7275380246475
633600,-1201.3446602605347,-1636.8560870480371,-743.610090472486
635800,-1259.4038155265491,-1827.727320938911,-758.3733454007779
638000,-1250.8029564336628,-1653.0979436044047,-758.6136429765149
640200,-1323.1300487804813,-1838.8674924349177,-864.7803719361499
642400,-1178.8056015666505,-1607.7186344114932,-837.8559423521556
644600,-1266.2571469879974,-1757.6925391329619,-751.2553707475058
646800,-1259.491577657251,-1629.8042405084705,-865.5482961219858
649000,-1243.862937023301,-1591.5536609796675,-832.1394337256146
651200,-1077.1035580025073,-1476.6238636850642,-765.8118589286178
653400,-1133.194453261096,-1480.7473628980367,-945.2485272809604
655600,-1259.4144193931288,-1686.8159512176856,-856.2238997383068
657800,-1278.195081971312,-1709.0633415308096,-709.9113220509993
660000,-1223.0248291767296,-1774.4304982266078,-890.4213009714939
662200,-1090.4076711536613,-1556.2391678257059,-871.7207950213143
664400,-1285.8533583792055,-1796.8621683132537,-897.0031744543201
666600,-1332.017450974302,-1781.0046743067603,-879.6989685963722
668800,-1166.618379261802,-1641.5405912180217,-801.4277797557165
671000,-1174.9284461097668,-1690.2199737279982,-900.9031656952596
673200,-1294.9317055996803,-1794.1696242949145,-879.489056114374
675400,-1303.9333031537526,-1747.2214085641085,-860.5525472545044
677600,-1193.743889662772,-1618.9267302694705,-886.7355903493403
679800,-1179.7961879784352,-1826.2968848916828,-845.7541694347566
682000,-1195.651505541018,-1663.9519306343336,-753.3092876674255
684200,-1217.199343959372,-1783.4313562574127,-752.3866273185473
686400,-1082.0352098173344,-1712.5935988868762,-747.4246225484507
688600,-1216.5096083951544,-1634.940305645566,-871.4123289566618
690800,-1336.0143524293183,-1698.9585679156096,-885.5689634489675
693000,-1219.7668963575024,-1590.0277477545396,-936.5825049378711
695200,-1144.5452024099404,-1638.3353485114417,-893.7585678157874
697400,-1106.4767509870596,-1764.2194124844061,-843.4690652696183
699600,-1181.9955614383389,-1593.153568280289,-867.4099886072863
701800,-1119.3552029390812,-1546.775899853677,-760.8135910389736
704000,-1302.36839392909,-1701.641556339389,-873.2278990117513
706200,-1215.5594048904486,-1639.6285165139261,-758.2882803730068
708400,-1252.4839832197185,-1554.0937188007047,-969.0454720535215
710600,-1424.4807045565017,-1714.4849150033442,-969.5248961310349
712800,-1403.3415789613002,-1830.137073202343,-911.5758635112899
715000,-1211.9467354646692,-1698.758695480271,-875.6721500084242
717200,-1271.2620396064742,-1728.4554597872511,-883.9759486372924
719400,-1199.1120808995724,-1636.5811801912218,-875.7778654093584
721600,-1210.5299488711644,-1691.673863867401,-787.8760787942323
723800,-1337.6693620784715,-1789.231321294384,-972.5951072639207
726000,-1179.4460076184366,-1564.58843462368,-814.9009448779938
728200,-1308.5920921569696,-1806.8054276183818,-886.4449493189351
730400,-1248.8544777592358,-1609.571349858796,-822.5528955045008
732600,-1142.2696262289417,-1726.5133547582136,-809.2132286625921
734800,-1229.3547699615863,-1817.0911122956315,-951.5120879620457
737000,-1248.4934479766528,-1668.3925043674296,-910.8934902755346
739200,-1178.8871368669263,-1522.5434012126302,-731.3887291533097
741400,-1199.5576102676082,-1712.9871467294004,-861.887575621871
743600,-1333.7225077300125,-1773.9495958235452,-897.5207325787007
745800,-1021.5810771566106,-1683.9439835931253,-757.5881779998384
748000,-1211.7954947998328,-1816.2041703932434,-868.6589898798617
750200,-1211.1256312117332,-1654.62467420266,-833.8343693277617
752400,-1310.575551313167,-1799.2976269691428,-800.03338571211
754600,-1186.6064319726213,-1631.212370354943,-747.6268070002391
756800,-1376.6452421672918,-1689.404746913701,-867.565309553162
759000,-1246.5629429515816,-1830.7586409995224,-838.0000039904614
761200,-1308.6116453416823,-1824.6847117939292,-865.1130144932025
763400,-1355.531587358509,-1815.4315108856167,-864.0482825331535
765600,-1181.002176329008,-1851.956813889345,-758.8235272224235
767800,-1247.762445519336,-1663.258087614304,-865.9897148440807
770000,-1392.8075745820488,-1681.4186190371734,-1085.4821491173498
772200,-1345.0599158664884,-1671.5794412736,-827.7164048297782
774400,-1194.0318468176167,-1783.907024868276,-875.7658193354447
776600,-1324.4406659956417,-1697.7719210895943,-813.2420679095708
778800,-1188.7166899750066,-1786.7759095022611,-743.5962981165894
781000,-1141.40188173552,-1622.4991672931478,-862.5993558332061
783200,-1284.003849240568,-1699.7101385660526,-880.927735704065
785400,-1198.1040565001665,-1514.2149406498716,-888.4434080463391
787600,-1258.9393974602956,-1570.844835856226,-854.1581885477827
789800,-1150.1282681362038,-1513.7610125128824,-887.7343991962282
792000,-1044.5111712134112,-1445.253925665176,-675.7270845183134
794200,-1101.5626243999952,-1741.9236156473048,-795.7301922951291
796400,-1284.2183269081188,-1825.3128244085183,-849.848924361554
798600,-1245.7755778709886,-1644.796142199282,-838.8316428737899
800800,-1173.8357708168635,-1453.3312731998967,-863.8032792225843
803000,-1187.5296396106846,-1601.9882464986204,-830.114703786506
805200,-1185.1453273228055,-1724.49899343492,-870.1709851454543
807400,-1083.7174182949877,-1600.8110122134265,-841.5480022533918
809600,-1302.7165879609217,-1769.8398315619204,-763.8934968063537
811800,-1277.0644688806356,-1791.1828601201473,-840.8592500935008
814000,-1256.415794065665,-1743.1294970749395,-889.5915100393494
816200,-1213.8233447659827,-1816.6937649771205,-864.3304053804752
818400,-1209.216586142939,-1720.1545177482276,-750.6107112343332
820600,-1296.7027515786647,-1831.8780923877869,-894.7129378145411
822800,-1289.4112044177189,-1609.890376562477,-874.194005686306
825000,-1306.2750336700421,-1777.6246936748973,-753.483520119405
827200,-1226.8053985198776,-1740.2780237046372,-841.4539335333526
829400,-1251.0121130683574,-1623.8391455460053,-862.6401522144346
831600,-1351.048323050523,-1748.5624735406664,-905.7071064245614
833800,-1167.3650488096523,-1539.0985898791635,-950.7685294621975
836000,-1432.8184401759006,-1714.7375803054094,-755.558727675148
838200,-1228.9116969587903,-1746.0642592547981,-860.6888131144415
840400,-1252.8992214628292,-1698.4509885194661,-766.3313360678932
842600,-1330.094580890539,-1783.1251723183123,-785.9134654563417
844800,-1334.0806662354544,-1708.4908949707062,-1057.021557566712
847000,-1227.778699536483,-1827.4886660453583,-745.1727595551489
849200,-1281.4007720276534,-1754.9303785451925,-862.0833723875479
851400,-1214.1237045867701,-1698.4928578214433,-832.6739357052803
853600,-1310.5373000522015,-1692.0227591835048,-731.517020521657
855800,-1301.497540942599,-1705.7354628493408,-847.6717550279125
858000,-1364.667699409724,-1768.7418794464572,-853.5168479983873
860200,-1072.549863491238,-1366.726446469141,-770.2810912563534
862400,-1236.4040393975226,-1678.5352349347347,-880.6360964316236
864600,-1103.3676925646696,-1345.2809245212036,-750.3248768546639
866800,-1363.1022405520853,-1864.594614564588,-751.7054442683275
869000,-1110.5926322731762,-1537.341439625213,-860.2486400531935
871200,-1182.7917400577664,-1775.6250491214414,-757.3364048966232
873400,-1152.730495857382,-1751.2102803468708,-857.2136645896809
875600,-1404.3530960769162,-1769.5720947626885,-1075.979363537783
877800,-1281.7814051490298,-1684.9740998236437,-912.3792378407031
880000,-1210.031040344619,-1517.1887361635843,-870.9562338529446
882200,-1230.455670471815,-1634.8656473708643,-868.3622867712781
884400,-1226.8369762707475,-1661.5144140304183,-880.3982747156651
886600,-1352.2354499375379,-1740.920500011973,-973.4746126503329
888800,-1100.485486207094,-1562.5768909486756,-857.8464592673839
891000,-1166.5776433043038,-1785.1505309044726,-864.1862253630194
893200,-1339.1790191321775,-1739.572996802969,-888.5684868713344
895400,-1213.5706493042996,-1629.5626728883285,-734.7823849694113
897600,-1036.6399694138865,-1455.4093814111518,-856.2158851952091
899800,-1047.2430049716002,-1412.243597533004,-759.4484605237368
902000,-1271.8741989452953,-1817.2341067404361,-886.7999374464806
904200,-1242.3568056392885,-1813.6814709901623,-879.9258598515703
906400,-1082.961481791147,-1702.2970863383116,-743.3721056818812
908600,-1175.673878072588,-1752.976218875932,-782.7049302544528
910800,-1260.6319730264565,-1655.1634781472349,-868.9173721811917
913000,-1149.5122153113166,-1589.001679887966,-869.0331145071805
915200,-1382.3043939277452,-1822.7474820868044,-817.2564325964488
917400,-1156.2504662508838,-1811.4376809162852,-772.2881126606856
919600,-1321.5949539828273,-1781.6457607779764,-966.0669144069308
921800,-1275.4425861574325,-1824.9871208028096,-906.8013871768678
924000,-1196.139060019768,-1758.8343990875412,-835.0137777270984
926200,-1245.3915188685553,-1777.081124073508,-745.1719885039919
928400,-1230.054473047137,-1748.4510355312543,-634.913139919191
930600,-1260.961823827148,-1711.1614176185253,-777.1461497758421
932800,-1076.910195501726,-1644.0721315735832,-752.5997551294278
935000,-1254.4379457229495,-1735.1887361127715,-856.9249062701052
937200,-954.9530004658824,-1195.9660608055435,-760.4410305133674
939400,-1201.3692547922449,-1806.3288166456396,-883.2311741806263
941600,-1128.0441137183195,-1728.836542812636,-802.3408543421407
943800,-1374.5491207415887,-1858.840083154877,-892.4886488234864
946000,-1119.4220906809658,-1583.5357456494778,-838.0143416496009
948200,-1151.0374070931975,-1524.32074348072,-765.0896932351319
950400,-1329.5423460769182,-1752.0772772743917,-811.9082728039299
952600,-1233.1141277485078,-1648.1497421540892,-757.0363215755972
954800,-1122.4419669445067,-1598.3060437330882,-749.3895307576903
957000,-1170.250883604266,-1456.8240208101863,-809.7357355973606
959200,-1313.1894356641658,-1634.076851648198,-901.0927069056536
961400,-1348.8080713626978,-1769.43618402065,-851.35938870813
963600,-1280.3429934841124,-1847.3530041788752,-881.2930678367288
965800,-1317.031659378222,-1808.57481575136,-991.4009311246351
968000,-1257.6152053027854,-1767.7841927141687,-758.9000767352373
970200,-1261.6317647130315,-1856.1824345324208,-769.8215006269893
972400,-1153.676456742722,-1426.1800597660072,-933.3424176248366
974600,-1167.8358423369464,-1747.636094031048,-746.5486979435283
976800,-1246.648608156887,-1621.123973007389,-815.0373237497524
