rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/std,train/approx_kl,train/entropy_loss,train/clip_fraction
200.0,-1399.251189,6,2200,319,1,,,,,,,,,,,
200.0,-1341.5262715909093,17,4400,249,2,0.0003,12264.7292578125,-0.0008973688269699259,10,5515.33984375,-0.0024688243865966797,0.2,0.9924429059028625,0.0016743718,-1.4141736132758005,0.005788690479738371
200.0,-1328.1777027272728,28,6600,235,3,0.0003,10047.901159319197,-0.0004960533925623167,20,3767.8076171875,0.17518681287765503,0.2,0.9873791933059692,0.0011816755,-1.4089630678721836,0.001294642857142857
200.0,-1258.1784625909092,38,8800,228,4,0.0003,10386.887999441964,-0.0008032670377620629,30,4394.2763671875,0.0921100378036499,0.2,0.9814797639846802,0.0022878197,-1.4023229210717338,0.004464285714285714
200.0,-1218.9840839818187,48,11000,224,5,0.0003,6404.860349469866,-0.003872194113043536,40,3574.3916015625,0.02908426523208618,0.2,0.9871247410774231,0.004977822,-1.4020362554277692,0.01895833333688123
200.0,-1208.6831791515153,59,13200,222,6,0.0003,6123.896003069196,-0.001876736883007522,50,3190.07666015625,0.0052321553230285645,0.2,0.9939830303192139,0.0027535923,-1.4117676891599382,0.013110119051166944
200.0,-1214.8225867922076,69,15400,220,7,0.0003,7399.442137276786,-0.0013689810957293958,60,3613.17333984375,0.0023754239082336426,0.2,0.9875085949897766,0.0031472049,-1.4098558320317949,0.021860119051166943
200.0,-1217.684197625,81,17600,216,8,0.0003,8580.127007533481,-0.0003345912922772446,70,3526.55419921875,0.0013461112976074219,0.2,0.9845495820045471,0.001277759,-1.405334325517927,0.0006696428571428571
200.0,-1209.108558959596,92,19800,215,9,0.0003,7806.964873046875,-0.0012782288452477327,80,2900.05908203125,0.0010764002799987793,0.2,0.9780975580215454,0.0034920115,-1.399688217299325,0.02108630955219269
200.0,-1179.17405492,102,22000,214,10,0.0003,6757.401099330357,-0.0018821691560359406,90,3083.484375,0.0010172724723815918,0.2,0.97344571352005,0.0038048332,-1.3932051709720066,0.023616071439215115
200.0,-1168.17361613,112,24200,214,11,0.0003,6467.606254185268,-0.0001825541233327905,100,3295.82275390625,0.0006638765335083008,0.2,0.9684749841690063,0.0017832143,-1.3887766671180726,0.0025744047654526576
200.0,-1158.12546074,123,26400,213,12,0.0003,6092.256480189732,-0.001596777153068355,110,3403.393310546875,0.0004869699478149414,0.2,0.9810422658920288,0.003169616,-1.3928716642516,0.01852678573557309
200.0,-1170.8093703999998,134,28600,213,13,0.0003,6862.991337890625,-0.002421321701258421,120,2780.509765625,0.00049591064453125,0.2,0.9744739532470703,0.0036697804,-1.3947548225947788,0.030104166695049832
200.0,-1156.05043512,144,30800,212,14,0.0003,6195.967137276786,-0.001456523587528084,130,2784.23681640625,0.0003401637077331543,0.2,0.9769582748413086,0.0029523515,-1.394665106364659,0.0128422619083098
200.0,-1173.1721973699998,155,33000,212,15,0.0003,3732.282521623884,-0.007982084304094314,140,1959.9737548828125,0.00029009580612182617,0.2,0.9896156191825867,0.008276389,-1.4013538077899388,0.08525297624724251
200.0,-1154.89464847,165,35200,212,16,0.0003,6454.834854910714,-0.003127505606306451,150,3614.494140625,0.00013178586959838867,0.2,0.9753095507621765,0.0037150378,-1.4005892835344587,0.025104166673762456
200.0,-1149.7093134200002,176,37400,212,17,0.0003,5590.800012555804,-0.001551408853182303,160,3140.73583984375,0.00014740228652954102,0.2,0.9505303502082825,0.0017184998,-1.3805666484151569,0.005833333336881229
200.0,-1152.2615406300001,186,39600,211,18,0.0003,5777.729692382813,-0.002389648325541722,170,2912.824951171875,9.614229202270508e-05,0.2,0.946519136428833,0.0025483777,-1.364229517664228,0.019627976204667774
200.0,-1144.6386491700002,197,41800,211,19,0.0003,4875.3074916294645,-0.0012727859260381333,180,2428.199462890625,0.0001074075698852539,0.2,0.94094318151474,0.0031613302,-1.3598682154927935,0.01863095239869186
200.0,-1138.7997377399997,207,44000,211,20,0.0003,4407.066574358259,-0.001517451029503718,190,1791.016845703125,6.532669067382812e-05,0.2,0.9445310235023499,0.0029548365,-1.3584241959026881,0.024836309541549
200.0,-1146.20440212,218,46200,211,21,0.0003,4230.7598521205355,-0.0018477085505479148,200,1763.2039794921875,6.502866744995117e-05,0.2,0.9461128115653992,0.0035107257,-1.362952311379569,0.020000000010643688
200.0,-1140.0448896099997,228,48400,211,22,0.0003,5429.346847795759,-0.0013693551293441227,210,2967.840576171875,2.765655517578125e-05,0.2,0.9350917339324951,0.0021185966,-1.3581542863164628,0.01882440476545266
200.0,-1144.97109222,239,50600,211,23,0.0003,4288.300246930804,-0.004867759578462158,220,1966.2977294921875,3.927946090698242e-05,0.2,0.9262832999229431,0.005412373,-1.3463592171669005,0.05909226198281561
200.0,-1123.6385212100001,250,52800,210,24,0.0003,3092.8289571707587,-0.005148696926023279,230,1557.611083984375,2.8967857360839844e-05,0.2,0.9240880012512207,0.0058511356,-1.34245521068573,0.05681547621531146
200.0,-1122.16518128,260,55000,210,25,0.0003,3111.554574497768,-0.00270656706632248,240,1502.6673583984375,2.467632293701172e-05,0.2,0.9192564487457275,0.0037417063,-1.3373214374269757,0.0341666667163372
200.0,-1109.47009821,271,57200,210,26,0.0003,3701.843592354911,-0.0002150445045637233,250,1626.919189453125,1.7583370208740234e-05,0.2,0.9207262396812439,0.001907027,-1.3365820707593645,0.006190476194024086
200.0,-1098.60609502,281,59400,210,27,0.0003,3583.207775530134,-0.0025423002229737384,260,1305.0960693359375,1.4781951904296875e-05,0.2,0.9311515092849731,0.0036727756,-1.3415970935140338,0.029122023827263286
200.0,-1093.2640328300001,292,61600,210,28,0.0003,2824.185462472098,-0.0029852681507015534,270,1053.5882568359375,1.5974044799804688e-05,0.2,0.929935872554779,0.0046022716,-1.3475719445092338,0.05297619051166943
200.0,-1094.7917126800003,302,63800,210,29,0.0003,2817.0322446986606,0.00024618753132277303,280,1160.169677734375,1.0371208190917969e-05,0.2,0.9365729689598083,0.0014028247,-1.3500601288250516,0.005729166673762458
200.0,-1080.06504902,313,66000,210,30,0.0003,3180.4775237165177,-0.0005137040399547134,290,1259.0029296875,8.58306884765625e-06,0.2,0.9234990477561951,0.0027885276,-1.3464497818265642,0.011904761918953486
200.0,-1075.9704396,323,68200,210,31,0.0003,3132.0411907087055,-0.0021683986769390423,300,1298.6290283203125,7.510185241699219e-06,0.2,0.9166691303253174,0.0040392415,-1.3344073649815151,0.0298065476332392
200.0,-1078.22365552,334,70400,210,32,0.0003,3029.868399832589,-0.0008860395215119102,310,1246.1104736328125,9.715557098388672e-06,0.2,0.9143605828285217,0.0025218297,-1.3293022118295943,0.013035714296357971
200.0,-1083.65336252,344,72600,210,33,0.0003,2551.4648120117185,-0.00224600602157547,320,1135.161865234375,5.304813385009766e-06,0.2,0.9154121279716492,0.003954783,-1.3306008413859776,0.03818452382726329
200.0,-1082.03724631,354,74800,210,34,0.0003,2615.5310403878348,-0.001793374297142561,330,1231.0762939453125,5.9604644775390625e-06,0.2,0.9261631965637207,0.005324664,-1.3359462758472989,0.02385416667376246
200.0,-1067.13262018,365,77000,210,35,0.0003,2692.19960030692,-0.0010626091887908323,340,1884.4158935546875,3.3974647521972656e-06,0.2,0.9263105988502502,0.0034095433,-1.342114908014025,0.019717261918953486
200.0,-1074.88421426,375,79200,210,36,0.0003,1741.933833705357,-0.002197594667252685,350,821.1651000976562,3.874301910400391e-06,0.2,0.9263123869895935,0.0042951847,-1.3427323620659963,0.041875000042574745
200.0,-1091.69144994,386,81400,210,37,0.0003,3099.521500418527,-0.0022506099318499243,360,2144.951171875,2.3245811462402344e-06,0.2,0.9321754574775696,0.0035314325,-1.345313060624259,0.03382440478674003
200.0,-1074.76204667,396,83600,210,38,0.0003,2942.7241584123885,-0.00020207166438922285,370,1748.0211181640625,3.039836883544922e-06,0.2,0.927035927772522,0.0016476776,-1.345412804399218,0.006011904765452657
200.0,-1059.83549988,406,85800,210,39,0.0003,1452.1267330496653,-0.00403971777397341,380,653.1375122070312,2.7418136596679688e-06,0.2,0.9049736261367798,0.0068412456,-1.3303637671470643,0.05446428574621678
200.0,-1053.12312269,417,88000,210,40,0.0003,1577.4947328404019,-0.0020192393477606986,390,751.2161254882812,2.5033950805664062e-06,0.2,0.9004226922988892,0.005030786,-1.3160145562035697,0.052336309552192685
200.0,-1046.08018954,427,90200,210,41,0.0003,1670.649185093471,-0.00470052527097453,400,806.9496459960938,2.0265579223632812e-06,0.2,0.892145574092865,0.0053540994,-1.30986319235393,0.059761904776096345
200.0,-1040.33750991,438,92400,210,42,0.0003,1527.9976506696428,-0.001115759210910515,410,578.2990112304688,2.1457672119140625e-06,0.2,0.8892933130264282,0.0038261954,-1.3036530641147068,0.022514880959476742
200.0,-1035.27327288,448,94600,210,43,0.0003,1519.4535042898995,-0.0022449297291625824,420,796.8828735351562,1.7881393432617188e-06,0.2,0.884365439414978,0.004047132,-1.2986365250178746,0.05136904766517026
200.0,-1055.08167292,458,96800,210,44,0.0003,1384.95575718471,-0.00123425172874704,430,466.0322265625,1.1324882507324219e-06,0.2,0.9016892313957214,0.0035189388,-1.305443720817566,0.029687500021287373
200.0,-1039.25088291,469,99000,210,45,0.0003,1961.3781225585938,-0.0033781804428768478,440,639.7210693359375,1.3709068298339844e-06,0.2,0.8885870575904846,0.0039137024,-1.3084118703433445,0.04004464288907392
200.0,-1025.2580737700002,480,101200,210,46,0.0003,1379.7045748465403,-0.0012411035717065845,450,843.675048828125,1.2516975402832031e-06,0.2,0.8751722574234009,0.0035982856,-1.2931535536902292,0.0261755952664784
200.0,-1043.43639241,490,103400,210,47,0.0003,1481.28189453125,-0.001376669986639172,460,599.7395629882812,1.5497207641601562e-06,0.2,0.8782504200935364,0.0033994839,-1.2870056176185607,0.02348214287843023
200.0,-1043.57654217,500,105600,210,48,0.0003,1600.5156441824777,-0.0021589475051899043,470,737.3596801757812,7.748603820800781e-07,0.2,0.8634639978408813,0.0047846753,-1.2805338396344865,0.032455357164144515
200.0,-1031.74614112,511,107800,210,49,0.0003,962.2928881835937,-0.0042414479729320324,480,341.6041564941406,2.3245811462402344e-06,0.2,0.8572289347648621,0.005900093,-1.268162808418274,0.05055059528776577
200.0,-1036.2282598699999,521,110000,210,50,0.0003,747.7564727783204,-0.000965206080914608,490,308.365234375,1.3113021850585938e-06,0.2,0.853388786315918,0.0039823805,-1.2607344119889397,0.04406250002128737
200.0,-1021.01525667,532,112200,210,51,0.0003,963.1734751674107,-0.0021275040553882718,500,578.7160034179688,1.6093254089355469e-06,0.2,0.8571180701255798,0.0025134452,-1.262232976300376,0.03839285718543189
200.0,-1018.9338466799999,542,114400,210,52,0.0003,697.3924952043806,-0.004710893105782037,510,382.5165100097656,1.0728836059570312e-06,0.2,0.8287391066551208,0.0061357007,-1.249550574507032,0.08815476196152823
200.0,-993.49034985,553,116600,210,53,0.0003,1035.6137670898438,-0.0016887654896293367,520,467.55255126953125,1.6093254089355469e-06,0.2,0.8253646492958069,0.0048800367,-1.229188003199441,0.03421130955219269
200.0,-1001.8039107600001,563,118800,210,54,0.0003,802.5217755998884,-0.003693079567913498,530,369.3678894042969,1.6093254089355469e-06,0.2,0.8015751838684082,0.0051613823,-1.215859593323299,0.0437648809914078
200.0,-992.7008292700001,573,121000,210,55,0.0003,1074.05109148298,-0.0016644200113868075,540,581.7880859375,4.112720489501953e-06,0.2,0.7997704744338989,0.0023502994,-1.1968106372015817,0.026324404776096343
200.0,-985.8718240200001,584,123200,210,56,0.0003,842.00921988351,-0.0017523256192881881,550,315.0853576660156,4.291534423828125e-06,0.2,0.8144547343254089,0.0040073283,-1.2044569519587927,0.05299107146050249
200.0,-977.1559776299999,594,125400,210,57,0.0003,1132.093367047991,-0.0018843764093305383,560,391.26885986328125,0.0002764463424682617,0.2,0.8164122104644775,0.005861563,-1.2141762208938598,0.04836309524519103
200.0,-984.50199248,605,127600,210,58,0.0003,611.4892478724888,0.00016072492672330034,570,233.9856414794922,0.10890597105026245,0.2,0.8069924712181091,0.003084644,-1.2103650093078613,0.015982142857142858
200.0,-987.8289209600002,615,129800,210,59,0.0003,551.5820759800503,-0.0006651653618817883,580,255.8733673095703,0.33313339948654175,0.2,0.7921642661094666,0.0019829979,-1.1952029524530683,0.01763392857142857
200.0,-1000.73663862,626,132000,210,60,0.0003,638.3839918736049,-0.0010252499456484137,590,237.89169311523438,0.31425803899765015,0.2,0.7911244034767151,0.004217571,-1.1854937263897487,0.030446428592715943
200.0,-1009.76283209,636,134200,210,61,0.0003,536.5576517159599,-0.0018255160442952599,600,367.2265930175781,0.27483290433883667,0.2,0.7869972586631775,0.0040182,-1.1832379456928799,0.03620535716414452
200.0,-1006.1599243500001,646,136400,210,62,0.0003,609.1688739885602,-0.003727444744269763,610,266.7831726074219,0.18961435556411743,0.2,0.7758758664131165,0.0049372953,-1.1736288714408873,0.06330357147114618
200.0,-998.3379709499999,657,138600,210,63,0.0003,493.3591625976562,-0.004686207578051835,620,295.0287780761719,0.14994287490844727,0.2,0.7491509318351746,0.0074816057,-1.14414803981781,0.06677083342203072
200.0,-990.27986491,667,140800,210,64,0.0003,511.4894154575893,-0.0015143674718482154,630,394.6632995605469,0.22513914108276367,0.2,0.7465299367904663,0.0040162615,-1.1280096231188093,0.04910714287843023
200.0,-975.04718341,678,143000,210,65,0.0003,513.2665059988839,-0.0007814905592905623,640,284.19378662109375,0.1683390736579895,0.2,0.7385271787643433,0.003348063,-1.1178290816715786,0.04419642859271594
200.0,-983.6083035800001,688,145200,210,66,0.0003,509.37505746023993,-0.0006280730649762387,650,179.9815673828125,0.2995545268058777,0.2,0.7286802530288696,0.0020268194,-1.108780242374965,0.028452380959476744
