time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_fraction
454,81920,200,180,40,-1084.930378,0.892597735,0.0003,-1.307082918,390,0.2,-0.000457227,1383.750244,3.34E-06,3092.983871,0.001396231,0.006689453
454,83968,200,184,41,-1085.426901,0.866092026,0.0003,-1.288534815,400,0.2,-0.00232688,778.0483398,4.83E-06,2033.394451,0.003924299,0.016552734
453,86016,200,189,42,-1077.422058,0.851684809,0.0003,-1.264428016,410,0.2,-0.002014994,1047.447021,3.28E-06,2259.633361,0.003883763,0.02421875
452,88064,200,194,43,-1071.219387,0.849284232,0.0003,-1.25694913,420,0.2,-0.003558178,1017.931458,2.68E-06,2314.56514,0.004463857,0.031689453
452,90112,200,199,44,-1083.298145,0.849105954,0.0003,-1.254263514,430,0.2,-0.003828323,989.2426758,2.44E-06,2094.49971,0.004636255,0.042529297
451,92160,200,204,45,-1070.647008,0.847264528,0.0003,-1.25358973,440,0.2,-0.001433665,868.0946045,2.09E-06,2184.182678,0.003306414,0.028417969
451,94208,200,208,46,-1072.501647,0.823534548,0.0003,-1.23680127,450,0.2,-0.001371058,553.9815674,2.09E-06,1314.585963,0.004100847,0.022363281
450,96256,200,213,47,-1077.903647,0.827558756,0.0003,-1.227948973,460,0.2,-0.003042688,1265.705566,1.85E-06,2387.39478,0.003548738,0.021630859
450,98304,200,218,48,-1088.626477,0.819753408,0.0003,-1.224787419,470,0.2,-0.001762405,706.6099854,2.50E-06,1911.169285,0.003613209,0.027636719
450,100352,200,223,49,-1066.438304,0.802062988,0.0003,-1.208653092,480,0.2,-0.002603783,831.9869385,2.44E-06,1936.387271,0.004401205,0.036621094
449,102400,200,227,50,-1070.442457,0.794526458,0.0003,-1.193131293,490,0.2,-0.001545886,457.8204956,2.98E-06,1245.80396,0.005179478,0.046142578
449,104448,200,232,51,-1058.046278,0.807424903,0.0003,-1.197197418,500,0.2,-0.002627428,808.4173584,2.50E-06,1423.884319,0.005210985,0.036669922
448,106496,200,237,52,-1042.23539,0.82387656,0.0003,-1.216257814,510,0.2,-0.003045544,419.6651611,2.98E-06,1091.00146,0.003764726,0.0421875
448,108544,200,241,53,-1039.307077,0.810426116,0.0003,-1.216254019,520,0.2,-0.002296143,465.6662292,2.44E-06,1023.413075,0.005323743,0.040185547
448,110592,200,246,54,-1046.868499,0.815051615,0.0003,-1.210191163,530,0.2,-0.002873262,411.5128479,1.55E-06,1097.933108,0.005003048,0.049121094
448,112640,200,251,55,-1043.260312,0.799069345,0.0003,-1.204243614,540,0.2,-0.000502663,451.8453064,7.75E-07,1163.979324,0.003663701,0.008300781
448,114688,200,255,56,-1062.679767,0.784443378,0.0003,-1.183812343,550,0.2,-0.002269905,333.3679504,1.55E-06,877.4615723,0.004887819,0.054931641
448,116736,200,260,57,-1053.061888,0.774603784,0.0003,-1.169250422,560,0.2,-0.002003005,771.2200928,2.38E-07,2031.252835,0.004431557,0.023583984
448,118784,200,264,58,-1035.236731,0.764035642,0.0003,-1.155359837,570,0.2,-0.002941911,358.4848022,1.85E-06,996.6625154,0.005135172,0.054248047
448,120832,200,269,59,-1034.244081,0.769049227,0.0003,-1.154077359,580,0.2,-0.002514181,367.0527344,2.80E-06,727.9464549,0.006252208,0.069287109
450,122880,200,272,60,-1031.627785,0.7475124,0.0003,-1.141177794,590,0.2,-0.002359001,310.2204895,3.40E-06,699.3623855,0.0073327,0.059082031
