,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",81400,0.034938,200.0,11,-1228.843916,-1788.118063,-898.415255,297.589153
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",83600,0.034587,200.0,11,-1270.308728,-1603.669083,-882.937006,229.146782
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",85800,0.035231,200.0,11,-1103.611223,-1603.804704,-830.950519,211.038411
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",88000,0.034615,200.0,11,-1224.679343,-1738.128653,-895.574902,281.598249
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",90200,0.035161,200.0,11,-1335.471368,-1705.903237,-1019.29262,232.916054
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",92400,0.037038,200.0,11,-1165.236379,-1360.688123,-1037.739663,102.583219
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",94600,0.0349,200.0,11,-1158.298214,-1398.436812,-1021.738585,109.940286
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",96800,0.035087,200.0,11,-1151.925242,-1269.250397,-1102.923493,52.919967
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",99000,0.034993,200.0,11,-1151.461807,-1531.663724,-1018.089795,182.625272
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",101200,0.034249,200.0,11,-1109.142222,-1207.6964,-1046.272046,54.952605
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",103400,0.037159,200.0,11,-1163.554651,-1606.161753,-916.545861,235.060298
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",105600,0.03528,200.0,11,-1114.304492,-1448.764861,-964.493773,162.415181
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",107800,0.034037,200.0,11,-1038.246042,-1242.849726,-769.953939,140.913593
