,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: hover_ppo_v2_2023-01-24,2048,0.000485,1.0,2048,-0.787656,-0.787693,-0.787619,1.1e-05,1,28.09306287765503
1,exp_name: hover_ppo_v2_2023-01-24,4096,0.000467,1.0,2048,-0.787655,-0.787689,-0.787614,1.1e-05,2,55.85409092903137
2,exp_name: hover_ppo_v2_2023-01-24,6144,0.000475,1.0,2048,-0.787655,-0.787688,-0.787624,1e-05,3,83.6635799407959
3,exp_name: hover_ppo_v2_2023-01-24,8192,0.000456,1.0,2048,-0.787655,-0.787689,-0.787618,1.1e-05,4,111.03619885444641
4,exp_name: hover_ppo_v2_2023-01-24,10240,0.000457,1.0,2048,-0.787655,-0.787692,-0.787614,1.1e-05,5,138.54867386817932
0,exp_name: hover_ppo_v2_2023-01-24,12288,0.000542,1.0,2048,-0.787654,-0.787689,-0.787616,1.1e-05,6,167.6470558643341
1,exp_name: hover_ppo_v2_2023-01-24,14336,0.000467,1.0,2048,-0.787653,-0.787686,-0.787612,1.1e-05,7,195.3713879585266
2,exp_name: hover_ppo_v2_2023-01-24,16384,0.000543,1.0,2048,-0.787651,-0.787686,-0.787614,1.1e-05,8,224.23559594154358
3,exp_name: hover_ppo_v2_2023-01-24,18432,0.000554,1.0,2048,-0.787649,-0.787686,-0.787617,1.1e-05,9,253.60749077796936
4,exp_name: hover_ppo_v2_2023-01-24,20480,0.000584,1.0,2048,-0.787648,-0.787689,-0.787614,1.1e-05,10,283.5304970741272
0,exp_name: hover_ppo_v2_2023-01-24,22528,0.000531,1.0,2048,-0.787645,-0.787679,-0.787603,1.1e-05,11,312.3843820095062
1,exp_name: hover_ppo_v2_2023-01-24,24576,0.000543,1.0,2048,-0.787644,-0.78768,-0.787608,1.1e-05,12,341.43320989608765
2,exp_name: hover_ppo_v2_2023-01-24,26624,0.000541,1.0,2048,-0.787641,-0.787678,-0.787602,1.1e-05,13,370.5580279827118
3,exp_name: hover_ppo_v2_2023-01-24,28672,0.00052,1.0,2048,-0.787639,-0.787673,-0.787601,1.1e-05,14,399.21776580810547
4,exp_name: hover_ppo_v2_2023-01-24,30720,0.000513,1.0,2048,-0.787636,-0.787673,-0.7876,1.1e-05,15,427.75007581710815
0,exp_name: hover_ppo_v2_2023-01-24,32768,0.000472,1.0,2048,-0.787633,-0.787668,-0.787596,1.1e-05,16,455.55679178237915
1,exp_name: hover_ppo_v2_2023-01-24,34816,0.000558,1.0,2048,-0.78763,-0.787665,-0.787591,1.1e-05,17,485.23203897476196
2,exp_name: hover_ppo_v2_2023-01-24,36864,0.000557,1.0,2048,-0.787628,-0.787663,-0.787593,1.1e-05,18,514.7043390274048
3,exp_name: hover_ppo_v2_2023-01-24,38912,0.000564,1.0,2048,-0.787625,-0.787668,-0.787578,1.1e-05,19,544.4284188747406
4,exp_name: hover_ppo_v2_2023-01-24,40960,0.000564,1.0,2048,-0.787623,-0.787658,-0.787584,1.1e-05,20,574.1979856491089
0,exp_name: hover_ppo_v2_2023-01-24,43008,0.000474,1.0,2048,-0.78762,-0.787654,-0.787577,1.1e-05,21,602.1372718811035
1,exp_name: hover_ppo_v2_2023-01-24,45056,0.000545,1.0,2048,-0.787617,-0.787655,-0.787572,1.1e-05,22,631.6030769348145
2,exp_name: hover_ppo_v2_2023-01-24,47104,0.000493,1.0,2048,-0.787614,-0.787656,-0.787572,1.1e-05,23,659.7568738460541
3,exp_name: hover_ppo_v2_2023-01-24,49152,0.00055,1.0,2048,-0.787611,-0.787651,-0.787567,1.2e-05,24,689.2032949924469
4,exp_name: hover_ppo_v2_2023-01-24,51200,0.000562,1.0,2048,-0.787608,-0.787651,-0.787573,1.2e-05,25,718.7606887817383
0,exp_name: hover_ppo_v2_2023-01-24,53248,0.000559,1.0,2048,-0.787605,-0.787654,-0.787565,1.2e-05,26,748.3842749595642
1,exp_name: hover_ppo_v2_2023-01-24,55296,0.000561,1.0,2048,-0.787602,-0.787641,-0.787563,1.2e-05,27,778.068158864975
2,exp_name: hover_ppo_v2_2023-01-24,57344,0.000584,1.0,2048,-0.787599,-0.787636,-0.78756,1.2e-05,28,808.25448179245
3,exp_name: hover_ppo_v2_2023-01-24,59392,0.00057,1.0,2048,-0.787596,-0.787635,-0.787555,1.1e-05,29,838.0810708999634
4,exp_name: hover_ppo_v2_2023-01-24,61440,0.000523,1.0,2048,-0.787593,-0.787636,-0.787556,1.2e-05,30,866.9126060009003
0,exp_name: hover_ppo_v2_2023-01-24,63488,0.000566,1.0,2048,-0.78759,-0.787628,-0.787543,1.2e-05,31,896.710196018219
1,exp_name: hover_ppo_v2_2023-01-24,65536,0.000561,1.0,2048,-0.787587,-0.78763,-0.787549,1.2e-05,32,926.3281338214874
2,exp_name: hover_ppo_v2_2023-01-24,67584,0.000531,1.0,2048,-0.787584,-0.787621,-0.787539,1.2e-05,33,955.2168209552765
3,exp_name: hover_ppo_v2_2023-01-24,69632,0.000515,1.0,2048,-0.787582,-0.787622,-0.78753,1.2e-05,34,983.8930640220642
4,exp_name: hover_ppo_v2_2023-01-24,71680,0.000566,1.0,2048,-0.787578,-0.787616,-0.787539,1.1e-05,35,1013.5350379943848
0,exp_name: hover_ppo_v2_2023-01-24,73728,0.000613,1.0,2048,-0.787575,-0.787623,-0.787536,1.2e-05,36,1044.2034540176392
1,exp_name: hover_ppo_v2_2023-01-24,75776,0.000546,1.0,2048,-0.787572,-0.787611,-0.787527,1.2e-05,37,1073.1255497932434
2,exp_name: hover_ppo_v2_2023-01-24,77824,0.000529,1.0,2048,-0.787569,-0.787615,-0.787526,1.2e-05,38,1102.0902709960938
3,exp_name: hover_ppo_v2_2023-01-24,79872,0.000532,1.0,2048,-0.787566,-0.78761,-0.787516,1.3e-05,39,1130.9913380146027
4,exp_name: hover_ppo_v2_2023-01-24,81920,0.000528,1.0,2048,-0.787563,-0.787616,-0.787519,1.2e-05,40,1159.9969758987427
0,exp_name: hover_ppo_v2_2023-01-24,83968,0.000505,1.0,2048,-0.78756,-0.787603,-0.787517,1.2e-05,41,1188.4191670417786
1,exp_name: hover_ppo_v2_2023-01-24,86016,0.000501,1.0,2048,-0.787556,-0.787599,-0.78751,1.3e-05,42,1216.7973036766052
2,exp_name: hover_ppo_v2_2023-01-24,88064,0.000538,1.0,2048,-0.787554,-0.787591,-0.787506,1.2e-05,43,1245.9323327541351
3,exp_name: hover_ppo_v2_2023-01-24,90112,0.000573,1.0,2048,-0.787551,-0.787592,-0.787504,1.3e-05,44,1275.4466109275818
4,exp_name: hover_ppo_v2_2023-01-24,92160,0.00055,1.0,2048,-0.787548,-0.787587,-0.7875,1.3e-05,45,1304.7328157424927
