,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.471283,1024.0,-906.873455,-951.84362,-861.903289,44.970166,2,1,1.076240062713623,2048
1,0.475067,1024.0,-975.561556,-1192.075938,-759.047173,216.514382,2,2,2.148939847946167,4096
2,0.496839,1024.0,-780.996605,-844.406949,-717.586261,63.410344,2,3,3.271077871322632,6144
3,0.481891,1024.0,-707.005386,-787.182457,-626.828316,80.17707,2,4,4.363090991973877,8192
4,0.505662,1024.0,-662.382408,-696.366932,-628.397885,33.984523,2,5,5.5035951137542725,10240
0,0.477856,1024.0,-657.242176,-661.194287,-653.290065,3.952111,2,6,6.589949131011963,12288
1,0.459961,1024.0,-604.301341,-634.486025,-574.116657,30.184684,2,7,7.632809162139893,14336
2,0.438653,1024.0,-643.549412,-710.32199,-576.776835,66.772578,2,8,8.62963318824768,16384
3,0.44503,1024.0,-628.967628,-635.496981,-622.438276,6.529353,2,9,9.650049924850464,18432
4,0.444238,1024.0,-631.027071,-669.30455,-592.749592,38.277479,2,10,10.658441066741943,20480
0,0.444689,1024.0,-629.242718,-653.651684,-604.833753,24.408966,2,11,11.677836894989014,22528
1,0.481646,1024.0,-657.838856,-669.882836,-645.794876,12.04398,2,12,12.773075103759766,24576
2,0.461935,1024.0,-590.596972,-625.255758,-555.938185,34.658786,2,13,13.821983098983765,26624
3,0.441086,1024.0,-512.953676,-526.257774,-499.649578,13.304098,2,14,14.834049940109253,28672
4,0.449231,1024.0,-501.572901,-502.988176,-500.157626,1.415275,2,15,15.856319189071655,30720
0,0.44848,1024.0,-470.772649,-479.764611,-461.780687,8.991962,2,16,16.88007402420044,32768
1,0.454182,1024.0,-477.690259,-491.17895,-464.201568,13.488691,2,17,17.91857385635376,34816
2,0.456616,1024.0,-457.26009,-468.652648,-445.867533,11.392558,2,18,18.957648992538452,36864
3,0.449315,1024.0,-444.783686,-464.195391,-425.37198,19.411706,2,19,19.98095703125,38912
4,0.46327,1024.0,-397.954192,-411.258617,-384.649767,13.304425,2,20,21.03369402885437,40960
0,0.464802,1024.0,-377.052664,-378.836603,-375.268726,1.783938,2,21,22.0937340259552,43008
1,0.448711,1024.0,-386.659541,-397.938545,-375.380538,11.279003,2,22,23.12043309211731,45056
2,0.474347,1024.0,-359.011701,-365.836335,-352.187067,6.824634,2,23,24.19291090965271,47104
3,0.442426,1024.0,-370.054207,-374.765178,-365.343236,4.710971,2,24,25.201283931732178,49152
4,0.470471,1024.0,-368.888568,-382.086439,-355.690697,13.197871,2,25,26.268626928329468,51200
0,0.453211,1024.0,-373.647631,-377.378266,-369.916996,3.730635,2,26,27.303025007247925,53248
1,0.470025,1024.0,-352.367959,-357.371899,-347.364019,5.00394,2,27,28.372179985046387,55296
2,0.490217,1024.0,-359.781537,-365.188854,-354.37422,5.407317,2,28,29.483264207839966,57344
3,0.476611,1024.0,-406.47004,-406.703235,-406.236846,0.233195,2,29,30.561474800109863,59392
4,0.460104,1024.0,-388.812186,-398.065119,-379.559252,9.252933,2,30,31.60739803314209,61440
0,0.436497,1024.0,-364.856301,-381.948421,-347.764181,17.09212,2,31,32.60470509529114,63488
1,0.442626,1024.0,-366.064924,-366.172412,-365.957437,0.107488,2,32,33.61004710197449,65536
2,0.475958,1024.0,-355.430391,-355.682871,-355.177912,0.252479,2,33,34.690104961395264,67584
3,0.452876,1024.0,-340.066958,-353.866565,-326.26735,13.799607,2,34,35.713611125946045,69632
4,0.473554,1024.0,-329.555074,-335.83382,-323.276328,6.278746,2,35,36.78740382194519,71680
0,0.456275,1024.0,-309.500695,-314.82471,-304.176679,5.324016,2,36,37.83442807197571,73728
1,0.462577,1024.0,-343.348034,-345.498466,-341.197601,2.150432,2,37,38.88061714172363,75776
2,0.48738,1024.0,-368.365445,-371.313464,-365.417425,2.948019,2,38,39.9844491481781,77824
3,0.441896,1024.0,-358.812875,-364.358049,-353.267701,5.545174,2,39,40.99485802650452,79872
4,0.464113,1024.0,-358.625233,-359.348497,-357.901969,0.723264,2,40,42.05364012718201,81920
0,0.47427,1024.0,-334.505425,-339.835561,-329.175288,5.330136,2,41,43.148520946502686,83968
1,0.489348,1024.0,-345.960538,-351.60245,-340.318626,5.641912,2,42,44.25727295875549,86016
2,0.477669,1024.0,-312.017982,-317.145853,-306.890111,5.127871,2,43,45.3397741317749,88064
3,0.461319,1024.0,-321.417429,-325.972685,-316.862174,4.555256,2,44,46.387397050857544,90112
4,0.468712,1024.0,-333.70566,-337.856261,-329.55506,4.1506,2,45,47.452991008758545,92160
0,0.491197,1024.0,-344.879364,-348.659242,-341.099485,3.779878,2,46,48.56636190414429,94208
1,0.440986,1024.0,-325.516064,-327.805029,-323.227098,2.288965,2,47,49.57117199897766,96256
2,0.457716,1024.0,-311.959915,-316.193347,-307.726483,4.233432,2,48,50.615938901901245,98304
3,0.433394,1024.0,-338.719185,-340.974638,-336.463732,2.255453,2,49,51.60565900802612,100352
4,0.434132,1024.0,-352.281465,-365.954931,-338.607999,13.673466,2,50,52.59587597846985,102400
0,0.485176,1024.0,-357.805554,-359.630935,-355.980174,1.825381,2,51,53.698472023010254,104448
1,0.446039,1024.0,-375.69815,-383.649505,-367.746796,7.951354,2,52,54.719017028808594,106496
2,0.486156,1024.0,-396.667048,-401.625003,-391.709094,4.957954,2,53,55.84133791923523,108544
3,0.454895,1024.0,-378.506068,-392.921457,-364.090679,14.415389,2,54,56.873810052871704,110592
4,0.441308,1024.0,-365.619947,-365.976899,-365.262995,0.356952,2,55,57.878581047058105,112640
0,0.468961,1024.0,-347.921962,-356.659459,-339.184465,8.737497,2,56,58.943581104278564,114688
1,0.446948,1024.0,-347.464264,-352.402808,-342.525719,4.938544,2,57,59.963027000427246,116736
2,0.45039,1024.0,-343.089897,-351.848104,-334.33169,8.758207,2,58,60.992971897125244,118784
3,0.47437,1024.0,-334.799868,-345.675273,-323.924464,10.875404,2,59,62.078649044036865,120832
4,0.447896,1024.0,-325.05022,-326.733731,-323.366709,1.683511,2,60,63.11041808128357,122880
0,0.476329,1024.0,-325.070042,-336.472485,-313.667598,11.402443,2,61,64.20041513442993,124928
1,0.467811,1024.0,-312.898494,-320.601771,-305.195217,7.703277,2,62,65.26168417930603,126976
2,0.476308,1024.0,-312.30151,-316.813464,-307.789556,4.511954,2,63,66.34319710731506,129024
3,0.487944,1024.0,-310.67629,-311.877212,-309.475369,1.200922,2,64,67.446053981781,131072
4,0.474415,1024.0,-325.920499,-333.990772,-317.850227,8.070273,2,65,68.52238392829895,133120
0,0.476129,1024.0,-323.523146,-341.596325,-305.449967,18.073179,2,66,69.61011791229248,135168
1,0.477224,1024.0,-288.900533,-296.415705,-281.38536,7.515172,2,67,70.68697786331177,137216
2,0.434233,1024.0,-277.77603,-280.807489,-274.74457,3.031459,2,68,71.67929887771606,139264
3,0.47361,1024.0,-265.779648,-271.208748,-260.350548,5.4291,2,69,72.75606417655945,141312
4,0.463489,1024.0,-290.789303,-293.055927,-288.522679,2.266624,2,70,73.80206298828125,143360
0,0.470661,1024.0,-273.175669,-276.870426,-269.480913,3.694757,2,71,74.87582898139954,145408
1,0.465922,1024.0,-268.976923,-270.068319,-267.885526,1.091396,2,72,75.93405294418335,147456
2,0.467497,1024.0,-266.92336,-269.368181,-264.47854,2.44482,2,73,77.02312302589417,149504
3,0.489431,1024.0,-259.198838,-259.583284,-258.814393,0.384446,2,74,78.12777519226074,151552
4,0.460456,1024.0,-271.210187,-276.514101,-265.906272,5.303914,2,75,79.18948793411255,153600
0,0.472255,1024.0,-259.469647,-261.807936,-257.131357,2.338289,2,76,80.27191400527954,155648
1,0.490511,1024.0,-274.054396,-279.100104,-269.008687,5.045709,2,77,81.38635802268982,157696
2,0.455133,1024.0,-255.197207,-258.313182,-252.081233,3.115975,2,78,82.4201328754425,159744
3,0.453035,1024.0,-260.74268,-263.487007,-257.998352,2.744328,2,79,83.45305109024048,161792
4,0.449102,1024.0,-268.910658,-274.055154,-263.766162,5.144496,2,80,84.47593784332275,163840
0,0.435378,1024.0,-270.611064,-274.786464,-266.435665,4.175399,2,81,85.47364807128906,165888
1,0.457297,1024.0,-269.365888,-274.474228,-264.257548,5.10834,2,82,86.50923895835876,167936
2,0.497171,1024.0,-278.061649,-279.512579,-276.61072,1.45093,2,83,87.68679094314575,169984
3,0.462019,1024.0,-297.609967,-300.890717,-294.329218,3.280749,2,84,88.7406837940216,172032
4,0.456322,1024.0,-289.254467,-295.196888,-283.312046,5.942421,2,85,89.77825403213501,174080
